,order_status,order_id,status_msg,symbol,amount,trade_amount,trade_price,order_type,direction,offset_flag,price,price_type,datetime,secondary_order_id
76,54,1090527122,,300854.SZ,1500,0,0.0,23,48,48,13.14,50,20241023 09:40:30,1090527122
77,57,1090527125,其他错误,300899.SZ,900,0,0.0,23,48,48,21.75,50,20241023 09:40:31,1090527125
78,57,1090527145,内部错误，请联,600455.SH,900,0,0.0,23,48,48,20.56,50,20241023 09:43:05,1090527145
79,57,1090527146,其他错误,001259.SZ,900,0,0.0,23,48,48,21.43,50,20241023 09:40:36,1090527146
80,54,1090527147,,300854.SZ,1500,0,0.0,23,48,48,13.14,50,20241023 09:40:36,1090527147
81,57,1090527149,其他错误,300899.SZ,900,0,0.0,23,48,48,21.75,50,20241023 09:43:06,1090527149
82,57,1090527158,内部错误，请联,600455.SH,900,0,0.0,23,48,48,20.56,50,20241023 09:40:39,1090527158
83,57,1090527339,内部错误，请联,600455.SH,900,0,0.0,23,48,48,20.56,50,20241023 09:40:43,1090527339
84,57,1090527340,其他错误,001259.SZ,900,0,0.0,23,48,48,21.43,50,20241023 09:40:43,1090527340
85,54,1090527343,,300854.SZ,1500,0,0.0,23,48,48,13.14,50,20241023 09:40:43,1090527343
86,57,1090527344,其他错误,300899.SZ,900,0,0.0,23,48,48,21.75,50,20241023 09:40:44,1090527344
87,57,1090527353,内部错误，请联,600455.SH,900,0,0.0,23,48,48,20.56,50,20241023 09:40:47,1090527353
88,57,1090527354,其他错误,001259.SZ,900,0,0.0,23,48,48,21.43,50,20241023 09:40:47,1090527354
89,54,1090527357,,300854.SZ,1500,0,0.0,23,48,48,13.14,50,20241023 09:43:17,1090527357
90,57,1090527363,内部错误，请联,600455.SH,900,0,0.0,23,48,48,20.56,50,20241023 09:43:20,1090527363
91,57,1090527364,其他错误,001259.SZ,900,0,0.0,23,48,48,21.43,50,20241023 09:40:52,1090527364
92,54,1090527366,,300854.SZ,1500,0,0.0,23,48,48,13.14,50,20241023 09:43:21,1090527366
93,57,1090527375,内部错误，请联,600455.SH,900,0,0.0,23,48,48,20.56,50,20241023 09:40:55,1090527375
94,54,1090527391,,300854.SZ,1500,0,0.0,23,48,48,13.08,50,20241023 09:40:55,1090527391
95,57,1090527396,内部错误，请联,600455.SH,900,0,0.0,23,48,48,20.56,50,20241023 09:40:57,1090527396
96,57,1090527405,内部错误，请联,600455.SH,900,0,0.0,23,48,48,20.56,50,20241023 09:43:29,1090527405
97,57,1090527416,内部错误，请联,600455.SH,900,0,0.0,23,48,48,20.56,50,20241023 09:43:32,1090527416
98,54,1090527426,,300854.SZ,1500,0,0.0,23,48,48,13.08,50,20241023 09:43:35,1090527426
99,57,1090527441,内部错误，请联,600455.SH,900,0,0.0,23,48,48,20.56,50,20241023 09:43:38,1090527441
100,54,1090527444,,300854.SZ,1500,0,0.0,23,48,48,13.08,50,20241023 09:41:10,1090527444
