,status_msg,order_id,status,symbol,amount,trade_amount,trade_price,order_type,direction,offset_flag,price,price_type,datetime,secondary_order_id
564,,1090539380,,300854.SZ,700,200,12.63,23,48,48,12.63,50,20241016 13:14:35,1090539380
565,,1090539379,,301010.SZ,700,200,13.67,23,48,48,13.67,50,20241016 13:13:00,1090539379
566,,1090539382,,000638.SZ,2200,2200,4.42,23,48,48,4.42,50,20241016 13:13:00,1090539382
567,,1090539383,,001211.SZ,600,600,16.59,23,48,48,16.59,50,20241016 13:14:35,1090539383
568,,1090539384,,002853.SZ,1200,1200,8.08,23,48,48,8.08,50,20241016 13:13:01,1090539384
569,其他错误,1090539387,其他错误,002921.SZ,900,0,0.0,24,48,49,10.49,50,20241016 13:13:03,1090539387
570,,1090539388,,300665.SZ,1500,0,0.0,24,48,49,6.34,50,20241016 13:13:03,1090539388
571,,1090539386,,600857.SH,1600,1600,6.11,24,48,49,6.11,50,20241016 13:13:03,1090539386
572,,1090539391,,301273.SZ,500,0,0.0,24,48,49,17.44,50,20241016 13:13:03,1090539391
573,,1090539392,,300955.SZ,600,600,14.59,23,48,48,14.59,50,20241016 13:14:38,1090539392
574,,1090539393,,300877.SZ,700,200,13.08,23,48,48,13.08,50,20241016 13:14:39,1090539393
575,,1090539395,,301010.SZ,700,200,13.67,23,48,48,13.67,50,20241016 13:14:40,1090539395
576,,1090539396,,300854.SZ,700,200,12.63,23,48,48,12.63,50,20241016 13:14:40,1090539396
577,,1090539398,,001211.SZ,600,600,16.59,23,48,48,16.59,50,20241016 13:13:05,1090539398
578,,1090539397,,000638.SZ,2200,2200,4.42,23,48,48,4.42,50,20241016 13:13:06,1090539397
579,,1090539399,,002853.SZ,1200,1200,8.08,23,48,48,8.08,50,20241016 13:13:06,1090539399
580,,1090539404,,600857.SH,1600,1600,6.11,24,48,49,6.11,50,20241016 13:13:07,1090539404
581,其他错误,1090539405,其他错误,002921.SZ,900,0,0.0,24,48,49,10.49,50,20241016 13:13:07,1090539405
582,,1090539406,,300665.SZ,1500,0,0.0,24,48,49,6.34,50,20241016 13:13:07,1090539406
583,,1090539407,,301273.SZ,500,0,0.0,24,48,49,17.44,50,20241016 13:13:07,1090539407
