,Unnamed: 0,代码,总股本,最新价,总市值,排名
0,428.0,001211.SZ,72000000.0,16.49,1187280000.0,3.0
1,191.0,000638.SZ,311386551.0,4.41,1373214689.91,12.0
2,3559.0,300417.SZ,134563200.0,10.25,1379272800.0,14.0
3,2493.0,603022.SH,200000000.0,6.94,1388000000.0,15.0
4,3472.0,300321.SZ,88800000.0,16.54,1468752000.0,18.0
5,2598.0,603159.SH,140000000.0,10.63,1488200000.0,22.0
6,1304.0,002853.SZ,186542748.0,8.06,1503534548.88,23.0
