,代码,moneymanage
1,300535.SZ,486464.7540000001
4,300886.SZ,457652.7540000001
14,603159.SH,449631.7540000001
6,300955.SZ,436804.7540000001
0,600137.SH,430568.7540000001
10,300417.SZ,413739.7540000001
5,300899.SZ,411940.7540000001
7,301010.SZ,403560.7540000001
3,300877.SZ,378674.7540000001
2,300854.SZ,348940.7540000001
11,300321.SZ,258762.75400000007
13,603022.SH,174366.75400000007
8,000638.SZ,174212.75400000007
9,001211.SZ,149592.75400000007
12,002853.SZ,118800.75400000007
