,代码,总股本,最新价,总市值,排名
3635,300478,126673000.0,7.3,924712900.0,1.0
1834,600455,62458000.0,14.81,925002980.0,2.0
3817,300665,189498316.0,5.18,981601276.88,3.0
2092,600768,133747200.0,7.4,989729280.0,4.0
3996,300854,101088500.0,10.31,1042222435.0,5.0
3895,300749,205169400.0,5.34,1095604596.0,6.0
4367,301273,71641792.0,15.45,1106865686.3999999,7.0
4161,301027,147861140.0,7.68,1135573555.2,8.0
1600,600137,97217588.0,11.81,1148139714.28,9.0
2918,603709,125928400.0,9.21,1159800564.0,10.0
3690,300535,104801463.0,11.25,1179016458.75,11.0
4423,301336,40000000.0,29.64,1185600000.0,12.0
1861,600493,272000000.0,4.39,1194080000.0,13.0
4225,301098,158405280.0,7.55,1195959864.0,14.0
4040,300899,63783466.0,18.86,1202956168.76,15.0
4085,300948,140017383.0,8.77,1227952448.9099998,16.0
4130,300995,84160000.0,14.71,1237993600.0,17.0
4145,301010,108000000.0,11.48,1239840000.0,18.0
4091,300955,100800000.0,12.33,1242864000.0,19.0
4018,300877,120000000.0,10.53,1263600000.0,20.0
695,002188,292538575.0,4.34,1269617415.5,21.0
1381,002921,130882787.0,9.76,1277416001.12,22.0
4281,301167,112000000.0,11.43,1280160000.0,23.0
4027,300886,74555000.0,17.2,1282346000.0,24.0
2166,600857,224319919.0,5.74,1287596335.06,25.0
2529,603045,135445155.0,9.57,1296210133.3500001,26.0
799,002295,250616000.0,5.19,1300697040.0,27.0
3250,300069,117000000.0,11.14,1303380000.0,28.0
496,001336,80373500.0,16.33,1312499254.9999998,29.0
4070,300931,240146000.0,5.51,1323204460.0,30.0
