,status_msg,order_id,status,symbol,amount,trade_amount,trade_price,order_type,direction,offset_flag,price,price_type,datetime,secondary_order_id
65,,1082147934,,600137.SH,700,200,13.71,23,48,48,13.71,50,20241016 11:08:28,1082147934
66,内部错误，请联,1082147935,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:08:29,1082147935
67,,1082147937,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:08:29,1082147937
68,,1082147949,,600137.SH,700,200,13.71,23,48,48,13.71,50,20241016 11:08:38,1082147949
69,内部错误，请联,1082147950,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:08:38,1082147950
70,,1082147952,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:08:38,1082147952
71,,1082147962,,600137.SH,700,200,13.71,23,48,48,13.71,50,20241016 11:08:42,1082147962
72,内部错误，请联,1082147963,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:08:42,1082147963
73,,1082147965,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:08:44,1082147965
74,内部错误，请联,1082149061,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.69,50,20241016 11:16:04,1082149061
75,内部错误，请联,1082149068,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.69,50,20241016 11:16:05,1082149068
76,,1082150164,,600857.SH,16000,16000,6.11,24,48,49,6.11,50,20241016 11:34:13,1082150164
77,内部错误，请联,1082150173,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:34:17,1082150173
78,,1082150176,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:34:17,1082150176
79,,1082150178,,600857.SH,16000,16000,6.11,24,48,49,6.11,50,20241016 11:34:19,1082150178
80,,1082150188,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:34:21,1082150188
81,,1082150191,,600857.SH,16000,16000,6.11,24,48,49,6.11,50,20241016 11:34:23,1082150191
82,,1082150203,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:34:24,1082150203
83,,1082150208,,600857.SH,1600,1600,6.11,24,48,49,6.11,50,20241016 11:34:27,1082150208
84,,1082150222,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:34:29,1082150222
85,,1082150229,,600857.SH,1600,1600,6.11,24,48,49,6.11,50,20241016 11:34:32,1082150229
86,,1082150243,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:34:34,1082150243
87,,1082150246,,600857.SH,1600,1600,6.11,24,48,49,6.11,50,20241016 11:34:37,1082150246
88,,1082150259,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:34:39,1082150259
89,,1082150262,,600857.SH,1600,1600,6.11,24,48,49,6.11,50,20241016 11:34:41,1082150262
90,,1082150275,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:34:42,1082150275
91,,1082150278,,600857.SH,1600,1600,6.11,24,48,49,6.11,50,20241016 11:34:43,1082150278
92,,1082145775,,128091.SZ,180,180,135.952,24,48,49,135.952,50,20241016 10:52:12,1082145775
93,,1082146527,,123052.SZ,70,70,129.143,24,48,49,129.143,50,20241016 10:59:04,1082146527
94,,1082146528,,123054.SZ,60,0,0.0,24,48,49,143.681,50,20241016 10:59:04,1082146528
95,,1082146529,,001211.SZ,6000,6000,16.46,23,48,48,16.46,50,20241016 10:59:04,1082146529
96,,1082146530,,000638.SZ,22000,22000,4.41,23,48,48,4.41,50,20241016 10:59:04,1082146530
97,,1082146531,,300417.SZ,9000,9000,10.26,23,48,48,10.26,50,20241016 10:59:04,1082146531
98,,1082146532,,300321.SZ,6000,6000,16.54,23,48,48,16.54,50,20241016 10:59:05,1082146532
99,,1082146533,,002853.SZ,12000,12000,8.06,23,48,48,8.06,50,20241016 10:59:05,1082146533
100,,1082146535,,301010.SZ,7000,7000,13.66,23,48,48,13.66,50,20241016 10:59:06,1082146535
101,,1082146534,,300899.SZ,4000,0,0.0,23,48,48,20.98,50,20241016 10:59:05,1082146534
102,,1082146536,,300854.SZ,7000,7000,12.62,23,48,48,12.62,50,20241016 10:59:05,1082146536
103,,1082146537,,300877.SZ,700,200,13.09,23,48,48,13.09,50,20241016 10:59:05,1082146537
104,,1082146539,,123054.SZ,60,0,0.0,24,48,49,143.696,50,20241016 10:59:09,1082146539
105,,1082146541,,123135.SZ,70,70,131.538,24,48,49,131.538,50,20241016 10:59:09,1082146541
106,,1082146549,,002853.SZ,12000,12000,8.06,23,48,48,8.06,50,20241016 10:59:10,1082146549
107,,1082146550,,000638.SZ,22000,22000,4.41,23,48,48,4.41,50,20241016 10:59:10,1082146550
108,,1082146551,,001211.SZ,6000,6000,16.46,23,48,48,16.46,50,20241016 10:59:10,1082146551
109,,1082146552,,300321.SZ,6000,6000,16.54,23,48,48,16.54,50,20241016 10:59:10,1082146552
110,,1082146542,,300417.SZ,9000,9000,10.26,23,48,48,10.26,50,20241016 10:59:11,1082146542
111,,1082146553,,300877.SZ,700,200,13.09,23,48,48,13.09,50,20241016 10:59:10,1082146553
112,,1082146554,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 10:59:10,1082146554
113,,1082146555,,301010.SZ,700,200,13.66,23,48,48,13.66,50,20241016 10:59:11,1082146555
