,代码,moneymanage
12,300899.SZ,536480.999
8,300535.SZ,485360.99899999995
2,603159.SH,457860.99899999995
7,300417.SZ,450237.99899999995
11,300886.SZ,424528.99899999995
0,600137.SH,401157.99899999995
6,300321.SZ,212872.99899999995
1,603022.SH,153886.99899999995
10,300877.SZ,104190.99899999995
14,301010.SZ,85454.99899999995
13,300955.SZ,78110.99899999995
9,300854.SZ,67902.9989999999
5,002853.SZ,676.9989999999525
3,000638.SZ,440.9989999999525
4,001211.SZ,429.9989999999525
