,交易日,交易所代码,ETF交易代码,ETF申赎代码,最小申购赎回单位份数,最大现金替代比例,预估现金差额,前一交易日现金差额,前一交易日基金单位净值,前一交易日申赎基准单位净值,当日申购赎回基准单位的红利金额,ETF申赎类型,ETF证券名称
937,20371207,2,159915,159915,1000000,1.0,-785.68,-835.68,2.0472,2047153.32,0.0,0,创业板ETF
938,20371207,2,159916,159916,500000,0.4,-15909.0,-17273.0,4.8138,2406881.0,0.0,0,深F60ETF
939,20371207,2,159918,159918,1000000,0.4,2611.03,3439.16,1.6794,1679364.88,0.0,0,中创400ETF
940,20371207,2,159919,159919,900000,0.4,2473.41,2141.78,4.0358,3632227.41,0.0,0,沪深300ETF
941,20371207,2,159920,159920,2000000,1.0,4721.54,5733.7,1.2305,2461064.13,0.0,0,恒生ETF
942,20371207,2,159922,159922,400000,0.7,2653.86,4448.55,5.77,2307994.78,0.0,0,中证500ETF
943,20371207,2,159925,159925,900000,0.4,-823.51,318.49,3.8664,3479765.49,0.0,0,沪深300ETF南方
944,20371207,2,159928,159928,2000000,0.5,2647.57,2531.57,0.8151,1630194.57,0.0,0,消费ETF
945,20371207,2,159929,159929,1000000,0.5,-13061.41,-13438.4,1.3006,1300591.96,0.0,0,医药ETF
946,20371207,2,159930,159930,500000,0.5,881.7,505.49,1.4426,721317.42,0.0,0,能源ETF
947,20371207,2,159931,159931,500000,0.5,4347.84,4872.84,1.7703,885150.84,0.0,0,金融ETF
948,20371207,2,159934,159934,300000,1.0,-84529.42,-84529.42,5.7508,1725250.58,0.0,0,黄金ETF
949,20371207,2,159935,159935,1000000,0.5,32.01,-1061.99,1.7107,1710686.01,0.0,0,中证500ETF景顺
950,20371207,2,159936,159936,2000000,0.4,22122.01,22081.01,1.8418,3683631.01,0.0,0,可选消费ETF
951,20371207,2,159937,159937,300000,1.0,-68681.25,-68681.25,5.8037,1741098.76,0.0,0,黄金ETF基金
