,交易日,交易所代码,ETF交易代码,ETF申赎代码,最小申购赎回单位份数,最大现金替代比例,预估现金差额,前一交易日现金差额,前一交易日基金单位净值,前一交易日申赎基准单位净值,当日申购赎回基准单位的红利金额,ETF申赎类型,ETF证券名称
925,20241011,2,159913,159913,300000,0.5,-31850.45,-31607.45,2.222,666555.55,0.0,0,深价值ETF
926,20241011,2,159915,159915,1000000,1.0,1108.73,1108.73,2.1719,2171857.73,0.0,0,创业板ETF
927,20241011,2,159916,159916,500000,0.4,-16864.51,-16024.51,4.9753,2487653.49,0.0,0,深F60ETF
928,20241011,2,159918,159918,1000000,0.4,4402.77,4243.86,1.7192,1719190.76,0.0,0,中创400ETF
929,20241011,2,159919,159919,900000,0.4,4556.22,7704.77,4.1848,3766299.61,0.0,0,沪深300ETF
930,20241011,2,159920,159920,2000000,1.0,4003.09,5925.69,1.2843,2568535.14,0.0,0,恒生ETF
931,20241011,2,159922,159922,400000,0.7,4972.96,4082.71,5.9999,2399979.32,0.0,0,中证500ETF
932,20241011,2,159925,159925,900000,0.4,53.63,2117.63,4.0093,3608355.63,0.0,0,沪深300ETF南方
933,20241011,2,159928,159928,2000000,0.5,1981.76,1981.76,0.8583,1716677.76,0.0,0,消费ETF
934,20241011,2,159929,159929,1000000,0.5,-14653.18,-15918.26,1.3909,1390942.44,0.0,0,医药ETF
935,20241011,2,159930,159930,500000,0.5,197.07,1040.43,1.4939,746936.95,0.0,0,能源ETF
936,20241011,2,159931,159931,500000,0.5,1973.87,314.88,1.7949,897429.16,0.0,0,金融ETF
937,20241011,2,159934,159934,300000,1.0,-82672.91,-82672.91,5.6333,1689997.09,0.0,0,黄金ETF
938,20241011,2,159935,159935,1000000,0.5,23.64,-3624.36,1.7765,1776480.64,0.0,0,中证500ETF景顺
939,20241011,2,159936,159936,2000000,0.4,22273.74,22160.09,1.9175,3835041.74,0.0,0,可选消费ETF
940,20241011,2,159937,159937,300000,1.0,-67023.72,-67023.72,5.6855,1705646.29,0.0,0,黄金ETF基金
941,20241011,2,159938,159938,2500000,0.4,25608.98,25883.98,0.6673,1668159.98,0.0,0,医药卫生ETF
942,20241011,2,159939,159939,4000000,0.4,19124.99,20582.99,0.5865,2346117.99,0.0,0,信息技术ETF
943,20241011,2,159940,159940,1000000,0.4,-8097.18,-6330.18,1.1378,1137778.82,0.0,0,金融地产ETF
944,20241011,2,159941,159941,1300000,1.0,-28702.3,-18509.1,1.0865,1412390.49,0.0,0,纳指ETF
945,20241011,2,159943,159943,3000000,0.4,-17313.97,-18822.97,1.1092,3327714.03,0.0,0,深证成指ETF
946,20241011,2,159944,159944,2000000,0.4,-9077.91,-8467.4,0.943,1885941.8,0.0,0,材料ETF
947,20241011,2,159945,159945,500000,0.4,16070.59,15382.59,1.203,601514.59,0.0,0,能源ETF基金
948,20241011,2,159948,159948,1000000,1.0,-4143.7,-4143.7,2.411,2411045.3,0.0,0,创业板ETF南方
949,20241011,2,159949,159949,1000000,0.42,-18734.66,-18734.66,0.9878,987771.34,0.0,0,创业板50ETF
950,20241011,2,159952,159952,1700000,1.0,7198.2,7198.2,1.3255,2253378.2,0.0,0,创业板ETF广发
951,20241011,2,159954,159954,500000,1.0,-149.26,-571.09,0.8586,429314.54,0.0,0,H股ETF
952,20241011,2,159956,159956,1000000,0.85,-45441.85,-46404.85,1.3845,1384454.15,0.0,0,创业板ETF建信
953,20241011,2,159957,159957,1000000,0.35,5730.45,5730.45,1.4306,1430597.45,0.0,0,创业板100ETF华夏
954,20241011,2,159958,159958,700000,0.35,19840.18,17785.18,1.3144,920046.18,0.0,0,创业板ETF工银
955,20241011,2,159959,159959,1000000,0.85,4964.29,5113.29,1.4934,1493372.29,0.0,0,央企ETF
