,symbol,volume,can_use_volume,frozen_volume,market_value
0,600857.SH,59900,59900,0,366588.0
1,002921.SZ,40600,40600,0,425894.0
2,123054.SZ,300,0,300,42952.8
3,300069.SZ,17000,15000,2000,240720.0
4,300665.SZ,68300,62300,6000,433022.0
5,300749.SZ,65600,59600,6000,413936.00000000006
6,301167.SZ,14600,11100,3500,212868.0
7,301273.SZ,26400,23900,2500,460416.00000000006
