,交易日,交易所代码,ETF交易代码,ETF申赎代码,最小申购赎回单位份数,最大现金替代比例,预估现金差额,前一交易日现金差额,前一交易日基金单位净值,前一交易日申赎基准单位净值,当日申购赎回基准单位的红利金额,ETF申赎类型,ETF证券名称
316,20241022,1,516530,516530,500000,0.5,-3465.99,-3465.99,0.8826,441304.01,0.0,0,物流快递ETF
317,20241022,1,516550,516550,1000000,0.5,-1420.24,-1420.24,0.6215,621540.76,0.0,0,农业ETF
318,20241022,1,516560,516560,500000,0.5,216.76,970.76,0.7631,381554.76,0.0,0,养老ETF
319,20241022,1,516570,516570,1000000,0.5,10462.7,10462.7,0.7513,751270.7,0.0,0,化工行业ETF
320,20241022,1,516580,516580,1000000,0.5,105.56,799.56,0.4806,480552.56,0.0,0,新能源主题ETF
321,20241022,1,516590,516590,1000000,0.5,9344.61,9344.61,0.9333,933316.61,0.0,0,智能汽车50ETF
322,20241022,1,516600,516600,3000000,0.5,99227.68,100801.68,0.593,1778881.68,0.0,0,消费服务ETF
323,20241022,1,516610,516610,1000000,0.4,-2004.21,-2034.21,0.4998,499840.79,0.0,0,医疗服务ETF
324,20241022,1,516620,516620,1000000,0.8,2827.79,1675.79,0.8598,859752.79,0.0,0,影视ETF
325,20241022,1,516630,516630,1000000,0.5,9303.26,12861.16,1.0602,1060196.76,0.0,0,云计算50ETF
326,20241022,1,516640,516640,2000000,0.5,823.68,2386.68,0.736,1471918.68,0.0,0,芯片龙头ETF
327,20241022,1,516650,516650,1000000,0.5,-4159.63,-2357.45,1.057,1056963.14,0.0,0,有色金属ETF基金
328,20241022,1,516660,516660,1000000,0.5,-8711.87,-8291.87,0.7307,730690.13,0.0,0,新能源车ETF基金
329,20241022,1,516670,516670,1000000,0.5,2057.66,1480.66,0.6131,613053.66,0.0,0,畜牧养殖ETF
330,20241022,1,516700,516700,500000,0.5,61.54,187.54,0.8343,417129.54,0.0,0,大数据产业ETF
331,20241022,1,516710,516710,2000000,0.5,6834.68,6914.08,0.5002,1000486.01,0.0,0,新材料50ETF
332,20241022,1,516720,516720,1500000,0.5,-45473.94,-45505.94,0.8897,1334488.06,0.0,0,ESGETF
333,20241022,1,516730,516730,500000,0.5,-433.78,-433.78,1.0151,507561.22,0.0,0,证券公司ETF
334,20241022,1,516750,516750,500000,0.5,-2303.07,-2303.07,0.651,325499.93,0.0,0,建材ETF
335,20241022,1,516760,516760,1000000,0.5,-444.54,-444.54,0.598,598014.46,0.0,0,养殖ETF
336,20241022,1,516770,516770,1200000,0.5,-7650.46,-9055.46,1.0615,1273801.54,0.0,0,游戏动漫ETF
337,20241022,1,516780,516780,500000,0.5,-697.1,-542.1,0.9343,467161.9,0.0,0,稀土ETF
338,20241022,1,516790,516790,1300000,0.5,-20800.6,-20038.6,0.5903,767443.4,0.0,0,医疗保健ETF
339,20241022,1,516800,516800,2000000,0.5,346.43,1494.43,1.051,2102016.43,0.0,0,智能制造ETF
340,20241022,1,516810,516810,1000000,0.5,5248.62,4910.62,0.6706,670624.62,0.0,0,农业50ETF
341,20241022,1,516820,516820,1000000,0.5,22522.27,22522.27,0.3498,349838.27,0.0,0,医疗创新ETF
342,20241022,1,516830,516830,2500000,0.5,70988.4,68359.4,0.8374,2093446.4,0.0,0,300ESGETF
343,20241022,1,516850,516850,1000000,0.5,3676.24,24267.56,0.7381,738077.55,0.0,0,新能源ETF基金
344,20241022,1,516860,516860,1000000,0.9,207.48,4696.66,1.2358,1235792.02,0.0,0,金融科技ETF
345,20241022,1,516880,516880,2000000,0.5,19772.98,19772.98,0.6655,1330924.98,0.0,0,光伏50ETF
346,20241022,1,516890,516890,1000000,0.5,32771.27,32591.27,0.523,522958.27,0.0,0,新材料ETF平安
347,20241022,1,516900,516900,1500000,0.5,-1164.93,84.07,0.6196,929469.07,0.0,0,食品饮料ETF基金
348,20241022,1,516910,516910,500000,0.5,-2062.63,-2426.63,1.0244,512198.37,0.0,0,物流ETF
349,20241022,1,516920,516920,1500000,0.5,-6250.85,-6250.85,0.7189,1078413.15,0.0,0,芯片50ETF
350,20241022,1,516930,516930,1500000,0.5,6395.38,6395.38,0.4831,724606.38,0.0,0,生物科技ETF基金
351,20241022,1,516950,516950,1000000,0.5,913.39,838.39,1.087,1086984.39,0.0,0,基建ETF
352,20241022,1,516960,516960,1000000,0.8,8250.39,8250.39,0.767,766966.39,0.0,0,机械ETF
353,20241022,1,516970,516970,500000,0.4,-2733.91,-3197.91,1.1439,571945.09,0.0,0,基建50ETF
354,20241022,1,516980,516980,500000,0.5,-1073.27,-1177.27,1.107,553522.73,0.0,0,证券ETF先锋
355,20241022,1,517000,517000,5000000,0.5,52412.31,59320.93,0.8029,4014258.36,0.0,0,沪港深500ETF
356,20241022,1,517010,517010,3000000,0.5,13568.87,13459.24,0.9019,2705649.78,0.0,0,沪港深500ETF指数
357,20241022,1,517030,517030,3000000,0.5,40702.56,40702.56,0.9232,2769539.53,0.0,0,沪港深300ETF基金
