,交易日,交易所代码,ETF交易代码,ETF申赎代码,最小申购赎回单位份数,最大现金替代比例,预估现金差额,前一交易日现金差额,前一交易日基金单位净值,前一交易日申赎基准单位净值,当日申购赎回基准单位的红利金额,ETF申赎类型,ETF证券名称
47,20241010,1,510880,510880,500000,0.55,1354.17,1546.17,3.151,1575499.17,0.0,0,红利ETF
48,20241010,1,510900,510900,1000000,1.0,488.13,958.63,0.9364,936423.52,0.0,0,H股ETF
49,20241010,1,510950,510950,750000,1.0,6076.35,5712.35,1.107,830243.35,0.0,0,上证50ETF指数
50,20241010,1,510980,510980,3000000,0.5,-23177.53,34871.47,1.1058,3317406.47,0.0,0,上证综合ETF
51,20241010,1,510990,510990,2000000,0.5,19188.98,19033.98,0.8952,1790325.98,0.0,0,180ESGETF
52,20241010,1,511010,511010,10000,1.0,-1299.81,-177.29,138.015,1380148.88,0.0,0,国债ETF
53,20241010,1,511020,511020,15000,1.0,116024.15,116129.96,112.785,1691774.87,0.0,0,活跃国债ETF
54,20241010,1,511030,511030,100000,1.0,-24456.57,-24498.34,10.4968,1049683.33,0.0,0,公司债ETF
55,20241010,1,511060,511060,10000,1.0,23762.36,23830.83,105.6787,1056786.61,0.0,0,5年地方债ETF
56,20241010,1,511090,511090,10000,1.05,-2686.17,-2609.77,115.6035,1156033.83,0.0,0,30年国债ETF
57,20241010,1,511100,511100,10000,1.0,-35.79,-1488.57,104.4073,1044073.31,0.0,0,基准国债ETF
58,20241010,1,511130,511130,2000,1.0,836.35,-183.88,105.3083,210616.67,0.0,0,30年国债指数ETF
59,20241010,1,511180,511180,100000,1.0,-7786.38,-6595.48,10.5622,1056216.34,0.0,0,上证可转债ETF
60,20241010,1,511220,511220,100000,1.0,-39875.43,-37963.77,10.1261,1012610.47,0.0,0,城投债ETF
61,20241010,1,511260,511260,10000,1.0,-347.17,-260.64,130.284,1302836.12,0.0,0,十年国债ETF
62,20241010,1,511270,511270,10000,1.0,-4786.3,-4704.61,113.9631,1139631.26,0.0,0,10年地方债ETF
63,20241010,1,511360,511360,2000,1.0,946.17,876.83,110.4399,220879.86,0.0,0,短融ETF
64,20241010,1,511380,511380,100000,1.0,54.39,-221.1,10.8484,1084844.74,0.0,0,可转债ETF
65,20241010,1,511520,511520,10000,1.0,-733.82,-420.39,110.2873,1102872.84,0.0,0,政金债券ETF
66,20241010,1,511580,511580,2000,1.0,-260.83,-286.01,107.1242,214248.5,0.0,0,国债政金债ETF
67,20241010,1,511600,511600,1,1.0,0.0,0.0,100.0,100.0,0.0,0,货币ETF
68,20241010,1,511620,511620,1,1.0,0.0,0.0,100.0,100.0,0.0,0,货币基金ETF
69,20241010,1,511650,511650,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华夏快线ETF
70,20241010,1,511660,511660,1,1.0,0.0,0.0,100.0,100.0,0.0,0,货币ETF建信添益
71,20241010,1,511670,511670,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华泰天天金ETF
72,20241010,1,511690,511690,1,1.0,0.0,0.0,100.0,100.0,0.0,0,交易货币ETF
73,20241010,1,511700,511700,10,1.0,0.0,0.0,100.0,1000.0,0.0,0,场内货币ETF
74,20241010,1,511770,511770,1,1.0,0.0,0.0,100.0,100.0,0.0,0,金鹰增益货币ETF
75,20241010,1,511800,511800,1,1.0,0.0,0.0,100.0,100.0,0.0,0,易方达货币ETF
76,20241010,1,511810,511810,1,1.0,0.0,0.0,100.0,100.0,0.0,0,理财金货币ETF
77,20241010,1,511820,511820,1,1.0,0.0,0.0,100.0,100.0,0.0,0,鹏华添利ETF
78,20241010,1,511830,511830,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华泰货币ETF
79,20241010,1,511850,511850,10,1.0,0.0,0.0,100.0,1000.0,0.0,0,财富宝ETF
80,20241010,1,511860,511860,1,1.0,0.0,0.0,100.0,100.0,0.0,0,保证金货币ETF
81,20241010,1,511880,511880,10,1.0,0.2,0.04,101.3136,1013.14,0.0,0,银华日利ETF
82,20241010,1,511900,511900,1,1.0,0.0,0.0,100.0,100.0,0.0,0,富国货币ETF
83,20241010,1,511910,511910,1,1.0,0.0,0.0,100.0,100.0,0.0,0,融通货币ETF
84,20241010,1,511920,511920,1,1.0,0.0,0.0,100.0,100.0,0.0,0,广发货币ETF
85,20241010,1,511930,511930,1,1.0,0.0,0.0,100.0,100.0,0.0,0,国联日盈货币ETF
86,20241010,1,511950,511950,1,1.0,0.0,0.0,100.0,100.0,0.0,0,添利货币ETF
87,20241010,1,511960,511960,1,1.0,0.0,0.0,100.0,100.0,0.0,0,嘉实快线ETF
88,20241010,1,511970,511970,1,1.0,0.0,0.0,100.0,100.0,0.0,0,国寿货币ETF
89,20241010,1,511980,511980,1,1.0,0.0,0.0,100.0,100.0,0.0,0,现金添富ETF
90,20241010,1,511990,511990,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华宝添益ETF
91,20241010,1,512000,512000,300000,0.5,10.11,480.11,1.1389,341669.11,0.0,0,券商ETF
92,20241010,1,512010,512010,1000000,0.7,9835.0,9711.0,0.3988,398799.0,0.0,0,医药ETF
93,20241010,1,512040,512040,1000000,0.5,4386.68,3874.68,0.9414,941428.68,0.0,0,价值100ETF
