,代码,总股本,最新价,总市值,排名
3619,300478,126673000.0,9.17,1161591410.0,1.0
2075,600768,133747200.0,9.12,1219774464.0,2.0
2903,603709,125928400.0,9.87,1242913308.0,3.0
428,001211,72000000.0,17.29,1244880000.0,4.0
3979,300854,101088500.0,12.9,1304041650.0,5.0
1817,600455,62458000.0,20.88,1304123040.0,6.0
1844,600493,272000000.0,4.86,1321920000.0,7.0
691,002188,292538575.0,4.66,1363229759.5,8.0
4023,300899,63783466.0,21.42,1366241841.72,9.0
4113,300995,84160000.0,16.31,1372649600.0,10.0
1585,600137,97217588.0,14.14,1374656694.3200002,11.0
191,000638,311386551.0,4.53,1410581076.03,12.0
2492,603022,200000000.0,7.11,1422000000.0,13.0
3559,300417,134563200.0,10.7,1439826240.0,14.0
4144,301027,147861140.0,9.77,1444603337.8,15.0
492,001336,80373500.0,18.06,1451545410.0,16.0
793,002295,250616000.0,5.89,1476128240.0,17.0
4074,300955,100800000.0,14.66,1477728000.0,18.0
4128,301010,108000000.0,13.77,1487160000.0,19.0
4406,301336,40000000.0,37.28,1491200000.0,20.0
4068,300948,140028865.0,10.7,1498308855.5,21.0
4264,301167,112000000.0,13.62,1525440000.0,22.0
2597,603159,140000000.0,10.92,1528800000.0,23.0
3850,300717,102775000.0,15.03,1544708250.0,24.0
4010,300886,74555000.0,20.74,1546270700.0,25.0
1283,002830,133340000.0,11.6,1546744000.0,26.0
4053,300931,240146000.0,6.45,1548941700.0,27.0
452,001259,73588888.0,21.17,1557876758.96,28.0
3776,300640,312452427.0,5.02,1568511183.54,29.0
1455,003017,84000000.0,18.68,1569120000.0,30.0
2512,603045,135445155.0,11.59,1569809346.45,31.0
1304,002853,186542748.0,8.44,1574420793.12,32.0
4110,300992,90800169.0,17.46,1585370950.74,33.0
1442,003003,176798300.0,8.97,1585880751.0,34.0
2793,603506,187777779.0,8.45,1586722232.55,35.0
3673,300535,104801463.0,15.16,1588790179.08,36.0
3838,300703,180391840.0,8.83,1592859947.2,37.0
2549,603090,100000000.0,15.98,1598000000.0,38.0
444,001231,100000000.0,16.0,1600000000.0,39.0
3472,300321,88800000.0,18.03,1601064000.0,40.0
1273,002820,200868295.0,8.01,1608955042.95,41.0
4171,301057,117390438.0,13.72,1610596809.3600001,42.0
3071,605033,135200000.0,11.94,1614288000.0,43.0
322,000856,227000000.0,7.12,1616240000.0,44.0
2173,600883,236088000.0,6.86,1619563680.0,45.0
