,Unnamed: 0,日期,涨跌幅,上涨比例,上涨比例快线,上涨比例慢线,上涨比例均线均值,上涨比例均线刻度
20,0,20230615,1.0037081633049587,0.5302723385100158,0.4742819672840835,0.48891839144666416,0.4816001793653738,
21,0,20230616,1.0069219192763086,0.5995047276001801,0.49509279668620065,0.5193851481628581,0.5072389724245294,
22,0,20230619,0.9985875858901552,0.363166179446818,0.4820946329614235,0.4976477485190047,0.4898711907402141,
23,0,20230620,0.9948945638449364,0.279226618705036,0.4493513584299566,0.4139658419173447,0.43165860017365065,
24,0,20230621,0.9862047945950771,0.1700741406425522,0.4188169962762953,0.2708223129314687,0.344819654603882,
25,0,20230626,0.9832484419963886,0.1741573033707865,0.42343896374938644,0.2078193542394582,0.31562915899442234,
26,0,20230627,1.0198277774210396,0.8613483146067415,0.4505858578344828,0.4018599195400267,0.4262228886872548,
27,0,20230628,0.9977737629032682,0.4255892255892256,0.4550879793450165,0.48703161452225113,0.4710597969336338,
28,0,20230629,1.0087569920038506,0.6278338945005612,0.46393002553350615,0.6382571448988427,0.5510935852161745,
29,0,20230630,1.0117771274880565,0.7694033198743832,0.4780882415563564,0.6076088133213898,0.5428485274388731,
30,0,20230703,1.004829970070408,0.6271300448430494,0.48800704050564403,0.6747890864059979,0.5813980634558209,
31,0,20230704,1.0057230981456209,0.5539358600583091,0.49847016397897154,0.6501564082585805,0.574313286118776,
32,0,20230705,0.9946582792324884,0.260148015250056,0.4759598037073082,0.48040464005047134,0.4781822218788898,
33,0,20230706,0.9992608460130264,0.3964125560538116,0.4590354560784442,0.40349881045405883,0.43126713326625155,
34,0,20230707,0.9958953568439308,0.3649405962788612,0.4591833241477811,0.34050038919424286,0.399841856671012,
35,0,20230710,1.0014887997074304,0.498655311519498,0.4774690485489863,0.4200028212840569,0.44873593491652164,
36,0,20230711,1.0077849663476133,0.6924629878869448,0.521001452486019,0.518686298561768,0.5198438755238934,
37,0,20230712,0.9897630004142584,0.1805337519623234,0.5215328232019805,0.45721735045625533,0.4893750868291179,
38,0,20230713,1.0096850710259664,0.7527460210715087,0.5124826320740443,0.5419142536402589,0.5271984428571517,
39,0,20230714,1.0003891441828474,0.4058718063648588,0.5108395138053471,0.4463838597995635,0.4786116868024553,
40,0,20230717,0.9981120573558512,0.4114221724524076,0.4928052036346677,0.5233466666295916,0.5080759351321297,
41,0,20230718,1.0004325779947152,0.5060483870967742,0.47085895923653354,0.4411141219713468,0.45598654060394017,
42,0,20230719,0.9996722643825132,0.4469323779668608,0.45584248699685115,0.4548009791720142,0.4553217330844327,
43,0,20230720,0.990424321088168,0.2003581822252071,0.4263776805107593,0.38444631576294735,0.40541199813685336,
