,日期,涨跌幅,上涨比例
0,20230518,1.0043982205088577,0.4880522993688007
0,20230519,1.0002996679193468,0.4581924723912554
0,20230522,1.004501838254084,0.5704304710389904
0,20230523,0.9913902859051059,0.2237494366831906
0,20230524,0.9988533903384622,0.377027027027027
0,20230525,0.9993408469744842,0.3977477477477478
0,20230526,1.0042529276307899,0.5676954268979499
0,20230529,0.9956817246494928,0.3197294250281849
0,20230530,1.004385031062287,0.5684993240198287
0,20230531,0.997356323477499,0.3497747747747748
0,20230601,1.0031610022449886,0.5191441441441441
0,20230602,1.0087870095065623,0.672145913082639
0,20230605,1.0045509938076431,0.5364864864864864
0,20230606,0.9815914453182164,0.1186936936936937
0,20230607,1.004536448115229,0.5355855855855856
0,20230608,0.9964072687331624,0.3715637674628211
0,20230609,1.0048301028584201,0.521729340238685
0,20230612,1.0075995184661939,0.5995047276001801
0,20230613,1.0034651767838652,0.5081044574515984
0,20230614,1.0010012448316183,0.4283783783783784
0,20230615,1.0037081633049587,0.5302723385100158
0,20230616,1.0069219192763086,0.5995047276001801
0,20230619,0.9985875858901552,0.363166179446818
0,20230620,0.9948945638449365,0.279226618705036
0,20230621,0.9862047945950771,0.1700741406425522
0,20230626,0.9832484419963886,0.1741573033707865
0,20230627,1.0198277774210396,0.8613483146067415
0,20230628,0.9977737629032682,0.4255892255892256
0,20230629,1.0087569920038506,0.6278338945005612
0,20230630,1.0117771274880565,0.7694033198743832
0,20230703,1.004829970070408,0.6271300448430494
0,20230704,1.0057230981456209,0.5539358600583091
0,20230705,0.9946582792324883,0.260148015250056
0,20230706,0.9992608460130264,0.3964125560538116
0,20230707,0.9958953568439309,0.3649405962788612
0,20230710,1.0014887997074304,0.498655311519498
0,20230711,1.0077849663476133,0.6924629878869448
0,20230712,0.9897630004142584,0.1805337519623234
0,20230713,1.0096850710259664,0.7527460210715087
0,20230714,1.0003891441828474,0.4058718063648588
0,20230717,0.9981120573558513,0.4114221724524076
0,20230718,1.0004325779947152,0.5060483870967742
0,20230719,0.9996722643825132,0.4469323779668608
0,20230720,0.9904243210881681,0.2003581822252071
0,20230721,0.9974824855374754,0.4280277591224536
0,20230724,0.9996872323074475,0.4815312290127602
0,20230725,1.0170241044579478,0.8514541387024609
0,20230726,0.9964927105995015,0.4145796064400716
0,20230727,0.9942551591769866,0.2580500894454383
0,20230728,1.0079111124798221,0.7104203935599285
0,20230731,1.0093702297345803,0.7167449139280125
0,20230801,0.9975406369530615,0.3710326329906124
0,20230802,0.9987350578087931,0.3970489604292421
0,20230803,0.99939931076741,0.3958891867739053
0,20230804,1.0009705308053265,0.4337726155907974
0,20230807,0.9948727961602045,0.2888094706276524
0,20230808,0.998988530253193,0.3954890576150067
0,20230809,0.9966902332295984,0.2127232142857143
0,20230810,1.0038319229221797,0.5876840696117804
0,20230811,0.984147278612342,0.103502119116663
0,20230814,1.00452262632094,0.5932619366354306
0,20230815,0.9958068900413711,0.2948918135177336
0,20230816,0.9915544981461248,0.2183318465655664
0,20230817,1.012822324646861,0.7682872435325602
0,20230818,0.9860910786147349,0.1814938684503902
0,20230821,0.9942388913605731,0.2700111482720178
0,20230822,1.0020366756247718,0.4948729380294249
0,20230823,0.9840187441188436,0.1214078859434172
0,20230824,0.9985515174596319,0.4230340833147694
0,20230825,0.9819517682544845,0.1773223435063488
0,20230828,1.0100635353277148,0.7060133630289532
0,20230829,1.032660055660007,0.8941857874805079
0,20230830,1.0046353406878068,0.5706969494544645
0,20230831,0.9943727479940732,0.3173012692050768
0,20230901,1.002487974201271,0.5341794700512136
0,20230904,1.0151768137086874,0.8296213808463252
0,20230905,0.9954287896533244,0.303360783440908
0,20230906,1.0043417844688884,0.5262572318647085
0,20230907,0.9841688097087621,0.0941255006675568
0,20230908,1.0014446148356566,0.492656875834446
0,20230911,1.0088907630358885,0.7234705228031145
0,20230912,0.9994614037722377,0.3987989323843416
0,20230913,0.9898027349438808,0.168594306049822
0,20230914,0.9928903251384944,0.2475533807829182
0,20230915,1.0015139696382822,0.5046708185053381
0,20230918,1.007684494665192,0.6705960854092526
0,20230919,0.9904648059760423,0.2112989323843416
0,20230920,0.9936865815279614,0.2212586168556816
0,20230921,0.9930828059965209,0.1938639395286794
0,20230922,1.0175182426091676,0.8701933763058457
0,20230925,0.995519377171551,0.3071111111111111
0,20230926,0.9957327483275261,0.2848888888888889
0,20230927,1.0037137844059651,0.5542222222222222
0,20230928,1.0101312046832533,0.7205424633170298
0,20231009,0.9957341542040267,0.3357047576700756
0,20231010,0.9976844535829389,0.3653333333333334
0,20231011,1.0010431957806007,0.4456545899088686
0,20231012,1.0059709521756033,0.6511111111111111
0,20231013,0.9931835865873202,0.242
0,20231016,0.9952593155611225,0.314596756276383
0,20231017,0.998834506971618,0.4172773706417944
0,20231018,0.9823254388934806,0.0984007107952021
0,20231019,0.990062203345293,0.1984902309058614
0,20231020,0.9919936245250277,0.2643729189789123
0,20231023,0.9765798614688788,0.0907678650687972
0,20231024,1.0244330060575972,0.890788013318535
0,20231025,1.0147831854071037,0.7730197470601287
0,20231026,1.0032139604336623,0.544486354559574
0,20231027,1.014032382203039,0.7523851786110495
0,20231030,1.0109142532860504,0.6833111407012872
0,20231031,0.9970610044204609,0.3921046795298292
0,20231101,1.0030564274506628,0.555309244070051
0,20231102,0.9910915339990977,0.180709534368071
0,20231103,1.0126719703850666,0.7101063829787234
0,20231106,1.0186509608498244,0.8723923657345761
0,20231107,1.0052659765838707,0.5304945664227101
0,20231108,1.001702914349126,0.4101086233651075
