,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
53,65,148,01,大气科学,非定向,3,549,3,4,6600,崂山校区,,6181.0
54,66,170,01,理科试验班,非定向,4,595,5,4,5000,校本部,前一年半执行特定培养计划，第三学期末自由选专业。完成试验班教学计划综合排名前50%的学生可申请本科直博。包含专业：材料科学与工程、管理科学与工程类、机械类、自动化类、计算机类、通信工程、土木类、安全工程、数学类、应用物理学,2025.0
55,69,594,01,经济学类,非定向,3,512,3,4,5060,开封校区,包含专业：经济学、金融学、财政学、国际经济与贸易,11556.0
56,71,478,01,机械设计制造及其自动化,非定向,4,513,4,4,5850,校本部,,11404.0
57,72,920,01,数学类,非定向,2,545,2,4,5400,龙河校区,包含专业：数学与应用数学、信息与计算科学,6692.0
58,75,362,01,思想政治教育,非定向,1,466,0,4,,校本部,,20873.0
59,76,071,01,植物生产类,非定向,2,516,2,4,3700,北碚校区,包含专业：植物保护、农学、园艺,10915.0
60,78,031,01,经济学,非定向,3,518,4,4,5200,江苏省南京市,,10600.0
61,79,411,01,临床医学,非定向,7,521,12,5,6050,主校区,,10105.0
62,81,066,01,生物科学类,非定向,6,549,6,4,5850,武汉市,包含专业：生物科学(国家生物学理科基地班)、生物技术(国家生命科学与技术基地班),6181.0
63,82,713,01,临床医学（5+3一体化）,非定向,2,602,3,5,5600,校本部,只招收英语语种考生,1636.0
64,83,384,01,法学（民商法律）,非定向,2,607,2,4,6500,松江校区,,1405.0
65,86,341,01,临床医学,非定向,2,566,2,5,5000,校本部,,4278.0
66,89,363,01,工科试验班（中欧航空工程师）,非定向,1,559,1,4,5800,东丽校区,不招色弱、色盲。高考投档成绩须超过当地一本线（或相当于原一本线标准的特殊类型最低控制线）120分（含）以上方可报考。包含专业：飞行器动力工程,5000.0
67,90,199,01,工科试验班（未来精工技术）,非定向,3,652,6,4,5500,北京,包含专业：智能制造工程、智能无人系统技术、人工智能、智能感知工程、网络空间安全、密码科学与技术、微电子科学与工程、数据科学与大数据技术,215.0
68,93,878,01,临床医学（5+3一体化，于维汉班）,非定向,1,623,1,5,4800,校本部,5+3+X本硕博连读，在全国所有省市录取时均不考虑任何加分因素，按考生实际高考成绩录取,820.0
69,94,203,01,兵器类,非定向,9,575,10,4,5800,南京校区,包含专业：弹药工程与爆炸技术、武器系统与工程,3435.0
70,96,307,01,教育学类,非定向,2,602,2,4,4800,北京校区,包含专业：教育学、教育技术学、学前教育、特殊教育,1636.0
71,97,047,01,经济统计学,非定向,5,508,5,4,4200,良乡校区,,12271.0
72,98,150,01,建筑学,非定向,1,500,2,5,5200,主校区,须具备一定美术基础,13724.0
73,99,202,01,武器系统与工程,非定向,2,528,4,4,5500,校本部,,9081.0
74,100,C98,01,工商管理类（中外合作办学）,非定向,8,465,2,4,100000,广东省珠海市,大类招生。工商管理专业培养创业与创新管理、电子商务与资讯系统管理、数字媒体管理方向；文化产业管理专业培养文化创意与管理，旅游、酒店与会展管理方向。原则上在第一学年第二学期开始前完成专业确认。高考英语单科成绩不低于95分。英文教学。包含专业：财务管理(中外合作办学)、人力资源管理(中外合作办学)、市场营销(中外合作办学)、工商管理(中外合作办学)、文化产业管理(中外合作办学),21120.0
75,102,073,01,理科试验班类（生命科学）,非定向,1,612,1,4,5000,北京市海淀区,包含专业：生物科学类、食品科学与工程类、农学、环境科学与工程类、园艺、植物保护、动物科学、动物医学类、草业科学、化学类、种子科学与工程,1197.0
76,103,390,01,药学（本博贯通强基拔尖实验班）,非定向,1,591,4,4,7480,江宁校区,不招色盲色弱,2250.0
77,104,754,01,经济学,非定向,14,455,16,4,4400,西校区,,23526.0
78,107,440,01,建筑学,非定向,2,434,0,5,4000,大庆校区,,28969.0
79,110,241,01,交通运输,非定向,4,538,5,4,4700,校本部,,7668.0
80,111,134,01,电气类,非定向,13,607,14,4,5500,北京校部,包含专业：电气工程及其自动化、智能电网信息工程,1405.0
81,112,309,01,工科试验班（国豪精英班）,非定向,2,650,4,4,7000,上海,工科拔尖人才培养计划。所有工科专业任选，本博贯通培养。专业确认后按专业标准收费。,243.0
82,114,374,01,自动化,非定向,5,519,5,4,6325,杭州市,,10442.0
83,116,458,01,机械设计制造及其自动化,非定向,2,546,5,4,5500,明向校区,,6565.0
84,117,281,01,经济学（经济金融统计与分析）,非定向,1,489,1,4,5000,校本部,,15879.0
85,118,F98,01,工商管理类（中外合作办学）,非定向,9,516,9,4,88000,,专业课全英文授课，详见招生简章。包含专业：经济学(中外合作办学)、经济与金融(中外合作办学)、信息管理与信息系统(中外合作办学)、工商管理(中外合作办学)、市场营销(中外合作办学)、会计学(中外合作办学)、国际商务(中外合作办学)、人力资源管理(中外合作办学)、供应链管理(中外合作办学),10915.0
86,119,294,01,建筑类,非定向,2,674,0,5,5000,北京市,包含专业：建筑学、城乡规划、风景园林,54.0
87,120,128,01,临床医学（5+3一体化）,非定向,2,615,3,5,,校本部,学费前5年5500元/学年，后3年12000元/学年,1085.0
88,121,391,01,药学类,非定向,4,530,5,4,6050,南校区,不招收色盲、色弱考生。非英语不宜报考。包含专业：药学、药物制剂、药物分析,8797.0
