,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
53,199,019,02,法学,非定向,13,597,13,4,5000,北京昌平,,169.0
54,206,363,02,法学（航空法）,非定向,1,548,2,4,5200,东丽校区,,1193.0
55,210,875,02,经济学,非定向,2,489,2,4,3500,哈尔滨市,,4718.0
56,212,C98,02,新闻传播学类（中外合作办学）,非定向,5,506,5,4,100000,广东省珠海市,大类招生。广告学专业培养公共关系与广告学方向；传播学专业培养媒体与传播学、媒体艺术与设计、影视学、动画与互动媒体、中华文化与国际传播方向。原则上在第一学年第二学期开始前完成专业确认。高考英语单科成绩不低于95分。英文教学。包含专业：广告学(中外合作办学)、传播学(中外合作办学),3407.0
57,213,281,02,金融学,非定向,2,536,2,4,5000,校本部,,1630.0
58,214,137,02,经济学类,非定向,2,537,2,4,6500,临港校区,包含专业：经济学(海运与物流经济)、国际经济与贸易、金融学(海运金融)、会计学、会计学(国际会计)、会计学(管理会计)、会计学(ACCA)、财务管理、工商管理、旅游管理、供应链管理,1592.0
59,215,K53,02,国民经济管理（中外合作办学）,非定向,2,588,1,4,60000,苏州校区,合作院校为法国保罗-瓦莱里大学，毕业时可获中法双学位并可赴该校攻读硕士。,264.0
60,216,327,02,汉语言文学（省拔尖人才培养基地）,非定向,1,582,1,4,5200,苏州,,347.0
61,220,754,02,能源经济,非定向,17,469,17,4,4400,西校区,,6732.0
62,222,074,02,社会学类,非定向,2,541,3,4,5500,校本部,包含专业：社会学、社会工作,1432.0
63,223,941,02,经济学,非定向,2,557,2,4,5500,长安校区,基地班,924.0
64,228,E76,02,财务管理（中外合作办学）,非定向,4,528,6,4,100000,宁波,英语单科不低于115分,2023.0
65,229,049,02,财政学类,非定向,2,536,2,4,5200,仙林校区,包含专业：财政学、税收学,1630.0
66,232,B02,02,中医学,非定向,2,551,2,5,7500,长沙市,,1095.0
67,235,441,02,社会学类,非定向,2,567,2,4,6500,宝山校区,该专业代表人文社科类。按类招生，第一学年末进行专业分流。包含专业：哲学、法学、知识产权、社会学、社会工作、汉语言文学、汉语国际教育、新闻学、广播电视学、广告学、网络与新媒体、会展,634.0
68,242,313,02,经济学类,非定向,2,571,2,4,5800,威海校区,包含专业：金融学(证券、银行方向)、金融学(保险方向)、国际经济与贸易,548.0
69,249,551,02,日语,非定向,2,488,2,4,5400,马场道校区,,4799.0
70,252,048,02,经济学,非定向,1,511,1,4,4200,校本部,,3043.0
71,253,564,02,工商管理类,非定向,5,494,3,4,4400,天津市,学校各专业的公共外语课程均为英语，小语种考生慎重填报。包含专业：市场营销、市场营销(国际营销班),4305.0
72,255,F98,02,建筑类（中外合作办学）,非定向,2,525,2,4,88000,,专业课全英文授课，详见招生简章。包含专业：建筑学(中外合作办学)、城乡规划(中外合作办学)、土木工程(中外合作办学),2184.0
73,259,E76,03,传播学（中外合作办学）,非定向,2,526,1,4,100000,宁波,英语单科不低于115分,2140.0
74,260,F98,03,数学类（中外合作办学）,非定向,2,526,2,4,88000,,专业课全英文授课，详见招生简章。包含专业：金融数学(中外合作办学)、精算学(中外合作办学)、数学与应用数学(中外合作办学)、数据科学与大数据技术(中外合作办学),2140.0
75,269,297,03,社会学类,非定向,2,561,3,4,5520,前卫南区,包含专业：社会学、社会工作、劳动与社会保障,797.0
76,280,B02,03,中西医临床医学,非定向,1,547,1,5,7500,长沙市,,1216.0
77,282,737,03,汉语国际教育,非定向,2,507,3,4,4400,主校区,外语语种：英语,3321.0
78,285,007,03,社会学类,非定向,2,489,3,4,4500,校本部,包含专业：社会学、社会工作,4718.0
79,287,020,03,社会学,非定向,2,489,3,4,4500,南湖校区,,4718.0
80,294,298,03,外国语言文学类,非定向,4,586,0,4,5460,思明校区,包含专业：英语、日语、法语、俄语、德语、西班牙语,288.0
81,297,300,03,经济学类,非定向,2,583,2,4,5800,校本部,含经济学拔尖2.0班（薛暮桥班）、彭实戈班、PPE新文科基地班等；不招收单色识别不全考生。包含专业：经济学、财政学、金融学、国际经济与贸易,336.0
82,299,605,03,公共管理类,非定向,5,537,3,4,4400,主校区,包含专业：行政管理、公共事业管理、社会工作、国际政治,1592.0
83,301,612,03,法学,非定向,2,530,2,4,5280,青岛校区,,1911.0
84,302,925,03,法学,非定向,2,556,2,4,4600,海甸校区,一年级在城西基础教学部,942.0
85,312,A08,03,法学（涉外卓越律师人才培养试点班）,非定向,1,562,1,4,6500,校本部,外语单科成绩须不低于105分,771.0
86,317,384,03,法学（经济法）,非定向,1,587,1,4,6500,松江校区,,274.0
87,319,025,03,金融学类,非定向,2,593,2,4,5000,按学校两校区建设规划和办学实际确定,包含专业：金融学、金融学(北京外国语大学英语专业联培),205.0
88,321,942,03,国际政治,非定向,1,497,0,4,5000,长安校区,,4071.0
89,329,879,03,中医学,非定向,2,545,2,5,5000,校本部,,1288.0
90,331,198,03,俄语,非定向,3,468,0,4,4800,主校区,,6832.0
91,333,363,03,英语（民航外语）,非定向,5,512,5,4,5800,东丽校区,,2994.0
92,337,M32,03,汉语言文学,非定向,2,573,3,4,5000,主校区,,511.0
93,338,C98,03,外国语言文学类（中外合作办学）,非定向,2,503,0,4,100000,广东省珠海市,大类招生。原则上在第一学年第二学期开始前完成专业确认。高考英语单科成绩不低于110分。英文教学。包含专业：英语(中外合作办学)、翻译(中外合作办学),3612.0
94,339,564,03,公共管理类,非定向,2,496,2,4,4400,天津市,学校各专业的公共外语课程均为英语，小语种考生慎重填报。包含专业：公共事业管理、劳动与社会保障、健康服务与管理,4144.0
95,340,281,03,国际经济与贸易,非定向,1,529,0,4,5000,校本部,,1963.0
96,342,327,03,新闻传播学类,非定向,1,560,1,4,5200,苏州,包含专业：新闻学、广告学、网络与新媒体,826.0
97,345,309,03,人文科学试验班,非定向,10,592,7,4,6500,上海,含双学位培养项目：德语-政治学与行政学，法学-英语。可参加拔尖人才培养特区选拔。包含专业：广播电视学、德语、英语、日语、哲学、文化产业管理、汉语言文学,213.0
98,346,019,03,法学（法学人才培养模式改革实验班）,非定向,2,613,2,4,5000,北京昌平,第一阶段四年基础学习必修课成绩排名前90%且考核合格的学生，获得我校免试攻读研究生推荐资格，通过我校接收选拔后，进入第二阶段即两年应用学习阶段的学习，合格后授予法律硕士学位。,72.0
99,347,381,03,新闻学,非定向,2,481,3,4,6200,净月校区,,5476.0
100,351,074,03,公共管理类,非定向,2,546,2,4,5500,校本部,包含专业：劳动与社会保障、公共事业管理,1254.0
101,353,210,03,法学（卓越实验班）,非定向,1,561,2,4,5000,昌平校区,,797.0
102,356,972,03,汉语言文学（文秘）,非定向,3,540,4,4,4400,校本部,,1465.0
103,360,362,03,英语,非定向,1,491,1,4,,校本部,高考英语单科成绩不低于110分。,4557.0
104,361,728,03,中医学,非定向,3,530,3,5,5488,,不招收色弱、色盲考生、（5+3）一体化,1911.0
105,363,K53,03,金融学（中外合作办学）,非定向,2,596,3,4,60000,苏州校区,合作院校为法国KEDGE商学院，毕业时可获中法双学位并可赴该校攻读硕士。,179.0
106,366,427,03,法学,非定向,1,548,1,4,4200,校本部,,1193.0
107,367,035,03,金融学（双语实验班）,非定向,1,580,1,4,8000,柳林校区,,386.0
108,368,757,03,思想政治教育（师范类）,非定向,77,480,82,4,4200,校本部,,5564.0
109,369,006,03,财政学,非定向,3,523,3,4,4400,航空港校区,,2319.0
110,370,286,03,经济学类,非定向,3,618,3,4,5000,北京市,无时点专业选择；入校后可参与选拔项目：经济学-数学、应用经济-数据科学、应用经济-农村区域发展管理、经济学-社会学、经济学-历史学5个双主学位项目，经济学（中国特色经济学方向）拔尖班；国际交流：含美国伊利诺伊大学香槟分校、威斯康星大学麦迪逊分校等联合培养项目。包含专业：经济学、国民经济管理、能源经济、国际经济与贸易、数字经济,48.0
111,372,313,03,工商管理类,非定向,3,546,4,4,5800,威海校区,包含专业：工商管理(数字化运营管理方向)、工商管理(数字营销方向)、工商管理(商务智能方向)、工商管理(旅游与大数据方向)、工商管理(组织与人力资本管理方向)、会计学、供应链管理,1254.0
112,378,282,03,汉语言文学,非定向,3,616,7,4,5720,鼓楼校区,,58.0
113,396,274,04,戏剧影视文学,非定向,1,532,1,4,13000,华山路校区,,1820.0
114,398,B02,04,针灸推拿学,非定向,1,523,2,5,7500,长沙市,,2319.0
115,400,286,04,新闻传播学类,非定向,1,631,1,4,5000,北京市,无时点专业选择；入校后可参与选拔项目：法学-新闻学（保研率超70%）、传播学-公共管理、新媒体运营-数据管理3个双主学位项目，创意传播实验班；国际交流：与哥伦比亚大学、加州大学戴维斯分校等世界知名大学新闻院系是姊妹院校合作关系，境外交流奖学金资助全员覆盖。包含专业：新闻学、广播电视学、广告学、传播学、国际新闻与传播,22.0
116,403,020,04,经济学类,非定向,1,567,1,4,4500,首义校区,包含专业：经济学、数字经济,634.0
117,409,796,04,中医学,非定向,1,569,2,5,7660,校本部,不招色盲色弱,596.0
118,413,E63,04,政治学与行政学（法治政务方向）,非定向,3,509,4,4,4400,,,3183.0
119,414,300,04,政治学类,非定向,2,575,2,4,5000,青岛校区,含PPE新文科基地班、“国际政治+英语”双学位班、华岗特色班（科学社会主义）。包含专业：政治学与行政学、国际政治,472.0
120,418,605,04,法学,非定向,3,562,3,4,4400,主校区,,771.0
121,421,594,04,法学,非定向,3,519,3,4,5060,开封校区,,2539.0
122,427,A08,04,法学（刑事司法方向）,非定向,2,556,4,4,6500,校本部,,942.0
