,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
74,1062,852,01,思想政治教育（师范类）,非定向,2,449,2,4,5280,经开校区,,9154
75,1063,E87,01,英语（师范类）,非定向,95,386,41,4,16000,校本部,英语教育方向，英语单科成绩不低于90分,17686
76,1064,791,01,政治学与行政学,非定向,1,458,1,4,5050,相思湖校区,,7998
77,1066,B89,01,国际经济与贸易,非定向,2,393,2,4,12700,红湘校区,,16696
78,1068,652,01,汉语言文学（师范类）,非定向,2,473,2,4,4600,河北省沧州市,,6260
79,1069,227,02,国际经济与贸易,非定向,1,379,0,4,24600,南昌市,,18670
80,1070,F37,02,金融学,非定向,2,408,2,4,18000,福建厦门,,14636
81,1071,371,02,财务管理,非定向,3,400,3,4,22000,唐山校区,,15715
82,1075,E03,02,英语,非定向,4,383,4,4,27000,校本部,,18130
83,1076,D74,02,财务管理,非定向,2,410,2,4,46600,北京市顺义区,,14357
84,1078,B28,02,新闻学,非定向,1,425,1,4,4900,南校区,,12275
85,1079,D88,02,新闻学,非定向,5,391,6,4,27000,主校区,,16961
86,1082,395,02,金融学,非定向,3,397,3,4,15000,主校区,,16180
87,1086,A77,02,财政学类,非定向,1,508,1,4,6600,圣井校区,包含专业：财政学、税收学,3251
88,1087,343,02,国际经济与贸易,非定向,1,415,0,4,3500,校本部,,13636
89,1094,H15,02,数字经济,非定向,2,386,3,4,26800,校本部,,17686
90,1098,F29,02,思想政治教育,非定向,1,413,1,4,27500,校本部,,13928
91,1099,314,02,财务管理,非定向,4,457,4,4,4600,河北省唐山市,,8107
92,1100,976,02,社会工作,非定向,2,435,2,4,4620,三亚校区,,10940
93,1101,B55,02,汉语言文学,非定向,3,449,3,4,4800,校本部,,9154
94,1103,322,02,文化产业管理,非定向,2,422,3,4,4400,梁园校区,,12726
95,1112,838,02,机械设计制造及其自动化,非定向,2,385,2,4,26000,净月南校区,,17842
96,1115,K67,02,学前教育,非定向,1,382,1,4,17000,成都校区,,18266
97,1117,798,02,汉语言文学（师范类）,非定向,4,487,4,4,5100,雁山校区,,4902
98,1118,764,02,国际经济与贸易,非定向,22,424,23,4,4400,校本部,,12423
99,1119,G16,02,口腔医学,非定向,2,455,3,5,41544,长沙校区,,8398
100,1122,D28,02,中西医临床医学,非定向,4,432,3,5,27500,校本部,不招收色觉异常考生,11329
101,1124,E17,02,护理学,非定向,6,420,6,4,24000,校本部,,12972
102,1130,892,02,学前教育（师范类）,非定向,2,428,2,4,3000,主校区,,11868
103,1132,G23,02,学前教育（师范类）,非定向,2,429,2,4,5000,江南校区,,11719
104,1136,645,02,国际经济与贸易,非定向,2,446,1,4,5060,校本部,,9517
105,1137,B85,02,学前教育（师范类）,非定向,6,397,7,4,25800,黑龙江省哈尔滨市,,16180
106,1141,609,02,新闻学,非定向,4,449,5,4,4900,西湖校区,,9154
107,1147,616,02,学前教育,非定向,1,388,1,4,23000,校本部,,17390
108,1149,F65,02,大数据管理与应用,非定向,1,410,1,4,19500,校本部,,14357
109,1150,487,02,会计学（注册会计师）,非定向,1,435,1,4,13000,校本部,,10940
110,1151,973,02,财务管理,非定向,2,389,3,4,22000,校本部,校企合作，详见招生章程,17250
111,1155,C05,02,国际经济与贸易,非定向,2,389,1,4,14000,主校区,,17250
112,1156,J65,02,工程管理,非定向,2,384,2,4,19800,校本部,,17992
113,1162,A01,02,金融学,非定向,2,382,1,4,26000,校本部,,18266
114,1164,G54,02,数字经济,非定向,1,403,1,4,13000,共青城市校区,,15309
115,1165,A33,02,金融学,非定向,2,381,1,4,21500,校本部,,18406
116,1170,J43,02,政治学与行政学,非定向,5,458,5,4,5060,校本部,,7998
117,1171,552,02,英语,非定向,2,421,2,4,5400,校本部,,12842
118,1178,704,02,商务英语,非定向,3,386,4,4,18000,校本部,,17686
119,1179,A05,02,俄语,非定向,1,397,1,4,18000,,,16180
120,1181,840,02,工商管理类,非定向,4,461,4,4,4800,净月校区,包含专业：工商管理、市场营销、财务管理、农林经济管理、土地资源管理、旅游管理,7653
121,1184,757,02,社会工作,非定向,42,417,43,4,4200,校本部,,13376
122,1185,N58,02,物流管理,非定向,2,407,2,4,4000,数字商务与管理学院,,14756
123,1188,367,02,国际经济与贸易,非定向,1,384,0,4,23500,主校区,,17992
124,1190,K40,02,中医学,非定向,2,490,2,5,5700,主校区,色盲、色弱不予录取,4645
125,1194,808,02,金融学,非定向,9,386,10,4,30000,校本部,,17686
126,1195,F89,02,金融学,非定向,2,381,2,4,49800,北京市大兴区,,18406
127,1196,733,02,金融科技,非定向,2,383,2,4,22000,校本部,,18130
128,1198,503,02,国际经济与贸易,非定向,2,385,2,4,16500,成都校区,,17842
129,1207,698,02,会计学,非定向,2,449,2,4,14000,,,9154
130,1208,B20,02,汉语言文学,非定向,2,471,2,4,4000,校本部,,6497
131,1210,198,02,英语,非定向,1,451,1,4,4800,主校区,只招收英语语种考生,8883
132,1211,B35,02,学前教育（师范类）,非定向,2,427,2,4,4950,校本部,,12009
133,1213,E87,02,英语（师范类）,非定向,45,386,3,4,16000,校本部,英语翻译方向，英语单科成绩不低于90分,17686
134,1216,548,02,汉语国际教育,非定向,3,450,3,4,4800,高新校区,,9034
135,1219,429,02,思想政治教育（师范类）,非定向,2,481,2,4,5280,乐群校区,,5476
136,1222,854,02,英语,非定向,4,421,5,4,4600,九站校区,,12842
137,1226,A35,02,审计学,非定向,3,388,3,4,26800,净月校区,,17390
138,1229,696,02,金融工程,非定向,2,402,1,4,,七里坪校区,,15431
139,1233,D88,03,广播电视学,非定向,5,386,4,4,27000,主校区,,17686
140,1235,H31,03,汉语言文学,非定向,1,389,2,4,24000,美林校区,,17250
141,1237,116,03,社会工作,非定向,2,428,3,4,4600,校本部,,11868
142,1239,354,03,税收学,非定向,1,496,1,4,6500,校本部,,4144
143,1240,M68,03,广播电视学,非定向,3,428,3,4,4800,莲湖校区,,11868
144,1245,F29,03,学前教育,非定向,1,399,1,4,27500,校本部,,15875
145,1246,340,03,思想政治教育（师范类）,非定向,2,460,3,4,4000,,,7762
146,1247,527,03,旅游管理与服务教育,非定向,2,428,1,4,4000,星湖校区,,11868
147,1248,M72,03,财务管理,非定向,1,449,1,4,4400,英才校区,,9154
148,1250,227,03,社会工作,非定向,2,379,1,4,21000,南昌市,,18670
149,1257,838,03,智能制造工程,非定向,2,385,3,4,26000,净月南校区,,17842
150,1259,712,03,社会学,非定向,2,467,3,4,5100,太原校区,,6953
151,1263,764,03,法学,非定向,12,474,14,4,4200,校本部,,6160
152,1264,G16,03,中医学,非定向,4,442,5,5,41544,长沙校区,,10023
153,1266,D28,03,针灸推拿学,非定向,2,437,3,5,27500,校本部,不招收色觉异常考生,10697
