,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,ShortfallCount,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,CollegePath,CollegeCity,CollegeLevel,CollegeProvince
1939,1940,本科二批第一次,理科,13,北京工商大学嘉华学院（独立学院）,C23,1:1,333,333,13,1,12,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1873.dhtml,07,大数据管理与应用,非定向,1,333,0,4,79800,校本部,,4BC23,北京市,,北京市
1940,1941,本科二批第一次,文科,15,四川外国语大学成都学院（独立学院）,K67,1:1,379,379,15,14,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1914.dhtml,07,英语,非定向,1,413,1,4,17000,成都校区,,4AK67,成都市,,四川省
1941,1942,本科二批第一次,理科,94,长春科技学院（民办）,356,1:1,337,337,94,98,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1851.dhtml,07,中药学,非定向,3,344,4,4,25000,东华大街校区,,4B356,长春市,,吉林省
1942,1943,本科二批第一次,文科,19,西京学院（民办）,949,1:1,379,379,19,18,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1198.dhtml,07,国际经济与贸易,非定向,3,379,2,4,26400,校本部,,4A949,西安市,,陕西省
1943,1944,本科二批第一次,文科,13,中国劳动关系学院,059,1:1,468,468,13,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1068.dhtml,07,法学,非定向,1,487,1,4,4200,北京校本部。低年级在涿州校区就读，详见招生章程。,,4A059,北京市,,北京市
1944,1945,本科二批第一次,文科,5,昆明理工大学,425,1:1,449,449,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-524.dhtml,07,土地资源管理,非定向,3,449,3,4,4500,莲华校区,,4A425,昆明市,,云南省
1945,1946,本科二批第一次,理科,49,河北地质大学,157,1:1,369,369,49,52,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-67.dhtml,07,土木类,非定向,2,369,1,4,4900,河北省石家庄市,包含专业：土木工程、城市地下空间工程,4B157,石家庄市,,河北省
1946,1947,本科二批第一次,理科,18,西安欧亚学院（民办）,948,1:1,344,344,18,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1195.dhtml,07,英语,非定向,5,344,3,4,26000,校本部,,4B948,西安市,,陕西省
1947,1948,本科二批第一次,理科,226,塔里木大学,075,1:1,347,347,226,231,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-591.dhtml,07,园林,非定向,10,347,8,4,3000,校本部,,4B075,阿拉尔市,,新疆维吾尔自治区
1948,1949,本科二批第一次,理科,8,四川工业科技学院（民办）,J55,1:1,333,333,8,6,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2055.dhtml,07,电子信息类,非定向,2,339,2,4,17000,罗江校区,包含专业：电子信息工程、人工智能,4BJ55,德阳市,,四川省
1949,1950,本科二批第一次,文科,10,西安财经大学行知学院（独立学院）,511,1:1,386,386,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1921.dhtml,07,国际经济与贸易,非定向,1,386,1,4,23000,主校区,,4A511,西安市,,陕西省
1950,1951,本科二批第一次,理科,52,辽宁科技大学,167,1:1,383,383,52,53,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-122.dhtml,07,储能科学与工程,非定向,3,409,3,4,5200,校本部,,4B167,鞍山市,,辽宁省
1951,1952,本科二批第一次,理科,39,天津城建大学,553,1:1,400,400,39,40,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-603.dhtml,07,智能建造,非定向,1,407,1,4,5400,校本部,,4B553,天津市,,天津市
1952,1953,本科二批第一次,文科,130,辽宁对外经贸学院（民办）,808,1:1,381,381,130,146,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-627.dhtml,07,日语,非定向,16,381,10,4,30000,校本部,,4A808,大连市,,辽宁省
1953,1954,本科二批第一次,文科,20,北京第二外国语学院中瑞酒店管理学院（独立学院）,F89,1:1.05,379,379,21,8,13,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-15323559.dhtml,07,酒店管理（国际课程班）,非定向,2,379,0,4,59800,北京市大兴区,,4AF89,北京市,,北京市
1954,1955,本科二批第一次,理科,7,北京理工大学珠海学院（独立学院）,C21,1:1,374,374,7,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1916.dhtml,07,数字媒体技术,非定向,2,417,2,4,25000,珠海市,,4BC21,珠海市,,广东省
1955,1956,本科二批第一次,理科,158,黑龙江科技大学,457,1:1,369,369,158,160,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-178.dhtml,07,机械工艺技术,非定向,4,413,5,4,5000,校本部,,4B457,哈尔滨市,,黑龙江省
1956,1957,本科二批第一次,理科,4,昆明医科大学,341,1:1,462,462,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-527.dhtml,07,法医学,非定向,1,462,1,5,5000,校本部,,4B341,昆明市,,云南省
1957,1958,本科二批第一次,理科,28,北京第二外国语学院中瑞酒店管理学院（独立学院）,F89,1:1.05,333,333,30,3,27,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-15323559.dhtml,07,酒店管理（国际课程班）,非定向,2,333,0,4,59800,北京市大兴区,,4BF89,北京市,,北京市
1958,1959,本科二批第一次,理科,44,辽宁何氏医学院（民办）,E17,1:1,341,341,44,45,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1855.dhtml,07,药学,非定向,4,360,4,4,27000,校本部,,4BE17,沈阳市,,辽宁省
1959,1960,本科二批第一次,理科,71,长春财经学院（民办）,A35,1:1,333,333,71,67,4,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1848.dhtml,07,税收学,非定向,2,333,1,4,26000,净月校区,,4BA35,长春市,,吉林省
1960,1961,本科二批第一次,理科,16,中国劳动关系学院,059,1:1,425,425,16,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1068.dhtml,07,法学,非定向,1,484,1,4,4200,北京校本部。低年级在涿州校区就读，详见招生章程。,,4B059,北京市,,北京市
1961,1962,本科二批第一次,理科,100,吉林化工学院,839,1:1,347,347,100,103,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-160.dhtml,07,工业工程,非定向,2,382,2,4,5400,龙潭校区,,4B839,吉林市,,吉林省
1962,1963,本科二批第一次,理科,159,辽宁对外经贸学院（民办）,808,1:1,333,333,159,106,53,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-627.dhtml,07,日语,非定向,8,333,0,4,30000,校本部,,4B808,大连市,,辽宁省
1963,1964,本科二批第一次,理科,11,西南交通大学希望学院（独立学院）,J05,1:1,395,395,11,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-18907077.dhtml,07,机械设计制造及其自动化,非定向,1,408,1,4,17000,主校区,,4BJ05,成都市,,四川省
1964,1965,本科二批第一次,理科,14,吉林建筑大学,830,1:1,343,343,14,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-159.dhtml,07,城市地下空间工程,非定向,2,343,2,4,5940,净月校区,,4B830,长春市,,吉林省
1965,1966,本科二批第一次,理科,114,长春建筑学院（民办）,349,1:1,333,333,114,87,27,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1850.dhtml,07,计算机科学与技术,非定向,3,333,2,4,25000,奢岭校区,,4B349,长春市,,吉林省
1966,1967,本科二批第一次,文科,9,岭南师范学院,847,1:1,421,421,9,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-443.dhtml,07,社会工作,非定向,2,421,1,4,4590,校本部,,4A847,湛江市,,广东省
1967,1968,本科二批第一次,文科,23,绵阳师范学院,548,1:1,395,395,23,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-493.dhtml,07,德语,非定向,2,405,2,4,4800,高新校区,,4A548,绵阳市,,四川省
1968,1969,本科二批第一次,理科,17,河北北方学院,467,1:1,386,386,17,19,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-78.dhtml,07,医学检验技术,非定向,10,386,9,4,5700,河北省张家口市,色盲、色弱不予录取,4B467,张家口市,,河北省
1969,1970,本科二批第一次,理科,62,湖南农业大学,065,1:1,389,389,62,63,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-414.dhtml,07,机械设计制造及其自动化,非定向,2,429,2,4,5900,校本部,,4B065,长沙市,,湖南省
1970,1971,本科二批第一次,理科,158,长春电子科技学院（民办）,A11,1:1,334,334,158,160,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1847.dhtml,07,通信工程,非定向,3,340,3,4,26000,,,4BA11,长春市,,吉林省
1971,1972,本科二批第一次,文科,37,长春师范大学,429,1:1,403,403,37,42,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-168.dhtml,07,行政管理,非定向,2,442,2,4,5280,乐群校区,,4A429,长春市,,吉林省
1972,1973,本科二批第一次,理科,15,成都体育学院,335,1:1,368,368,15,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-505.dhtml,07,中医学,非定向,3,452,4,5,,武侯校区,,4B335,成都市,,四川省
1973,1974,本科二批第一次,理科,4,河北地质大学华信学院（独立学院）,M16,1:1,333,333,4,3,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1839.dhtml,07,地质类,非定向,2,333,1,4,21000,石家庄市,含勘查技术与工程、资源勘查工程专业。,4BM16,石家庄市,,河北省
1974,1975,本科二批第一次,文科,11,白城师范学院,852,1:1,448,448,11,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-169.dhtml,07,历史学（师范类）,非定向,3,448,3,4,4600,经开校区,,4A852,白城市,,吉林省
1975,1976,本科二批第一次,理科,21,东北电力大学,LF5,1:1,413,413,21,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-157.dhtml,07,电气工程及其自动化（中外合作办学）,非定向,10,507,12,4,25000,船营校区,与英国史萃克莱德大学合作办学,4BLF5,吉林市,,吉林省
1976,1977,本科二批第一次,文科,1137,内蒙古鸿德文理学院（民办）,E87,1:1,386,386,1137,1211,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-46949665.dhtml,07,旅游管理,非定向,30,386,32,4,16000,校本部,,4AE87,呼和浩特市,,内蒙古自治区
1977,1978,本科二批第一次,理科,78,吉林建筑科技学院（民办）,836,1:1,333,333,78,48,30,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1849.dhtml,07,道路桥梁与渡河工程,非定向,2,333,0,4,25000,,,4B836,长春市,,吉林省
1978,1979,本科二批第一次,文科,49,长春财经学院（民办）,A35,1:1,382,382,49,53,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1848.dhtml,07,税收学,非定向,2,389,2,4,26000,净月校区,,4AA35,长春市,,吉林省
1979,1980,本科二批第一次,理科,10,石家庄铁道大学四方学院（独立学院）,D05,1:1,396,396,10,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1838.dhtml,07,电气工程及其自动化,非定向,5,408,7,4,10000,南校区,,4BD05,石家庄市,,河北省
1980,1981,本科二批第一次,理科,10,沈阳医学院,824,1:1,369,369,10,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-138.dhtml,07,医学检验技术,非定向,1,428,1,4,5500,校本部,外语只用英语授课，不招收色盲色弱考生,4B824,沈阳市,,辽宁省
1981,1982,本科二批第一次,理科,5,邢台学院,456,1:1,369,369,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-88.dhtml,07,学前教育（师范类）,非定向,5,369,5,4,4600,校本部,,4B456,邢台市,,河北省
1982,1983,本科二批第一次,文科,5,衡阳师范学院,A80,1:1,445,445,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-420.dhtml,07,思想政治教育（师范类）,非定向,1,474,1,4,4000,东校区,,4AA80,衡阳市,,湖南省
1983,1984,本科二批第一次,理科,80,黑龙江工业学院,873,1:1,348,348,80,84,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-813.dhtml,07,测绘工程,非定向,7,356,7,4,5000,校本部,,4B873,鸡西市,,黑龙江省
1984,1985,本科二批第一次,理科,40,吉林工商学院,190,1:1,345,345,40,42,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-751.dhtml,07,金融科技,非定向,3,351,3,4,4800,卡伦校区,,4B190,长春市,,吉林省
1985,1986,本科二批第一次,理科,47,银川科技学院（民办）,E85,1:1,333,333,47,40,7,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6675760.dhtml,07,计算机科学与技术,非定向,4,333,4,4,24800,校本部,,4BE85,银川市,,宁夏回族自治区
1986,1987,本科二批第一次,理科,22,武汉工程大学邮电与信息工程学院（独立学院）,C90,1:1,333,333,22,21,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1595.dhtml,07,光电信息科学与工程,非定向,3,356,3,4,19000,校本部,,4BC90,武汉市,,湖北省
1987,1988,本科二批第一次,理科,1692,内蒙古农业大学,755,1:1,359,359,1692,1707,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-110.dhtml,07,马业科学,非定向,25,362,25,4,4600,校本部,,4B755,呼和浩特市,,内蒙古自治区
1988,1989,本科二批第一次,文科,8,昆明学院,992,1:1,405,405,8,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-791.dhtml,07,学前教育（师范类）,非定向,2,427,2,4,3400,校本部,,4A992,昆明市,,云南省
1989,1990,本科二批第一次,理科,118,华北科技学院,461,1:1,349,349,118,119,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-730.dhtml,07,安全工程,非定向,3,432,3,4,4900,校本部,,4B461,廊坊市,,河北省
1990,1991,本科二批第一次,文科,3,广东金融学院,208,1:1,456,456,3,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-844.dhtml,08,保险学,非定向,1,456,0,4,5050,,第一、二学年在清远校区就读，第三、四学年在校本部就读,4A208,广州市,,广东省
1991,1992,本科二批第一次,理科,10,南昌交通学院（民办）,D21,1:1,339,339,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1745.dhtml,08,土木工程,非定向,2,339,1,4,21600,靖安墨轩湖校区,,4BD21,南昌市,,江西省
1992,1993,本科二批第一次,理科,14,三峡大学科技学院（独立学院）,446,1:1,339,339,14,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1592.dhtml,08,制药工程,非定向,2,356,2,4,15000,江南校区,,4B446,宜昌市,,湖北省
1993,1994,本科二批第一次,理科,67,山东工商学院,447,1:1,362,362,67,67,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-889.dhtml,08,国际经济与贸易,非定向,2,420,3,4,6600,,,4B447,烟台市,,山东省
1994,1995,本科二批第一次,理科,22,西安理工大学高科学院（独立学院）,742,1:1,333,333,22,21,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1131348.dhtml,08,数字媒体技术,非定向,3,349,3,4,21780,校本部,,4B742,西安市,,陕西省
1995,1996,本科二批第一次,理科,10,兰州工商学院（民办）,F39,1:1,335,335,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1783.dhtml,08,金融科技,非定向,4,335,4,4,21800,校本部,,4BF39,兰州市,,甘肃省
1996,1997,本科二批第一次,理科,41,北华航天工业学院,116,1:1,406,406,41,42,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-869.dhtml,08,机械电子工程,非定向,2,429,2,4,4900,校本部,,4B116,廊坊市,,河北省
1997,1998,本科二批第一次,蒙授文科,13,长春大学,832,1:1,394,394,13,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-892.dhtml,08,汉语言文学,非定向,3,452,5,4,4600,卫星广场校区(东校区),,4C832,长春市,,吉林省
1998,1999,本科二批第一次,文科,4,长江大学文理学院（独立学院）,C16,1:1,432,432,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1602.dhtml,08,中国语言文学类,非定向,4,432,4,4,16500,校本部,包含专业：汉语言文学、汉语言文学(师范类),4AC16,荆州市,,湖北省
1999,2000,本科二批第一次,理科,11,安徽科技学院,B39,1:1,370,370,11,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-659.dhtml,08,建筑电气与智能化,非定向,1,408,1,4,4900,蚌埠龙湖校区,,4BB39,滁州市,,安徽省
2000,2001,本科二批第一次,文科,23,辽宁师范大学海华学院（独立学院）,F29,1:1,383,383,23,26,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1582.dhtml,08,新闻学,非定向,3,383,3,4,27000,校本部,,4AF29,大连市,,辽宁省
2001,2002,本科二批第一次,理科,7,重庆财经学院（民办）,899,1:1,339,339,7,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1835.dhtml,08,金融学,非定向,2,340,2,4,15000,校本部,,4B899,重庆市,,重庆市
2002,2003,本科二批第一次,理科,14,河南农业大学,590,1:1,381,381,14,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-367.dhtml,08,建筑类,非定向,2,381,2,4,5500,,包含专业：城乡规划、风景园林,4B590,郑州市,,河南省
2003,2004,本科二批第一次,理科,42,河南工程学院,G24,1:1,343,343,42,45,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-835.dhtml,08,机械设计制造及其自动化,非定向,1,429,1,4,5000,龙湖校区,,4BG24,郑州市,,河南省
2004,2005,本科二批第一次,理科,28,陕西国际商贸学院（民办）,614,1:1,336,336,28,30,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1547.dhtml,08,信息管理与信息系统,非定向,2,336,0,4,22000,校本部,,4B614,咸阳市,,陕西省
2005,2006,本科二批第一次,文科,6,郑州航空工业管理学院,J36,1:1,433,433,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-382.dhtml,08,金融学类,非定向,2,433,2,4,4400,龙子湖校区,包含专业：金融学、金融工程、金融科技,4AJ36,郑州市,,河南省
2006,2007,本科二批第一次,理科,12,中国矿业大学徐海学院（独立学院）,C05,1:1,333,333,12,10,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1828.dhtml,08,机械工程,非定向,2,362,3,4,15000,主校区,,4BC05,徐州市,,江苏省
2007,2008,本科二批第一次,文科,5,哈尔滨剑桥学院（民办）,D81,1:1,395,395,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1647.dhtml,08,工商管理类,非定向,5,395,5,4,23000,校本部,包含专业：会计学、财务管理、零售业管理,4AD81,哈尔滨市,,黑龙江省
2008,2009,本科二批第一次,理科,35,大连医科大学中山学院（独立学院）,F28,1:1,349,349,35,35,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1579.dhtml,08,计算机科学与技术,非定向,3,349,1,4,28000,校本部,,4BF28,大连市,,辽宁省
2009,2010,本科二批第一次,理科,6,郑州工商学院（民办）,H47,1:1,333,333,6,5,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1780.dhtml,08,电子信息工程,非定向,1,375,1,4,16000,,新生第一学年在兰考校区培养，第二至第四学年在郑州校区培养。,4BH47,郑州市,,河南省
2010,2011,本科二批第一次,理科,39,吉林师范大学博达学院（独立学院）,E22,1:1,333,333,39,38,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1867.dhtml,08,汉语言文学（师范类）,非定向,3,384,3,4,26000,,,4BE22,吉林市,,吉林省
2011,2012,本科二批第一次,文科,7,北京工商大学嘉华学院（独立学院）,C23,1:1,379,379,7,4,3,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1873.dhtml,08,国际商务,非定向,1,379,0,4,79800,校本部,,4AC23,北京市,,北京市
2012,2013,本科二批第一次,文科,55,长春工业大学人文信息学院（独立学院）,838,1:1,383,383,55,62,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1846.dhtml,08,轨道交通信号与控制,非定向,2,385,2,4,26000,净月南校区,,4A838,长春市,,吉林省
2013,2014,本科二批第一次,文科,8,沈阳城市学院（民办）,C88,1:1,382,382,8,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1587.dhtml,08,广告学,非定向,2,387,3,4,29000,校本部,,4AC88,沈阳市,,辽宁省
2014,2015,本科二批第一次,文科,19,广州应用科技学院（民办）,D34,1:1,381,381,19,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1898.dhtml,08,人力资源管理,非定向,1,385,1,4,29800,肇庆校区,,4AD34,广州市,,广东省
2015,2016,本科二批第一次,理科,85,长春工业大学人文信息学院（独立学院）,838,1:1,333,333,85,72,13,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1846.dhtml,08,轨道交通信号与控制,非定向,3,340,4,4,26000,净月南校区,,4B838,长春市,,吉林省
2016,2017,本科二批第一次,文科,8,山西师范大学,712,1:1,457,457,8,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-99.dhtml,08,学前教育（师范类）,非定向,2,470,2,4,5100,太原校区,,4A712,太原市,,山西省
2017,2018,本科二批第一次,理科,36,邵阳学院,696,1:1,349,349,36,36,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-421.dhtml,08,资产评估,非定向,2,349,1,4,,七里坪校区,,4B696,邵阳市,,湖南省
2018,2019,本科二批第一次,理科,12,桂林医学院,799,1:1,395,395,12,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-460.dhtml,08,医学检验技术,非定向,1,424,2,4,6480,临桂校区,不录取色盲色弱斜视考生,4B799,桂林市,,广西壮族自治区
2019,2020,本科二批第一次,文科,14,广西师范大学,798,1:1,442,442,14,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-461.dhtml,08,文化产业管理,非定向,2,452,2,4,5500,王城校区,,4A798,桂林市,,广西壮族自治区
2020,2021,本科二批第一次,理科,15,南宁学院（民办）,P27,1:1,333,333,15,6,9,,08,物流工程,非定向,3,333,1,4,22500,,,4BP27,南宁市,,广西壮族自治区
2021,2022,本科二批第一次,理科,123,吉林农业大学,840,1:1,376,376,123,123,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-161.dhtml,08,食品科学与工程类,非定向,6,431,6,4,5400,净月校区,包含专业：食品科学与工程、食品质量与安全、粮食工程、酿酒工程,4B840,长春市,,吉林省
2022,2023,本科二批第一次,理科,100,吉林化工学院,839,1:1,347,347,100,103,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-160.dhtml,08,过程装备与控制工程,非定向,2,412,2,4,5940,龙潭校区,,4B839,吉林市,,吉林省
2023,2024,本科二批第一次,理科,26,山西中医药大学,728,1:1,368,368,26,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-606.dhtml,08,中医康复学,非定向,1,438,1,5,5488,,不招收色弱、色盲考生,4B728,太原市,,山西省
2024,2025,本科二批第一次,理科,981,内蒙古鸿德文理学院（民办）,E87,1:1,333,333,981,1025,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-46949665.dhtml,08,会计学,非定向,102,351,108,4,16000,校本部,,4BE87,呼和浩特市,,内蒙古自治区
2025,2026,本科二批第一次,理科,10,贵州理工学院,K02,1:1,353,353,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-592558303.dhtml,08,过程装备与控制工程,非定向,2,353,1,4,4200,,,4BK02,贵阳市,,贵州省
2026,2027,本科二批第一次,理科,147,长春工程学院,430,1:1,350,350,147,150,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-809.dhtml,08,智能建造,非定向,3,368,3,4,5400,湖西校区,,4B430,长春市,,吉林省
2027,2028,本科二批第一次,理科,78,山西农业大学,680,1:1,361,361,78,79,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-95.dhtml,08,生物农药科学与工程,非定向,2,399,3,4,4500,,,4B680,晋中市,,山西省
2028,2029,本科二批第一次,理科,74,太原科技大学,101,1:1,367,367,74,76,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-92.dhtml,08,焊接技术与工程,非定向,4,409,4,4,5500,南校区,,4B101,太原市,,山西省
2029,2030,本科二批第一次,文科,19,绥化学院,892,1:1,406,406,19,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-192.dhtml,08,英语,非定向,3,406,2,4,4500,主校区,,4A892,绥化市,,黑龙江省
2030,2031,本科二批第一次,理科,61,天津理工大学中环信息学院（独立学院）,D70,1:1,333,333,61,59,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-404954.dhtml,08,机器人工程,非定向,3,345,3,4,18000,海河园校区,,4BD70,天津市,,天津市
2031,2032,本科二批第一次,文科,10,中原工学院,214,1:1,420,420,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-366.dhtml,08,日语,非定向,5,420,5,4,4400,龙湖校区,,4A214,郑州市,,河南省
2032,2033,本科二批第一次,文科,5,黄冈师范学院,690,1:1,471,471,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-398.dhtml,08,法学,非定向,5,471,5,4,5200,校本部,,4A690,黄冈市,,湖北省
2033,2034,本科二批第一次,理科,59,大连工业大学艺术与信息工程学院（独立学院）,E03,1:1,333,333,59,51,8,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1570.dhtml,08,工业设计,非定向,2,333,0,4,27500,校本部,,4BE03,大连市,,辽宁省
2034,2035,本科二批第一次,文科,4,河南财政金融学院,N30,1:1,408,408,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-879.dhtml,08,财务管理,非定向,2,463,2,4,4400,象湖校区,,4AN30,郑州市,,河南省
2035,2036,本科二批第一次,理科,125,哈尔滨剑桥学院（民办）,D81,1:1,333,333,125,134,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1647.dhtml,08,工商管理类,非定向,5,333,4,4,23000,校本部,包含专业：会计学、财务管理、零售业管理,4BD81,哈尔滨市,,黑龙江省
2036,2037,本科二批第一次,理科,11,湖南医药学院,707,1:1,369,369,11,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-993.dhtml,08,卫生检验与检疫,非定向,1,419,1,4,5500,锦溪校区,不录取色盲、色弱考生,4B707,怀化市,,湖南省
