,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,ranking,CollegeLevel,CollegeProvince,CollegeCity
314,5011,本科一批第一次,理科,4,浙江大学医学院,M29,1:1,651,651,4,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-256.dhtml,230,,浙江省,杭州市
315,5024,本科一批第一次,理科,40,贵州大学,591,1:1,475,475,40,42,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-509.dhtml,6181,"['211', 'DFC']",贵州省,贵阳市
316,5031,本科一批第一次,理科,6,贵州大学,LP2,1:1,459,459,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-509.dhtml,21591,"['211', 'DFC']",贵州省,贵阳市
317,5057,本科一批第一次,理科,37,吉林大学,LA8,1:1,519,519,37,38,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-154.dhtml,6993,"['985', '211', 'DFC']",吉林省,长春市
318,5079,本科一批第一次,理科,86,哈尔滨商业大学,054,1:1,434,434,86,72,14,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-194.dhtml,18153,,黑龙江省,哈尔滨市
319,5082,本科一批第一次,理科,239,吉林大学,297,1:1,519,519,239,249,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-154.dhtml,6427,"['985', '211', 'DFC']",吉林省,长春市
320,5091,本科一批第一次,理科,64,南京林业大学,080,1:1,466,466,64,67,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-235.dhtml,12614,['DFC'],江苏省,南京市
321,5094,本科一批第一次,理科,36,辽宁科技大学,167,1:1,442,442,36,39,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-122.dhtml,17268,,辽宁省,鞍山市
322,5096,本科一批第一次,理科,5,北方民族大学,L69,1:1,446,446,5,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-797.dhtml,25814,,宁夏回族自治区,银川市
323,5099,本科一批第一次,理科,318,内蒙古民族大学,761,1:1,438,438,318,334,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-113.dhtml,24531,,内蒙古自治区,通辽市
324,5111,本科一批第一次,理科,78,湖南科技大学,A99,1:1,448,448,78,84,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-412.dhtml,20373,,湖南省,湘潭市
325,5138,本科一批第一次,理科,25,深圳大学,B82,1:1,541,541,25,28,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-451.dhtml,4369,,广东省,深圳市
326,5151,本科一批第二次,理科,34,长春中医药大学,A32,1:1,486,486,34,36,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-162.dhtml,16455,,吉林省,长春市
327,5164,本科一批第一次,理科,17,长春理工大学,LF2,1:1,491,491,17,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-156.dhtml,13724,,吉林省,长春市
328,5180,本科一批第一次,理科,15,扬州大学,911,1:1,465,465,15,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-737.dhtml,9977,,江苏省,扬州市
329,5183,本科一批第一次,理科,178,中南大学,312,1:1,561,561,178,184,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-411.dhtml,3284,"['985', '211', 'DFC']",湖南省,长沙市
330,5194,本科一批第一次,理科,44,华东交通大学,242,1:1,457,457,44,51,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-315.dhtml,21120,,江西省,南昌市
331,5195,本科一批第一次,理科,6,南方医科大学,B54,1:1,518,518,6,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-988.dhtml,10600,,广东省,广州市
332,5213,本科一批第二次,理科,14,三峡大学,293,1:1,472,472,14,19,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-718.dhtml,19501,,湖北省,宜昌市
333,5232,本科一批第一次,理科,8,东北师范大学,321,1:1,528,528,8,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-163.dhtml,2793,"['211', 'DFC']",吉林省,长春市
334,5248,本科一批第二次,理科,7,宁夏医科大学,138,1:1,456,456,7,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-588.dhtml,23253,,宁夏回族自治区,银川市
335,5264,本科一批第一次,理科,37,中国石油大学（北京）克拉玛依校区,M31,1:1,474,474,37,38,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-798.dhtml,14714,,新疆维吾尔自治区,克拉玛依市
336,5279,本科一批第六次,理科,6,中南大学,LR9,1:1,546,546,6,7,0,,6565,"['985', '211', 'DFC']",湖南省,长沙市
337,5280,本科一批第一次,理科,45,重庆大学,290,1:1,585,585,45,46,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-470.dhtml,1957,"['985', '211', 'DFC']",重庆市,重庆市
338,5298,本科一批第一次,理科,8,南昌航空大学,L90,1:1,459,459,8,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-317.dhtml,13146,,江西省,南昌市
339,5305,本科一批第一次,理科,72,大连民族大学,L61,1:1,453,453,72,81,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-949.dhtml,17482,,辽宁省,大连市
340,5312,本科一批第一次,理科,28,南昌航空大学,D07,1:1,452,452,28,34,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-317.dhtml,11404,,江西省,南昌市
341,5317,本科一批第一次,理科,28,黑龙江大学,875,1:1,434,434,28,27,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-173.dhtml,10105,,黑龙江省,哈尔滨市
342,5323,本科一批第一次,理科,1,重庆大学,LS7,1:1,470,470,1,1,0,,19942,"['985', '211', 'DFC']",重庆市,重庆市
343,5336,本科一批第一次,理科,29,东北石油大学,440,1:1,434,434,29,28,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-179.dhtml,12271,,黑龙江省,大庆市
344,5341,本科一批第一次,理科,20,常州大学,127,1:1,449,449,20,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-231.dhtml,25058,,江苏省,常州市
345,5344,本科一批第二次,理科,57,电子科技大学,187,1:1,582,582,57,65,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-472.dhtml,2862,"['985', '211', 'DFC']",四川省,成都市
346,5359,本科一批第一次,理科,1412,内蒙古农业大学,755,1:1,434,434,1412,1292,120,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-110.dhtml,25058,,内蒙古自治区,呼和浩特市
