,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,CollegeLevel,ranking,CollegeProvince,CollegeCity
3189,5581,本科二批第一次,理科,12,四川外国语大学,887,1:1,427,427,12,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-502.dhtml,30,中国语言文学类,非定向,1,453,2,4,4000,校本部,包含专业：汉语国际教育、汉语言文学,,24028,重庆市,重庆市
3190,5584,本科二批第一次,理科,26,山西中医药大学,728,1:1,368,368,26,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-606.dhtml,30,药事管理,非定向,5,368,5,4,5488,,不招收色弱、色盲考生,,48793,山西省,太原市
3191,5585,本科二批第三次,理科,114,长春建筑学院（民办）,349,1:1,333,333,114,87,27,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1850.dhtml,30,房地产开发与管理,非定向,4,333,0,4,25000,奢岭校区,,,60194,吉林省,长春市
3192,5588,本科二批第一次,理科,16,山西工商学院（民办）,C85,1:1,333,333,16,15,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1931.dhtml,30,学前教育,非定向,3,343,4,4,14900,,,,56992,山西省,太原市
3193,5589,本科二批第一次,理科,100,吉林化工学院,839,1:1,347,347,100,103,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-160.dhtml,30,物流工程,非定向,1,349,1,4,4800,龙潭校区,,,54991,吉林省,吉林市
3194,5591,本科二批第一次,理科,12,沧州师范学院,652,1:1,349,349,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-89.dhtml,30,数学与应用数学（师范类）,非定向,1,427,1,4,4900,河北省沧州市,,,30825,河北省,沧州市
3195,5593,本科二批第一次,理科,62,湖南农业大学,065,1:1,389,389,62,63,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-414.dhtml,30,生态学,非定向,2,425,2,4,4500,校本部,,,31351,湖南省,长沙市
3196,5594,本科二批第一次,理科,85,长春工业大学人文信息学院（独立学院）,838,1:1,333,333,85,72,13,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1846.dhtml,30,智能建造,非定向,1,333,0,4,26000,净月南校区,,,60194,吉林省,长春市
3197,5595,本科二批第一次,理科,604,赤峰学院,767,1:1,357,357,604,616,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-114.dhtml,30,化学（师范类）,非定向,34,401,34,4,4600,校本部,,,38372,内蒙古自治区,赤峰市
3198,5596,本科二批第一次,理科,39,天津城建大学,553,1:1,400,400,39,40,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-603.dhtml,30,测绘工程,非定向,1,422,1,4,5400,校本部,,,32215,天津市,天津市
3199,5598,本科二批第一次,理科,147,长春工程学院,430,1:1,350,350,147,150,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-809.dhtml,30,新能源科学与工程,非定向,2,429,2,4,5400,湖西校区,,,30293,吉林省,长春市
3200,5599,本科二批第一次,理科,25,运城学院,459,1:1,340,340,25,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-104.dhtml,30,食品科学与工程,非定向,5,377,6,4,5200,校本部,,,45929,山西省,运城市
3201,5600,本科二批第一次,理科,9,长治学院,B28,1:1,347,347,9,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-103.dhtml,30,药物化学,非定向,1,365,1,4,5390,北校区,,,49833,山西省,长治市
3202,5601,本科二批第一次,理科,22,长江师范学院,159,1:1,375,375,22,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-500.dhtml,30,生物科学（师范类）,非定向,2,413,2,4,3750,校本部,,,34816,重庆市,重庆市
3203,5603,本科二批第一次,理科,7,重庆财经学院（民办）,899,1:1,339,339,7,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1835.dhtml,30,计算机类,非定向,1,353,1,4,16000,校本部,校企合作专业，需另收综合实训培养费2000元/年。包含专业：物联网工程、智能科学与技术、空间信息与数字技术、数据科学与大数据技术,,53703,重庆市,重庆市
3204,5604,本科二批第一次,理科,9,西安培华学院（民办）,950,1:1,343,343,9,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-795.dhtml,30,通信工程,非定向,2,343,1,4,21780,,,,56992,陕西省,西安市
3205,5605,本科二批第一次,理科,158,长春电子科技学院（民办）,A11,1:1,334,334,158,160,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1847.dhtml,30,英语,非定向,3,334,1,4,26000,,,,59878,吉林省,长春市
3206,5609,本科二批第一次,理科,122,吉林农业科技学院,854,1:1,342,342,122,125,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-810.dhtml,30,动植物检疫,非定向,4,347,4,4,5000,左家校区,,,55654,吉林省,吉林市
3207,5610,本科二批第一次,理科,43,吉林动画学院（民办）,370,1:1,333,333,43,39,4,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1852.dhtml,30,数字媒体技术,非定向,11,347,11,4,23500,校本部,,,55654,吉林省,长春市
3208,5611,本科二批第一次,理科,40,中原工学院,214,1:1,349,349,40,40,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-366.dhtml,30,服装设计与工程,非定向,5,368,6,4,5500,龙湖校区,,,48793,河南省,郑州市
3209,5613,本科二批第一次,理科,15,商丘师范学院,322,1:1,340,340,15,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-380.dhtml,30,动物科学,非定向,2,340,2,4,5000,睢阳校区,,,57968,河南省,商丘市
3210,5616,本科二批第一次,理科,158,黑龙江科技大学,457,1:1,369,369,158,160,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-178.dhtml,30,应用物理学,非定向,4,369,3,4,4000,校本部,,,48492,黑龙江省,哈尔滨市
3211,5617,本科二批第一次,理科,94,长春科技学院（民办）,356,1:1,337,337,94,98,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1851.dhtml,30,小学教育,非定向,4,352,4,4,26000,东华大街校区,,,54022,吉林省,长春市
3212,5619,本科二批第一次,理科,15,河北建筑工程学院,A15,1:1,346,346,15,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-73.dhtml,30,信息与计算科学,非定向,2,389,2,4,4900,校本部,,,42062,河北省,张家口市
3213,5620,本科二批第二次,理科,50,青岛工学院（民办）,E48,1:1,333,333,50,45,5,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-406136.dhtml,30,金融工程,非定向,2,333,1,4,21000,校本部,,,60194,山东省,青岛市
3214,5621,本科二批第一次,理科,15,武夷学院,E86,1:1,343,343,15,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-309.dhtml,30,计算机科学与技术,非定向,1,423,1,4,4800,校本部,,,31938,福建省,南平市
3215,5622,本科二批第一次,理科,12,郑州轻工业大学,223,1:1,386,386,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-363.dhtml,30,能源与动力工程,非定向,2,448,2,4,5500,科学校区,,,25324,河南省,郑州市
3216,5623,本科二批第一次,理科,35,河南理工大学,A93,1:1,383,383,35,36,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-362.dhtml,30,智能采矿工程,非定向,4,427,4,4,5000,南校区,,,30825,河南省,焦作市
3217,5624,本科二批第一次,理科,44,南京工程学院,100,1:1,417,417,44,47,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-754.dhtml,30,电气工程与智能控制,非定向,2,504,2,4,5800,校本部,,,12966,江苏省,南京市
3218,5625,本科二批第三次,理科,23,南昌工学院（民办）,227,1:1,333,333,23,17,6,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1735.dhtml,30,土木工程,非定向,2,333,1,4,26000,南昌市,,,60194,江西省,南昌市
3219,5627,本科二批第一次,理科,71,天津仁爱学院（民办）,E14,1:1,333,333,71,63,8,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-481255.dhtml,30,水利水电工程,非定向,2,354,2,4,26000,校本部,,,53362,天津市,天津市
3220,5628,本科二批第二次,理科,48,丽江文化旅游学院（民办）,A33,1:1,333,333,48,43,5,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1663.dhtml,30,人工智能,非定向,3,333,1,4,22500,校本部,,,60194,云南省,丽江市
3221,5629,本科二批第一次,理科,23,山东协和学院（民办）,C94,1:1,357,357,23,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1659.dhtml,30,财务管理,非定向,1,364,1,4,19800,遥墙校区,,,50148,山东省,济南市
3222,5630,本科二批第一次,理科,7,烟台理工学院（民办）,472,1:1,333,333,7,5,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1682.dhtml,30,人工智能,非定向,2,354,2,4,21800,校本部,,,53362,山东省,烟台市
3223,5634,本科二批第一次,理科,18,荆州学院（民办）,J65,1:1,333,333,18,16,2,,30,新能源科学与工程,非定向,2,338,2,4,19800,校本部,,,58641,湖北省,荆州市
3224,5635,本科二批第二次,理科,30,济宁医学院,G10,1:1,384,384,30,31,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-346.dhtml,30,中药学,非定向,2,384,1,4,7500,日照校区,,,43684,山东省,济宁市
3225,5636,本科二批第一次,理科,44,潍坊学院,966,1:1,361,361,44,44,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-711.dhtml,31,建筑学,非定向,2,387,2,5,5500,主校区,,,42684,山东省,潍坊市
3226,5638,本科二批第一次,理科,62,洛阳理工学院,596,1:1,367,367,62,63,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-714.dhtml,31,建筑环境与能源应用工程,非定向,3,367,2,4,5000,王城校区,,,49156,河南省,洛阳市
3227,5640,本科二批第一次,理科,44,天津财经大学珠江学院（独立学院）,787,1:1,333,333,44,43,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1369415.dhtml,31,学前教育,非定向,5,342,5,4,15000,天津市宝坻区,,,57291,天津市,天津市
3228,5641,本科二批第一次,理科,19,赣东学院,A70,1:1,348,348,19,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2125.dhtml,31,电子信息工程,非定向,2,388,2,4,4350,校本部,,,42359,江西省,抚州市
3229,5642,本科二批第一次,理科,71,天津仁爱学院（民办）,E14,1:1,333,333,71,63,8,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-481255.dhtml,31,港口航道与海岸工程,非定向,2,335,2,4,26000,校本部,,,59565,天津市,天津市
3230,5643,本科二批第一次,理科,48,丽江文化旅游学院（民办）,A33,1:1,333,333,48,43,5,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1663.dhtml,31,护理学,非定向,4,342,4,4,24000,校本部,,,57291,云南省,丽江市
3231,5647,本科二批第一次,理科,10,湖南城市学院,628,1:1,362,362,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-838.dhtml,31,土木工程,非定向,2,384,2,4,5900,校本部,,,43684,湖南省,益阳市
3232,5650,本科二批第一次,理科,7,安阳学院（民办）,G56,1:1,333,333,7,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1777.dhtml,31,物流管理,非定向,2,333,1,4,15000,安阳校区,,,60194,河南省,安阳市
3233,5652,本科二批第一次,理科,9,兰州博文科技学院（民办）,A46,1:1,333,333,9,8,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1786.dhtml,31,工程造价,非定向,1,364,1,4,20000,校本部,,,50148,甘肃省,兰州市
3234,5655,本科二批第一次,理科,19,晋中信息学院（民办）,H49,1:1,333,333,19,17,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1803.dhtml,31,食品质量与安全,非定向,1,360,1,4,15980,,,,51427,山西省,晋中市
3235,5656,本科二批第一次,理科,22,南昌大学科学技术学院（独立学院）,684,1:1,333,333,22,21,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1743.dhtml,31,自动化,非定向,3,356,4,4,14500,共青城市校区,,,52756,江西省,南昌市
3236,5657,本科二批第一次,理科,8,西安明德理工学院（民办）,585,1:1,345,345,8,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-485204.dhtml,31,金融学,非定向,2,345,2,4,24000,长安校区,,,56309,陕西省,西安市
3237,5659,本科二批第一次,理科,41,鲁东大学,A83,1:1,389,389,41,41,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-353.dhtml,31,光电信息科学与工程,非定向,3,433,3,4,5500,校本部,,,29233,山东省,烟台市
