,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,CollegeProvince,CollegeCity,CollegeLevel,ranking
0,870,本科二批第一次,文科,2,甘肃民族师范学院,J52,1:1,460,460,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-855.dhtml,甘肃省,甘南藏族自治州,,7762
1,928,本科二批第一次,文科,1,湖北文理学院理工学院（独立学院）,G45,1:1,385,385,1,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1612.dhtml,湖北省,武汉市,,17842
2,1028,本科二批第一次,文科,1,首都师范大学科德学院（独立学院）,C22,1:1,415,415,1,1,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1872.dhtml,北京市,北京市,,13636
3,1066,本科二批第一次,文科,2,南华大学船山学院（独立学院）,B89,1:1,393,393,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1157.dhtml,湖南省,衡阳市,,16696
4,1099,本科二批第一次,文科,4,唐山学院,314,1:1,457,457,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-688.dhtml,河北省,唐山市,,8107
5,1101,本科二批第一次,文科,3,攀枝花学院,B55,1:1,449,449,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-787.dhtml,四川省,攀枝花市,,9154
6,1124,本科二批第一次,文科,6,辽宁何氏医学院（民办）,E17,1:1,420,420,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1855.dhtml,辽宁省,沈阳市,,12972
7,1132,本科二批第一次,文科,2,安康学院,G23,1:1,429,429,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-794.dhtml,陕西省,安康市,,11719
8,1185,本科二批第一次,文科,2,滇西应用技术大学,N58,1:1,407,407,2,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2229066336.dhtml,云南省,大理白族自治州,,14756
9,1239,本科二批第一次,文科,1,上海海关学院,354,1:1,496,496,1,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-215.dhtml,上海市,上海市,,4144
10,1266,本科二批第一次,文科,16,辽宁中医药大学杏林学院（独立学院）,D28,1:1,432,432,16,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1854.dhtml,辽宁省,沈阳市,,10697
11,1380,本科二批第一次,文科,4,信阳学院（民办）,F38,1:1,386,386,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1776.dhtml,河南省,信阳市,,10697
12,1408,本科二批第一次,文科,6,西南财经大学天府学院（独立学院）,E55,1:1,416,416,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5397737.dhtml,四川省,成都市,,12136
13,1483,本科二批第一次,文科,2,长沙理工大学城南学院（独立学院）,350,1:1,397,397,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1877.dhtml,湖南省,长沙市,,16180
14,1510,本科二批第一次,文科,7,南京审计大学金审学院（独立学院）,698,1:1,449,449,7,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-7143569.dhtml,江苏省,南京市,,9154
15,1524,本科二批第一次,文科,2,广西民族大学,LM6,1:1,429,429,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-467.dhtml,广西壮族自治区,南宁市,,11719
16,1539,本科二批第一次,文科,6,湖北经济学院法商学院（独立学院）,N42,1:1,415,415,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1607.dhtml,湖北省,武汉市,,13636
17,1548,本科二批第一次,文科,5,枣庄学院,175,1:1,458,458,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-663.dhtml,山东省,枣庄市,,7998
18,1580,本科二批第一次,文科,4,郑州升达经贸管理学院（民办）,J66,1:1,396,396,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-205277833.dhtml,河南省,郑州市,,14492
19,1610,本科二批第一次,文科,3,南京特殊教育师范学院,917,1:1.05,448,387,4,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-956.dhtml,江苏省,南京市,,9267
20,1612,本科二批第一次,文科,2,南昌医学院,A67,1:1,482,482,2,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1750.dhtml,江西省,南昌市,,5380
21,1621,本科二批第一次,文科,3,武汉纺织大学外经贸学院（独立学院）,N41,1:1,403,403,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1596.dhtml,湖北省,武汉市,,14357
22,1630,本科二批第一次,文科,3,重庆工商大学,045,1:1,466,466,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-912.dhtml,重庆市,重庆市,,7074
23,1661,本科二批第一次,文科,2,上海财经大学浙江学院（独立学院）,H96,1:1,433,433,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-18692290.dhtml,浙江省,绍兴市,,11191
24,1662,本科二批第一次,文科,4,河北中医药大学,K40,1:1,479,479,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-582797523.dhtml,河北省,石家庄市,,5673
25,1705,本科二批第一次,文科,5,聊城大学东昌学院（独立学院）,705,1:1,398,398,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1246448.dhtml,山东省,聊城市,,16011
26,1724,本科二批第一次,文科,4,大连交通大学,L64,1:1,468,468,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-126.dhtml,辽宁省,大连市,,6832
27,1759,本科二批第一次,文科,7,黄河科技学院（民办）,395,1:1,389,389,7,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-933.dhtml,河南省,郑州市,,17250
28,1805,本科二批第一次,文科,28,天津商业大学宝德学院（独立学院）,704,1:1,383,383,28,30,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1901.dhtml,天津市,天津市,,12726
29,1826,本科二批第一次,文科,2,鞍山师范学院,469,1:1,464,464,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-142.dhtml,辽宁省,鞍山市,,7292
30,1843,本科二批第一次,文科,30,辽宁传媒学院（民办）,D88,1:1,386,386,30,32,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1242675.dhtml,辽宁省,沈阳市,,16961
31,1858,本科二批第一次,文科,5,济宁学院,G11,1:1,430,430,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-356.dhtml,山东省,济宁市,,11586
32,1864,本科二批第一次,文科,2,重庆师范大学,109,1:1,495,495,2,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-491.dhtml,重庆市,重庆市,,4212
33,1879,本科二批第一次,文科,2,河北东方学院（民办）,G98,1:1,403,403,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-18670467.dhtml,河北省,唐山市,,14212
34,1895,本科二批第一次,文科,3,海南师范大学,L88,1:1,404,404,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-883.dhtml,海南省,海口市,,15184
35,1911,本科二批第一次,文科,8,中国矿业大学徐海学院（独立学院）,C05,1:1,389,389,8,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1828.dhtml,江苏省,徐州市,,15184
36,1991,本科二批第二次,文科,3,广东金融学院,208,1:1,456,456,3,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-844.dhtml,广东省,广州市,,8255
37,1999,本科二批第一次,文科,4,长江大学文理学院（独立学院）,C16,1:1,432,432,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1602.dhtml,湖北省,荆州市,,11329
38,2008,本科二批第一次,文科,5,哈尔滨剑桥学院（民办）,D81,1:1,395,395,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1647.dhtml,黑龙江省,哈尔滨市,,16438
39,2033,本科二批第一次,文科,5,黄冈师范学院,690,1:1,471,471,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-398.dhtml,湖北省,黄冈市,,6497
40,2035,本科二批第一次,文科,4,河南财政金融学院,N30,1:1,408,408,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-879.dhtml,河南省,郑州市,,7411
41,2098,本科二批第一次,文科,2,西安工商学院（民办）,D37,1:1,414,414,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1923.dhtml,陕西省,西安市,,13783
42,2104,本科二批第一次,文科,4,黑龙江中医药大学,879,1:1,467,467,4,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-185.dhtml,黑龙江省,哈尔滨市,,6953
43,2123,本科二批第一次,文科,5,邢台学院,456,1:1,450,450,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-88.dhtml,河北省,邢台市,,9034
44,2147,本科二批第三次,文科,20,北京第二外国语学院中瑞酒店管理学院（独立学院）,F89,1:1.05,379,379,21,8,13,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-15323559.dhtml,北京市,北京市,,18670
45,2170,本科二批第一次,文科,6,无锡太湖学院（民办）,H51,1:1,390,390,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1821.dhtml,江苏省,无锡市,,13928
46,2187,本科二批第一次,文科,5,运城学院,459,1:1,432,432,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-104.dhtml,山西省,运城市,,11329
47,2209,本科二批第一次,文科,7,北京工商大学嘉华学院（独立学院）,C23,1:1,379,379,7,4,3,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1873.dhtml,北京市,北京市,,16011
48,2232,本科二批第一次,文科,10,中原工学院,214,1:1,420,420,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-366.dhtml,河南省,郑州市,,12726
49,2245,本科二批第一次,文科,3,青岛农业大学海都学院（独立学院）,F65,1:1,384,384,3,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-442446.dhtml,山东省,青岛市,,17992
50,2260,本科二批第一次,文科,6,西安明德理工学院（民办）,585,1:1,388,388,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-485204.dhtml,陕西省,西安市,,13376
51,2271,本科二批第一次,文科,3,商洛学院,532,1:1,409,409,3,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-793.dhtml,陕西省,商洛市,,9776
52,2308,本科二批第一次,文科,4,玉溪师范学院,340,1:1,435,435,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-788.dhtml,云南省,玉溪市,,10940
53,2362,本科二批第一次,文科,5,沈阳体育学院,336,1:1,442,442,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-147.dhtml,辽宁省,沈阳市,,10023
54,2367,本科二批第一次,文科,5,湖北大学知行学院（独立学院）,C07,1:1,382,382,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1590.dhtml,湖北省,武汉市,,11719
55,2373,本科二批第一次,文科,8,河北北方学院,467,1:1,449,449,8,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-78.dhtml,河北省,张家口市,,9154
56,2375,本科二批第一次,文科,5,内江师范学院,547,1:1.2,440,381,6,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-494.dhtml,四川省,内江市,,10303
57,2414,本科二批第一次,文科,20,吉林体育学院,835,1:1,409,409,20,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-171.dhtml,吉林省,长春市,,14492
58,2426,本科二批第一次,文科,9,哈尔滨远东理工学院（民办）,A47,1:1,396,396,9,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1645.dhtml,黑龙江省,哈尔滨市,,15715
59,2443,本科二批第一次,文科,2,陇东学院,193,1:1,456,456,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-578.dhtml,甘肃省,庆阳市,,8255
