,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeProvince,CollegeLevel,CollegeCity
37,147,本科一批第一次,文科,18,天津外国语大学,551,1:1,488,488,18,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-59.dhtml,01,外国语言文学类（英语类）,非定向,3,497,3,4,5400,马场道校区,包含专业：英语、翻译、商务英语,4071.0,天津市,,天津市
38,154,本科一批第一次,文科,12,西安财经大学,029,1:1,492,492,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-854.dhtml,02,财政学,非定向,4,526,4,4,5000,长安校区,,2140.0,陕西省,,西安市
39,155,本科一批第二次,文科,3,温州大学,603,1:1,495,495,3,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-269.dhtml,02,工商管理,非定向,1,495,0,4,4800,浙江省温州市,,4212.0,浙江省,,温州市
40,166,本科一批第一次,文科,33,中南民族大学,007,1:1,482,482,33,35,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-405.dhtml,02,政治学与行政学,非定向,2,524,2,4,4500,校本部,,2250.0,湖北省,,武汉市
41,172,本科一批第一次,文科,18,厦门大学,298,1:1,586,586,18,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-299.dhtml,02,新闻传播学类,非定向,2,589,3,4,5460,思明校区,包含专业：新闻学、广播电视学、广告学、传播学、国际新闻与传播,247.0,福建省,"['985', '211', 'DFC']",厦门市
42,174,本科一批第一次,文科,25,山东政法学院,E63,1:1,490,490,25,28,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-85314.dhtml,02,知识产权,非定向,2,506,3,4,5060,,,3407.0,山东省,,济南市
43,175,本科一批第一次,文科,13,上海立信会计金融学院,964,1:1,507,507,13,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-695.dhtml,02,财务管理,非定向,1,535,1,4,6500,文翔路校区,,1677.0,上海市,,上海市
44,176,本科一批第一次,文科,18,山东大学,300,1:1,549,549,18,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-330.dhtml,02,社会学类,非定向,2,549,2,4,5000,校本部,包含专业：社会学、社会工作、人类学,1162.0,山东省,"['985', '211', 'DFC']",济南市
45,177,本科一批第一次,文科,22,海南大学,925,1:1,509,509,22,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-450.dhtml,02,国际经济与贸易,非定向,1,534,1,4,4600,观澜湖校区,,1728.0,海南省,"['211', 'DFC']",海口市
46,180,本科一批第一次,文科,12,对外经济贸易大学,061,1:1,584,584,12,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-32.dhtml,02,经济学类,非定向,3,585,3,4,5000,北京,大类分流时完全按照志愿进行分流。包含专业：国际经济与贸易、财政学、税收学,301.0,北京市,"['211', 'DFC']",北京市
47,183,本科一批第一次,文科,17,暨南大学,377,1:1.05,533,526,18,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-429.dhtml,02,历史学,非定向,2,546,2,4,6060,石牌校区,,1254.0,广东省,"['211', 'DFC']",广州市
48,184,本科一批第一次,文科,5,重庆工商大学,045,1:1,498,498,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-912.dhtml,02,经济与贸易类,非定向,5,498,5,4,4500,江北校区,包含专业：贸易经济、国际经济与贸易,3994.0,重庆市,,重庆市
49,190,本科一批第一次,文科,18,天津大学,303,1:1,583,583,18,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-49.dhtml,02,社会科学试验班,非定向,18,583,18,4,,北洋园校区,5200元/年，分流后按专业收费。包含专业：建筑学、城乡规划、工商管理、财务管理、金融学、法学、教育学、马克思主义理论。,336.0,天津市,"['985', '211', 'DFC']",天津市
50,192,本科一批第一次,文科,10,北京大学,304,1:1,637,637,10,29,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1.dhtml,02,中国语言文学类,非定向,1,647,1,4,5000,校本部,包含专业：汉语言文学、汉语言、古典文献学,,北京市,"['985', '211', 'DFC']",北京市
51,197,本科一批第一次,文科,8,首都经济贸易大学,522,1:1,489,489,8,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-34.dhtml,02,工商管理类（工商学院）,非定向,4,525,4,4,5000,校本部,包含专业：工商管理、市场营销、电子商务、物流管理,2184.0,北京市,,北京市
52,198,本科一批第一次,文科,10,北京第二外国语学院,368,1:1,504,504,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-28.dhtml,02,英语（英语教育）,非定向,2,540,2,4,5000,校本部,英语单科成绩不低于90分。考生双耳听力范围均不低于3米，不能有口吃等言语障碍。,1465.0,北京市,,北京市
53,199,本科一批第一次,文科,21,中国政法大学,019,1:1,567,567,21,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-47.dhtml,02,法学,非定向,13,597,13,4,5000,北京昌平,,169.0,北京市,"['211', 'DFC']",北京市
54,206,本科一批第一次,文科,19,中国民航大学,363,1:1,488,488,19,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-52.dhtml,02,法学（航空法）,非定向,1,548,2,4,5200,东丽校区,,1193.0,天津市,,天津市
55,210,本科一批第一次,文科,17,黑龙江大学,875,1:1,481,481,17,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-173.dhtml,02,经济学,非定向,2,489,2,4,3500,哈尔滨市,,4718.0,黑龙江省,,哈尔滨市
56,212,本科一批第一次,文科,18,北京师范大学一香港浸会大学联合国际学院,C98,1:1,503,503,18,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-398036.dhtml,02,新闻传播学类（中外合作办学）,非定向,5,506,5,4,100000,广东省珠海市,大类招生。广告学专业培养公共关系与广告学方向；传播学专业培养媒体与传播学、媒体艺术与设计、影视学、动画与互动媒体、中华文化与国际传播方向。原则上在第一学年第二学期开始前完成专业确认。高考英语单科成绩不低于95分。英文教学。包含专业：广告学(中外合作办学)、传播学(中外合作办学),3407.0,广东省,,珠海市
57,213,本科一批第一次,文科,13,北京语言大学,281,1:1,529,529,13,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-29.dhtml,02,金融学,非定向,2,536,2,4,5000,校本部,,1630.0,北京市,,北京市
58,214,本科一批第一次,文科,6,上海海事大学,137,1:1,513,513,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-202.dhtml,02,经济学类,非定向,2,537,2,4,6500,临港校区,包含专业：经济学(海运与物流经济)、国际经济与贸易、金融学(海运金融)、会计学、会计学(国际会计)、会计学(管理会计)、会计学(ACCA)、财务管理、工商管理、旅游管理、供应链管理,1592.0,上海市,,上海市
59,215,本科一批第一次,文科,4,中国人民大学（苏州校区）,K53,1:1,588,588,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2.dhtml,02,国民经济管理（中外合作办学）,非定向,2,588,1,4,60000,苏州校区,合作院校为法国保罗-瓦莱里大学，毕业时可获中法双学位并可赴该校攻读硕士。,264.0,江苏省,,苏州市
60,216,本科一批第一次,文科,9,苏州大学,327,1:1,519,519,9,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-224.dhtml,02,汉语言文学（省拔尖人才培养基地）,非定向,1,582,1,4,5200,苏州,,347.0,江苏省,"['211', 'DFC']",苏州市
61,220,本科一批第一次,文科,644,内蒙古财经大学,754,1:1,468,468,644,663,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-115.dhtml,02,能源经济,非定向,17,469,17,4,4400,西校区,,6732.0,内蒙古自治区,,呼和浩特市
62,222,本科一批第一次,文科,12,西北农林科技大学,074,1:1,522,522,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-557.dhtml,02,社会学类,非定向,2,541,3,4,5500,校本部,包含专业：社会学、社会工作,1432.0,陕西省,"['985', '211', 'DFC']",咸阳市
63,223,本科一批第一次,文科,14,西北大学,941,1:1,525,525,14,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-545.dhtml,02,经济学,非定向,2,557,2,4,5500,长安校区,基地班,924.0,陕西省,"['211', 'DFC']",西安市
64,228,本科一批第一次,文科,9,宁波诺丁汉大学,E76,1:1,526,526,9,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-405725.dhtml,02,财务管理（中外合作办学）,非定向,4,528,6,4,100000,宁波,英语单科不低于115分,2023.0,浙江省,,宁波市
65,229,本科一批第一次,文科,14,南京财经大学,049,1:1,487,487,14,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-250.dhtml,02,财政学类,非定向,2,536,2,4,5200,仙林校区,包含专业：财政学、税收学,1630.0,江苏省,,南京市
66,232,本科一批第一次,文科,16,湖南中医药大学,B02,1:1,484,484,16,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-416.dhtml,02,中医学,非定向,2,551,2,5,7500,长沙市,,1095.0,湖南省,,长沙市
67,235,本科一批第一次,文科,2,上海大学,441,1:1,567,567,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-221.dhtml,02,社会学类,非定向,2,567,2,4,6500,宝山校区,该专业代表人文社科类。按类招生，第一学年末进行专业分流。包含专业：哲学、法学、知识产权、社会学、社会工作、汉语言文学、汉语国际教育、新闻学、广播电视学、广告学、网络与新媒体、会展,634.0,上海市,"['211', 'DFC']",上海市
68,242,本科一批第一次,文科,12,山东大学威海分校,313,1:1,544,544,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-330.dhtml,02,经济学类,非定向,2,571,2,4,5800,威海校区,包含专业：金融学(证券、银行方向)、金融学(保险方向)、国际经济与贸易,548.0,山东省,,威海市
69,249,本科一批第一次,文科,18,天津外国语大学,551,1:1,488,488,18,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-59.dhtml,02,日语,非定向,2,488,2,4,5400,马场道校区,,4799.0,天津市,,天津市
70,252,本科一批第一次,文科,12,北京物资学院,048,1:1,485,485,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-33.dhtml,02,经济学,非定向,1,511,1,4,4200,校本部,,3043.0,北京市,,北京市
71,253,本科一批第二次,文科,13,天津中医药大学,564,1:1,494,494,13,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-56.dhtml,02,工商管理类,非定向,5,494,3,4,4400,天津市,学校各专业的公共外语课程均为英语，小语种考生慎重填报。包含专业：市场营销、市场营销(国际营销班),4305.0,天津市,['DFC'],天津市
72,255,本科一批第一次,文科,10,西交利物浦大学,F98,1:1,525,525,10,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1228482.dhtml,02,建筑类（中外合作办学）,非定向,2,525,2,4,88000,,专业课全英文授课，详见招生简章。包含专业：建筑学(中外合作办学)、城乡规划(中外合作办学)、土木工程(中外合作办学),2184.0,江苏省,,苏州市
73,259,本科一批第一次,文科,9,宁波诺丁汉大学,E76,1:1,526,526,9,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-405725.dhtml,03,传播学（中外合作办学）,非定向,2,526,1,4,100000,宁波,英语单科不低于115分,2140.0,浙江省,,宁波市
74,260,本科一批第一次,文科,10,西交利物浦大学,F98,1:1,525,525,10,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1228482.dhtml,03,数学类（中外合作办学）,非定向,2,526,2,4,88000,,专业课全英文授课，详见招生简章。包含专业：金融数学(中外合作办学)、精算学(中外合作办学)、数学与应用数学(中外合作办学)、数据科学与大数据技术(中外合作办学),2140.0,江苏省,,苏州市
75,269,本科一批第一次,文科,35,吉林大学,297,1:1,549,549,35,37,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-154.dhtml,03,社会学类,非定向,2,561,3,4,5520,前卫南区,包含专业：社会学、社会工作、劳动与社会保障,797.0,吉林省,"['985', '211', 'DFC']",长春市
76,280,本科一批第一次,文科,16,湖南中医药大学,B02,1:1,484,484,16,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-416.dhtml,03,中西医临床医学,非定向,1,547,1,5,7500,长沙市,,1216.0,湖南省,,长沙市
77,282,本科一批第一次,文科,8,烟台大学,737,1:1,483,483,8,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-710.dhtml,03,汉语国际教育,非定向,2,507,3,4,4400,主校区,外语语种：英语,3321.0,山东省,,烟台市
78,285,本科一批第一次,文科,33,中南民族大学,007,1:1,482,482,33,35,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-405.dhtml,03,社会学类,非定向,2,489,3,4,4500,校本部,包含专业：社会学、社会工作,4718.0,湖北省,,武汉市
79,287,本科一批第一次,文科,19,中南财经政法大学,020,1:1,489,489,19,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-402.dhtml,03,社会学,非定向,2,489,3,4,4500,南湖校区,,4718.0,湖北省,"['211', 'DFC']",武汉市
80,294,本科一批第一次,文科,18,厦门大学,298,1:1,586,586,18,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-299.dhtml,03,外国语言文学类,非定向,4,586,0,4,5460,思明校区,包含专业：英语、日语、法语、俄语、德语、西班牙语,288.0,福建省,"['985', '211', 'DFC']",厦门市
81,297,本科一批第一次,文科,18,山东大学,300,1:1,549,549,18,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-330.dhtml,03,经济学类,非定向,2,583,2,4,5800,校本部,含经济学拔尖2.0班（薛暮桥班）、彭实戈班、PPE新文科基地班等；不招收单色识别不全考生。包含专业：经济学、财政学、金融学、国际经济与贸易,336.0,山东省,"['985', '211', 'DFC']",济南市
82,299,本科一批第一次,文科,14,郑州大学,605,1:1,537,537,14,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-361.dhtml,03,公共管理类,非定向,5,537,3,4,4400,主校区,包含专业：行政管理、公共事业管理、社会工作、国际政治,1592.0,河南省,"['211', 'DFC']",郑州市
83,301,本科一批第一次,文科,2,山东科技大学,612,1:1,530,530,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-332.dhtml,03,法学,非定向,2,530,2,4,5280,青岛校区,,1911.0,山东省,,青岛市
84,302,本科一批第一次,文科,22,海南大学,925,1:1,509,509,22,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-450.dhtml,03,法学,非定向,2,556,2,4,4600,海甸校区,一年级在城西基础教学部,942.0,海南省,"['211', 'DFC']",海口市
85,312,本科一批第一次,文科,8,上海政法学院,A08,1:1,525,525,8,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2120.dhtml,03,法学（涉外卓越律师人才培养试点班）,非定向,1,562,1,4,6500,校本部,外语单科成绩须不低于105分,771.0,上海市,,上海市
