分数档次	物理(含优惠分)人数	物理累计人数	历史(含优惠分)人数	历史累计人数
426	1547	240749	693	80781
425	1501	242250	672	81453
424	1480	243730	680	82133
423	1502	245232	726	82859
422	1488	246720	695	83554
421	1465	248185	702	84256
420	1442	249627	702	84958
419	1399	251026	678	85636
418	1415	252441	710	86346
417	1382	253823	648	86994
416	1443	255266	707	87701
415	1443	256709	712	88413
414	1394	258103	680	89093
413	1415	259518	709	89802
412	1404	260922	720	90522
411	1378	262300	694	91216
410	1351	263651	783	91999
409	1374	265025	726	92725
408	1352	266377	751	93476
407	1340	267717	738	94214
406	1322	269039	731	94945
405	1364	270403	763	95708
404	1360	271763	787	96495
403	1314	273077	772	97267
402	1340	274417	777	98044
401	1331	275748	811	98855
400	1328	277076	781	99636
399	1243	278319	754	100390
398	1286	279605	756	101146
397	1268	280873	780	101926
396	1208	282081	802	102728
395	1251	283332	768	103496
394	1296	284628	742	104238
393	1220	285848	753	104991
392	1245	287093	806	105797
391	1175	288268	826	106623
390	1261	289529	789	107412
389	1186	290715	803	108215
388	1204	291919	794	109009
387	1185	293104	803	109812
386	1145	294249	852	110664
385	1187	295436	873	111537
384	1220	296656	853	112390
383	1137	297793	789	113179
382	1177	298970	813	113992
381	1167	300137	835	114827
380	1153	301290	846	115673
379	1100	302390	865	116538
378	1108	303498	871	117409
377	1090	304588	870	118279
376	1084	305672	896	119175
375	1051	306723	951	120126
374	1071	307794	879	121005
373	1072	308866	811	121816
372	1032	309898	918	122734
371	1058	310956	859	123593
370	1043	311999	906	124499
369	1097	313096	900	125399
368	1055	314151	909	126308
367	1030	315181	880	127188
366	930	316111	885	128073
365	982	317093	812	128885
364	986	318079	878	129763
363	925	319004	903	130666
362	1013	320017	906	131572
361	915	320932	886	132458
360	917	321849	901	133359
359	874	322723	864	134223
358	935	323658	872	135095
357	939	324597	917	136012
356	938	325535	873	136885
355	877	326412	931	137816
354	885	327297	929	138745
353	861	328158	921	139666
352	806	328964	903	140569
351	873	329837	932	141501
350	843	330680	847	142348
349	841	331521	859	143207
348	797	332318	903	144110
347	823	333141	878	144988
346	773	333914	884	145872
345	770	334684	822	146694
344	811	335495	866	147560
343	742	336237	882	148442
342	774	337011	926	149368
