,日期,平均涨幅,平均市净率,累乘净值
0,20150429,1.0264619194603855,5.752632237130907,4.012971494911048
0,20150430,1.0050405471525177,5.998640490464181,4.033199066952857
0,20150504,1.0125244971146379,5.886818792848469,4.083712857029669
0,20150505,0.9702143991211876,5.8748991201815,3.9620770157665084
0,20150506,0.9893456394478852,5.468126776717676,3.919863618705285
0,20150507,0.9784355611886109,5.3515965421533185,3.8353339595507245
0,20150508,1.0470793909665594,5.534822976045685,4.015899146519736
0,20150511,1.0499515896603746,5.825919211295476,4.216499692804138
0,20150512,1.0249181117217412,5.839772384712024,4.321566903224119
0,20150513,1.0133531532955267,5.768345513438374,4.379273448559745
0,20150514,1.0135338249145793,5.898022644599174,4.438541768665619
0,20150515,0.9987898141595402,5.759640982266423,4.433170308264891
0,20150518,1.0295525366649967,5.959227884418171,4.564181736342063
0,20150519,1.0311222146966796,6.027496460696325,4.706229180255165
0,20150520,1.0233382378279492,6.116320208736392,4.816064276136794
0,20150521,1.0410199479082867,6.64537315192914,5.013618981866886
0,20150522,1.02013508304297,6.611483955481905,5.114568616412586
0,20150525,1.0304032580113085,6.982007187969528,5.270068165673919
0,20150526,1.04366332963128,6.66170164893436,5.500176889171055
0,20150527,1.024959575286837,7.335485498494559,5.63745896832724
0,20150528,0.942085193649019,6.7134672635750405,5.310966623864967
0,20150529,1.0153379068423811,7.065575791989558,5.392425735184804
0,20150601,1.0584554493208282,7.767242018349071,5.707642404464229
0,20150602,1.045552803801027,8.26167356817907,5.96764151908121
0,20150603,1.0084387510062254,8.316515523660831,6.018000959955149
0,20150604,0.9965950745654765,8.384009350452715,5.997510115421611
0,20150605,1.019884670450258,8.387467875198952,6.116768627588859
0,20150608,0.9871336054942044,8.311967198265412,6.0380678693256264
0,20150609,1.0022719537210667,8.30915685901011,6.051786080089394
0,20150610,1.0268812413143418,8.169565469362203,6.214465602091051
0,20150611,1.026769533308082,8.351419082845274,6.3808239460181575
0,20150612,1.0210593299664605,9.407840931761337,6.515199822955247
0,20150615,0.9821069895593197,9.459471225947865,6.39862328449999
0,20150616,0.9581013463056033,8.248443295146098,6.130529583381822
0,20150617,1.025003228923318,8.859899150610682,6.283812617976291
0,20150618,0.9640362718251665,8.31083361172067,6.057823289081803
0,20150619,0.9251118771134859,7.981371647232139,5.604164274184257
0,20150623,1.008788381260941,7.7124490341823995,5.653415806474734
0,20150624,1.0275064042606434,8.145616488742892,5.808920947101139
0,20150625,0.9568264836304446,7.903318292512103,5.558129403502015
0,20150626,0.9080627765095889,7.184919916165685,5.047130418343625
0,20150629,0.9226432377213695,6.39537030832084,4.656700750382572
0,20150630,1.0562794029147218,6.788193696182148,4.91877708816664
