,2024年河北省普通高校招生专科批平行志愿投档情况统计历史,院校名称,专业代号,专业名称,投档最低分,同分考生排序项一,二,三,四,五,六,志愿号
927,0244,长春早期教育职业学院[民办],07,体育教育,254,105,76,20,9,62,58,28
928,0244,长春早期教育职业学院[民办],08,舞蹈教育,258,76,57,31,47,54,50,8
929,0244,长春早期教育职业学院[民办],09,特殊教育,263,90,70,24,39,58,52,6
930,0248,长江大学文理学院[独立学院],03,计算机应用技术,342,101,82,30,68,79,64,16
931,0249,长江工程职业技术学院[公办],01,工程测量技术,370,127,107,40,68,69,66,3
932,0249,长江工程职业技术学院[公办],02,无人机测绘技术,409,157,99,39,75,70,68,27
933,0249,长江工程职业技术学院[公办],03,建筑装饰工程技术,377,138,92,57,49,69,64,51
934,0249,长江工程职业技术学院[公办],04,建筑智能化工程技术,390,152,98,37,66,69,66,37
935,0249,长江工程职业技术学院[公办],05,水利工程,419,147,103,36,81,84,71,44
936,0249,长江工程职业技术学院[公办],06,水利水电工程智能管理,406,131,94,74,67,70,64,5
937,0249,长江工程职业技术学院[公办],07,水生态修复技术,376,131,100,32,73,79,61,2
938,0249,长江工程职业技术学院[公办],08,数字化设计与制造技术,386,123,84,51,64,71,67,6
939,0249,长江工程职业技术学院[公办],09,工业机器人技术,397,161,95,43,57,69,67,7
940,0249,长江工程职业技术学院[公办],10,大数据技术,414,123,101,50,73,87,81,62
941,0249,长江工程职业技术学院[公办],11,人工智能技术应用,404,136,88,40,61,90,77,18
942,0249,长江工程职业技术学院[公办],12,现代物流管理,386,132,97,34,69,81,70,9
943,0251,长江艺术工程职业学院(荆州市)[民办],01,建筑室内设计,300,105,82,35,36,66,58,50
944,0251,长江艺术工程职业学院(荆州市)[民办],02,智能网联汽车技术,302,104,57,38,43,64,53,54
945,0251,长江艺术工程职业学院(荆州市)[民办],03,物联网应用技术,270,97,62,28,33,61,51,34
946,0251,长江艺术工程职业学院(荆州市)[民办],04,计算机应用技术,271,104,70,19,36,62,50,20
947,0251,长江艺术工程职业学院(荆州市)[民办],05,大数据技术,279,110,83,26,39,63,41,22
948,0251,长江艺术工程职业学院(荆州市)[民办],06,移动应用开发,267,76,64,37,39,62,53,31
949,0251,长江艺术工程职业学院(荆州市)[民办],07,护理,295,107,80,31,52,60,45,18
950,0251,长江艺术工程职业学院(荆州市)[民办],08,中医康复技术,291,102,72,31,43,65,50,14
951,0251,长江艺术工程职业学院(荆州市)[民办],09,婴幼儿托育服务与管理,261,86,60,28,33,58,56,59
952,0251,长江艺术工程职业学院(荆州市)[民办],10,金融服务与管理,269,93,70,17,49,57,53,22
953,0251,长江艺术工程职业学院(荆州市)[民办],11,大数据与财务管理,288,105,80,23,41,60,59,1
954,0251,长江艺术工程职业学院(荆州市)[民办],12,网络营销与直播电商,290,109,76,30,50,54,47,55
955,0251,长江艺术工程职业学院(荆州市)[民办],13,旅游管理,277,94,72,28,33,65,57,31
956,0251,长江艺术工程职业学院(荆州市)[民办],14,文物修复与保护,325,114,80,44,49,64,54,14
957,0252,长江职业学院(武汉市)[公办],01,护理,433,118,93,71,72,88,84,7
958,0252,长江职业学院(武汉市)[公办],02,市场营销,417,131,85,68,79,70,69,16
959,0252,长江职业学院(武汉市)[公办],03,现代物流管理,412,140,91,80,58,67,67,34
960,0252,长江职业学院(武汉市)[公办],04,商务英语,402,118,91,96,59,70,59,3
961,0253,长沙轨道交通职业学院[民办],01,城市轨道交通运营管理,329,101,74,49,57,67,55,25
962,0253,长沙轨道交通职业学院[民办],02,护理,350,115,86,37,60,71,67,24
963,0253,长沙轨道交通职业学院[民办],03,药学,323,108,85,26,61,64,54,24
964,0254,长沙航空职业技术学院[公办],02,民航运输服务,464,131,96,117,68,77,71,4
965,0256,长沙环境保护职业技术学院[公办],01,环境监测技术,367,124,96,41,60,72,70,47
966,0256,长沙环境保护职业技术学院[公办],02,环境工程技术,406,131,82,70,66,72,67,5
967,0256,长沙环境保护职业技术学院[公办],03,环境管理与评价,355,95,79,39,69,84,68,23
968,0259,长沙民政职业技术学院[公办],01,护理,458,132,98,95,65,84,72,1
969,0259,长沙民政职业技术学院[公办],02,心理咨询,464,157,105,95,75,74,63,3
970,0259,长沙民政职业技术学院[公办],03,金融服务与管理,469,163,105,102,52,80,72,1
971,0259,长沙民政职业技术学院[公办],04,大数据与会计,482,160,102,105,68,80,69,2
972,0259,长沙民政职业技术学院[公办],05,国际经济与贸易,444,158,104,74,70,82,60,11
973,0259,长沙民政职业技术学院[公办],06,市场营销,456,172,100,62,73,80,69,1
974,0259,长沙民政职业技术学院[公办],07,商务数据分析与应用,440,141,88,80,71,92,56,3
975,0259,长沙民政职业技术学院[公办],08,旅游管理(韩语方向),423,134,101,86,62,73,68,30
976,0259,长沙民政职业技术学院[公办],09,旅游管理,450,134,97,89,60,87,80,3
977,0259,长沙民政职业技术学院[公办],10,小学英语教育,490,174,99,101,56,82,77,1
978,0259,长沙民政职业技术学院[公办],11,社会工作,442,146,103,61,62,90,83,2
979,0259,长沙民政职业技术学院[公办],12,民政服务与管理,449,163,103,64,61,87,74,4
980,0259,长沙民政职业技术学院[公办],13,智慧健康养老服务与管理,455,114,100,119,68,77,77,4
981,0259,长沙民政职业技术学院[公办],14,婚庆服务与管理,454,154,108,85,63,80,72,1
982,0259,长沙民政职业技术学院[公办],15,现代殡葬技术与管理,521,187,111,102,76,81,75,1
983,0259,长沙民政职业技术学院[公办],16,陵园服务与管理,472,165,89,68,79,86,74,2
984,0260,长沙南方职业学院[民办],01,大数据技术,319,98,77,40,64,59,58,26
985,0260,长沙南方职业学院[民办],02,学前教育,263,95,71,27,35,57,49,35
986,0261,长沙商贸旅游职业技术学院[公办],01,旅游管理,344,130,94,31,52,74,57,4
987,0263,长沙文创艺术职业学院[民办],01,护理,299,117,85,43,40,50,49,29
988,0267,长沙职业技术学院[公办],01,跨境电子商务,402,161,84,61,45,84,51,40
989,0268,长垣烹饪职业技术学院[民办],01,计算机应用技术,307,113,73,47,35,61,51,28
990,0268,长垣烹饪职业技术学院[民办],02,电子商务,311,104,71,47,52,63,45,55
991,0268,长垣烹饪职业技术学院[民办],03,烹饪工艺与营养,301,75,54,44,55,67,60,7
992,0268,长垣烹饪职业技术学院[民办],04,中西面点工艺,312,109,78,28,51,67,57,15
993,0268,长垣烹饪职业技术学院[民办],05,学前教育,308,113,81,31,42,63,59,32
994,0271,长治职业技术学院[公办],01,建筑室内设计,390,137,108,47,67,72,67,54
995,0271,长治职业技术学院[公办],02,电子商务,354,120,87,64,46,72,52,29
996,0272,常德职业技术学院[公办],01,临床医学,423,159,91,65,60,71,68,33
997,0272,常德职业技术学院[公办],02,护理,419,163,101,59,69,72,56,14
998,0277,常州工业职业技术学院[公办],01,市场营销,372,122,95,50,58,84,58,11
999,0277,常州工业职业技术学院[公办],02,现代物流管理,381,122,85,69,63,72,55,11
1000,0277,常州工业职业技术学院[公办],03,酒店管理与数字化运营,358,113,77,39,68,69,69,51
1001,0278,常州信息职业技术学院[公办],01,财税大数据应用,445,152,107,68,75,77,73,3
1002,0278,常州信息职业技术学院[公办],02,金融科技应用,428,152,103,45,83,79,69,6
1003,0278,常州信息职业技术学院[公办],03,工商企业管理,435,139,97,77,78,80,61,8
1004,0278,常州信息职业技术学院[公办],04,市场营销,431,135,99,63,78,79,76,6
1005,0278,常州信息职业技术学院[公办],05,电子商务,438,142,91,80,66,75,75,15
1006,0280,朝阳师范学院[公办],01,汽车制造与试验技术,400,142,87,37,66,87,68,43
1007,0280,朝阳师范学院[公办],02,食品智能加工技术,399,144,96,68,73,57,57,7
1008,0280,朝阳师范学院[公办],03,大数据技术,427,154,91,44,78,81,70,10
1009,0280,朝阳师范学院[公办],04,动漫制作技术,434,167,93,62,63,79,63,38
1010,0280,朝阳师范学院[公办],05,大数据与会计,444,167,90,57,56,79,75,18
1011,0280,朝阳师范学院[公办],06,旅游管理,424,145,89,55,55,86,83,8
1012,0280,朝阳师范学院[公办],07,视觉传达设计,424,138,108,84,57,77,68,17
1013,0280,朝阳师范学院[公办],08,学前教育(师范类),429,165,95,71,55,71,67,10
1014,0280,朝阳师范学院[公办],09,小学语文教育(师范类),440,143,97,61,76,84,76,1
1015,0280,朝阳师范学院[公办],10,小学英语教育(师范类),439,138,101,64,75,90,72,2
1016,0281,郴州思科职业学院[民办],01,计算机应用技术,294,97,69,32,40,67,58,1
1017,0281,郴州思科职业学院[民办],02,护理,334,114,79,40,53,67,60,17
1018,0281,郴州思科职业学院[民办],03,大数据与会计,283,100,73,41,30,59,53,60
1019,0284,成都纺织高等专科学校[公办],01,环境工程技术,440,151,97,61,76,82,70,6
1020,0284,成都纺织高等专科学校[公办],02,现代纺织技术,427,158,100,64,70,77,58,2
1021,0284,成都纺织高等专科学校[公办],03,数字化染整技术,407,159,99,58,51,70,69,4
1022,0284,成都纺织高等专科学校[公办],04,纺织品检验与贸易,426,134,96,95,48,80,69,2
1023,0284,成都纺织高等专科学校[公办],05,大数据与会计,449,158,105,78,61,83,69,19
1024,0284,成都纺织高等专科学校[公办],06,商务英语,476,157,108,109,59,82,69,1
1025,0285,成都工贸职业技术学院[公办],01,航空发动机制造技术,419,129,93,72,73,75,70,12
1026,0295,成都外国语学院[民办],29,空中乘务,385,141,81,35,65,77,67,3
1027,0295,成都外国语学院[民办],30,民航空中安全保卫,316,93,67,33,65,64,61,18
1028,0295,成都外国语学院[民办],31,计算机网络技术,369,107,83,61,63,69,69,37
1029,0295,成都外国语学院[民办],32,数字媒体技术,418,137,85,67,55,83,76,20
1030,0295,成都外国语学院[民办],33,大数据技术,410,113,96,69,75,81,72,9
1031,0295,成都外国语学院[民办],34,国际经济与贸易,352,122,78,69,45,61,55,15
1032,0295,成都外国语学院[民办],35,国际商务,326,101,86,54,52,64,55,5
1033,0295,成都外国语学院[民办],36,跨境电子商务,327,108,68,30,51,70,68,4
1034,0295,成都外国语学院[民办],37,酒店管理与数字化运营,349,131,99,46,46,64,62,12
1035,0295,成都外国语学院[民办],38,商务英语,432,153,91,56,66,85,72,1
1036,0295,成都外国语学院[民办],39,应用英语,381,126,88,52,57,76,70,1
1037,0295,成都外国语学院[民办],40,商务日语,338,113,83,103,39,48,35,8
1038,0295,成都外国语学院[民办],41,应用日语,383,118,103,75,68,65,57,2
1039,0295,成都外国语学院[民办],42,中文,422,130,112,60,73,87,72,3
1040,0295,成都外国语学院[民办],43,应用俄语,283,76,64,48,43,63,53,16
1041,0295,成都外国语学院[民办],44,应用法语,392,106,83,91,54,79,62,23
1042,0295,成都外国语学院[民办],45,应用西班牙语,371,109,88,92,49,64,57,4
1043,0295,成都外国语学院[民办],46,智慧健康养老服务与管理,313,112,79,32,52,60,57,13
1044,0296,成都文理学院[民办],03,护理,338,108,82,25,64,72,69,23
1045,0296,成都文理学院[民办],04,金融服务与管理,284,109,82,33,32,58,52,1
1046,0296,成都文理学院[民办],05,大数据与会计,316,95,78,43,49,70,59,16
1047,0296,成都文理学院[民办],06,学前教育,275,82,72,43,38,57,55,35
1048,0296,成都文理学院[民办],07,中文,324,108,89,38,51,64,63,14
1049,0299,成都艺术职业大学[民办],01,园林工程技术,293,89,74,39,43,63,59,41
1050,0299,成都艺术职业大学[民办],02,建筑室内设计,307,107,81,30,47,67,56,5
1051,0299,成都艺术职业大学[民办],03,服装设计与工艺,308,94,68,54,35,63,62,10
1052,0299,成都艺术职业大学[民办],04,动漫制作技术,328,110,86,52,53,59,54,4
1053,0299,成都艺术职业大学[民办],05,大数据与财务管理,310,89,74,34,55,67,65,35
1054,0299,成都艺术职业大学[民办],06,新闻采编与制作,292,98,86,26,47,61,60,9
1055,0299,成都艺术职业大学[民办],07,学前教育,270,81,66,33,39,60,57,5
1056,0302,承德护理职业学院[公办],01,临床医学,402,141,98,54,72,68,67,12
1057,0302,承德护理职业学院[公办],02,口腔医学,440,155,92,68,60,87,70,4
1058,0302,承德护理职业学院[公办],03,护理,402,162,90,21,67,77,75,11
1059,0302,承德护理职业学院[公办],04,助产,392,145,99,60,67,67,53,3
1060,0302,承德护理职业学院[公办],05,药学,416,133,97,56,69,87,71,20
1061,0302,承德护理职业学院[公办],06,中药学,408,134,98,53,63,82,76,3
1062,0302,承德护理职业学院[公办],07,中医康复技术,402,140,86,66,62,69,65,60
1063,0302,承德护理职业学院[公办],08,医学检验技术,415,142,94,74,60,75,64,4
1064,0302,承德护理职业学院[公办],09,医学影像技术,425,142,91,45,76,88,74,10
1065,0302,承德护理职业学院[公办],10,口腔医学技术,424,145,88,98,57,62,62,18
1066,0302,承德护理职业学院[公办],11,医学美容技术,415,144,92,70,62,77,62,59
1067,0302,承德护理职业学院[公办],12,卫生检验与检疫技术,394,133,99,91,59,66,45,4
1068,0302,承德护理职业学院[公办],13,老年保健与管理,402,144,90,69,64,63,62,33
1069,0305,承德应用技术职业学院[公办],01,氢能技术应用,383,128,87,49,63,75,68,27
1070,0305,承德应用技术职业学院[公办],02,机械设计与制造,386,143,82,44,63,74,62,25
1071,0305,承德应用技术职业学院[公办],03,数控技术,377,134,90,41,63,70,69,34
1072,0305,承德应用技术职业学院[公办],04,智能焊接技术,371,120,97,26,65,84,76,27
1073,0305,承德应用技术职业学院[公办],05,模具设计与制造,365,140,105,50,66,55,54,22
1074,0305,承德应用技术职业学院[公办],06,机电一体化技术,395,180,99,20,69,73,53,11
1075,0305,承德应用技术职业学院[公办],07,工业机器人技术,380,116,87,85,58,65,56,49
1076,0305,承德应用技术职业学院[公办],08,电气自动化技术,394,123,98,61,65,74,71,38
1077,0305,承德应用技术职业学院[公办],09,汽车制造与试验技术,370,136,88,54,53,67,60,34
1078,0305,承德应用技术职业学院[公办],10,汽车电子技术,376,126,97,42,67,71,70,7
1079,0305,承德应用技术职业学院[公办],11,汽车技术服务与营销,362,118,83,37,72,71,64,34
1080,0305,承德应用技术职业学院[公办],12,新能源汽车检测与维修技术,393,131,91,46,74,74,68,15
1081,0305,承德应用技术职业学院[公办],13,电子信息工程技术,373,115,94,50,67,77,64,35
1082,0305,承德应用技术职业学院[公办],14,物联网应用技术,372,120,92,51,54,80,67,23
1083,0305,承德应用技术职业学院[公办],15,大数据技术,388,148,93,31,63,80,66,61
1084,0305,承德应用技术职业学院[公办],16,信息安全技术应用,371,136,89,27,71,75,62,30
1085,0305,承德应用技术职业学院[公办],17,人工智能技术应用,372,125,72,51,62,72,62,23
1086,0305,承德应用技术职业学院[公办],18,婴幼儿托育服务与管理,346,127,97,47,47,68,57,26
1087,0305,承德应用技术职业学院[公办],19,电子商务,357,108,82,50,65,72,62,25
1088,0305,承德应用技术职业学院[公办],20,网络营销与直播电商,357,104,79,51,57,74,71,18
1089,0305,承德应用技术职业学院[公办],21,商务数据分析与应用,351,108,88,32,61,81,69,7
1090,0305,承德应用技术职业学院[公办],22,学前教育,369,118,89,55,58,72,66,14
1091,0305,承德应用技术职业学院[公办],23,社会工作,354,117,84,58,50,73,56,28
1092,0305,承德应用技术职业学院[公办],24,智慧健康养老服务与管理,372,121,91,61,50,75,65,3
1093,0307,赤峰工业职业技术学院[公办],01,光伏工程技术,349,122,81,27,62,71,67,16
1094,0307,赤峰工业职业技术学院[公办],02,建筑装饰工程技术,343,95,87,47,59,76,66,75
1095,0307,赤峰工业职业技术学院[公办],03,智能制造装备技术,349,127,83,34,61,64,63,63
1096,0307,赤峰工业职业技术学院[公办],04,机电设备技术,357,138,82,21,64,69,65,36
1097,0307,赤峰工业职业技术学院[公办],05,新能源汽车技术,372,118,80,43,64,80,67,38
1098,0307,赤峰工业职业技术学院[公办],06,食品生物技术,346,98,77,40,67,75,56,68
1099,0307,赤峰工业职业技术学院[公办],07,应用化工技术,344,126,91,32,55,67,64,38
1100,0307,赤峰工业职业技术学院[公办],08,药品生产技术,370,113,84,60,61,72,64,34
1101,0307,赤峰工业职业技术学院[公办],09,软件技术,369,128,89,27,47,87,80,17
1102,0307,赤峰工业职业技术学院[公办],10,数字媒体技术,366,117,87,33,64,77,75,22
1103,0307,赤峰工业职业技术学院[公办],11,动漫制作技术,349,104,79,41,60,75,69,14
1104,0307,赤峰工业职业技术学院[公办],12,大数据与会计,377,121,80,66,58,67,65,46
1105,0307,赤峰工业职业技术学院[公办],13,电子商务,338,118,91,36,51,70,63,59
1106,0310,赤峰应用技术职业学院[公办],01,畜牧兽医,373,131,98,35,56,77,74,52
1107,0310,赤峰应用技术职业学院[公办],02,计算机应用技术,362,139,97,36,66,67,54,27
1108,0310,赤峰应用技术职业学院[公办],03,信息安全技术应用,343,136,78,48,42,74,43,33
1109,0310,赤峰应用技术职业学院[公办],04,护理,381,120,88,72,57,69,63,15
1110,0310,赤峰应用技术职业学院[公办],05,大数据与会计,375,136,101,34,74,76,55,51
