,2024年河北省普通高校招生本科批平行志愿投档情况统计历史,院校名称,专业代号,专业名称,投档最低分,同分考生排序项一,二,三,四,五,六,志愿号
546,0229,长春光华学院[民办],06,汉语言文学,490,151,107,83,83,88,85,51
547,0229,长春光华学院[民办],07,英语,460,149,105,86,60,83,82,33
548,0229,长春光华学院[民办],08,俄语,456,142,90,95,69,81,69,7
549,0229,长春光华学院[民办],09,日语,454,148,105,69,67,88,82,2
550,0229,长春光华学院[民办],10,朝鲜语,455,133,96,113,68,76,65,4
551,0229,长春光华学院[民办],11,广告学,466,167,100,79,69,77,74,16
552,0229,长春光华学院[民办],12,工商管理,469,144,100,82,74,84,75,4
553,0229,长春光华学院[民办],13,市场营销,454,167,99,55,81,83,68,52
554,0229,长春光华学院[民办],14,会计学,477,142,102,109,71,84,71,53
555,0229,长春光华学院[民办],15,财务管理,476,146,95,89,73,87,81,58
556,0229,长春光华学院[民办],16,电子商务,458,186,114,72,65,68,67,38
557,0230,长春光华学院(按高考文化课成绩录取的艺术类专业)[民办],01,戏剧影视文学,,,,,,,,
558,0230,长春光华学院(按高考文化课成绩录取的艺术类专业)[民办],02,广播电视编导,450,139,105,88,75,77,71,17
559,0231,长春建筑学院[民办],01,广告学,451,162,98,69,67,82,71,76
560,0231,长春建筑学院[民办],02,工商管理,453,147,88,105,53,80,68,69
561,0231,长春建筑学院[民办],03,财务管理,461,157,84,53,76,83,82,46
562,0231,长春建筑学院[民办],04,文化产业管理,451,163,99,79,56,77,76,18
563,0231,长春建筑学院[民办],05,电子商务,452,146,86,72,74,90,70,38
564,0234,长春科技学院[民办],01,金融学,456,130,83,94,81,80,71,42
565,0234,长春科技学院[民办],02,小学教育,464,152,104,78,86,84,64,54
566,0234,长春科技学院[民办],03,汉语国际教育,459,138,84,73,81,87,70,31
567,0234,长春科技学院[民办],04,英语,449,117,91,101,76,85,70,8
568,0234,长春科技学院[民办],05,网络与新媒体,457,157,104,68,70,82,80,60
569,0234,长春科技学院[民办],06,工商管理,456,161,101,82,66,83,64,41
570,0234,长春科技学院[民办],07,财务管理,459,148,106,78,67,87,79,27
571,0234,长春科技学院[民办],08,人力资源管理,454,145,106,81,79,81,68,9
572,0234,长春科技学院[民办],09,电子商务,453,158,102,54,69,91,81,5
573,0235,长春理工大学[公办],01,社会工作,561,198,105,125,73,86,79,47
574,0235,长春理工大学[公办],02,汉语言文学,579,186,116,130,87,91,85,30
575,0235,长春理工大学[公办],03,英语,568,212,118,130,73,89,64,32
576,0235,长春理工大学[公办],04,俄语,531,184,105,105,83,82,77,18
577,0235,长春理工大学[公办],05,日语,533,168,100,109,81,92,83,20
578,0235,长春理工大学[公办],06,朝鲜语,526,187,103,101,87,76,75,42
579,0235,长春理工大学[公办],07,工商管理类,565,189,116,115,88,87,86,29
580,0237,长春人文学院(长春市)[民办],01,法学,498,174,107,95,75,85,69,4
581,0237,长春人文学院(长春市)[民办],02,学前教育,471,163,97,100,57,80,71,32
582,0237,长春人文学院(长春市)[民办],03,融合教育,,,,,,,,
583,0237,长春人文学院(长春市)[民办],04,汉语言文学,497,184,106,94,66,77,66,38
584,0237,长春人文学院(长春市)[民办],05,俄语,493,152,103,119,73,82,67,41
585,0237,长春人文学院(长春市)[民办],06,日语,452,140,96,96,61,85,70,3
586,0237,长春人文学院(长春市)[民办],07,工商管理,484,160,115,83,68,88,85,14
587,0238,长春人文学院(长春市)(按高考文化课成绩录取的艺术类专业)[民办],01,广播电视编导,459,134,107,87,68,87,83,7
588,0239,长春师范大学[公办],01,汉语言文学,580,210,117,111,78,92,89,19
589,0239,长春师范大学[公办],02,俄语,545,186,107,117,72,88,82,63
590,0239,长春师范大学[公办],03,德语,534,195,117,85,80,90,84,30
591,0239,长春师范大学[公办],04,西班牙语,530,171,110,128,70,88,73,4
592,0239,长春师范大学[公办],05,学前教育(中外合作办学),500,168,108,96,71,90,75,15
593,0239,长春师范大学[公办],06,旅游管理(中外合作办学),494,150,109,102,82,76,74,24
594,0247,长江大学[公办],01,经济学类(含荆楚卓越人才协同育人计划),573,196,111,109,86,91,91,16
595,0247,长江大学[公办],02,法学(社会治理法、知产法方向),595,202,111,127,89,89,88,34
596,0247,长江大学[公办],03,社会工作(司法社工、社会治理方向),556,199,112,110,85,83,79,17
597,0247,长江大学[公办],04,思想政治教育(师范),583,193,122,134,79,92,85,48
598,0247,长江大学[公办],05,教育学类,568,209,119,120,74,88,77,9
599,0247,长江大学[公办],06,中国语言文学类,587,201,119,132,84,89,81,13
600,0247,长江大学[公办],07,外国语言文学类,567,191,110,124,83,93,76,26
601,0247,长江大学[公办],08,新闻传播学类,580,204,117,119,78,92,87,40
602,0247,长江大学[公办],09,历史学(师范类),577,219,118,112,85,81,80,33
603,0247,长江大学[公办],10,建筑类(含省一流专业),558,193,113,106,80,92,87,40
604,0247,长江大学[公办],11,园林,522,169,111,98,87,87,81,2
605,0247,长江大学[公办],12,护理学,460,179,104,72,67,73,69,4
606,0247,长江大学[公办],13,工商管理类(含荆楚卓越协同育人计划),574,211,121,118,81,87,77,39
607,0248,长江大学文理学院[独立学院],01,金融学类,484,143,104,83,87,87,84,3
608,0248,长江大学文理学院[独立学院],02,外国语言文学类,483,158,106,101,71,90,63,27
609,0250,长江师范学院(重庆市)[公办],01,政治学与行政学,545,184,108,118,81,87,75,20
610,0250,长江师范学院(重庆市)[公办],02,新闻传播学类,547,191,106,102,82,91,81,21
611,0257,长沙理工大学[公办],01,金融学,593,203,118,135,78,89,88,23
612,0257,长沙理工大学[公办],02,国际经济与贸易,589,213,116,129,80,90,77,40
613,0257,长沙理工大学[公办],03,法学,603,196,122,141,87,92,87,39
614,0257,长沙理工大学[公办],04,汉语言文学,601,208,111,135,84,88,86,48
615,0257,长沙理工大学[公办],05,英语,585,203,110,123,77,92,90,10
616,0257,长沙理工大学[公办],06,翻译,575,210,123,110,81,91,83,36
617,0257,长沙理工大学[公办],07,新闻学,589,221,120,122,74,87,85,4
618,0257,长沙理工大学[公办],08,新闻学(卓越班),589,214,118,123,85,84,83,8
619,0257,长沙理工大学[公办],09,网络与新媒体,587,207,123,124,85,90,81,23
620,0257,长沙理工大学[公办],10,会计学(卓越班),608,220,114,135,75,91,87,41
621,0257,长沙理工大学[公办],11,人力资源管理,586,196,117,125,85,93,87,28
622,0258,长沙理工大学城南学院[独立学院],01,金融学,498,198,118,72,71,89,68,15
623,0258,长沙理工大学城南学院[独立学院],02,国际经济与贸易,511,174,101,98,76,89,74,1
624,0258,长沙理工大学城南学院[独立学院],03,法学,525,187,107,108,68,85,77,38
625,0258,长沙理工大学城南学院[独立学院],04,英语,497,150,98,129,80,73,65,55
626,0258,长沙理工大学城南学院[独立学院],05,市场营销,488,201,102,52,73,85,77,37
627,0258,长沙理工大学城南学院[独立学院],06,财务管理,512,160,97,109,75,87,81,34
628,0262,长沙师范学院[公办],01,学前教育,533,184,121,94,79,89,87,52
629,0264,长沙学院[公办],01,汉语言文学,567,200,108,112,77,90,88,29
630,0264,长沙学院[公办],02,英语,546,182,95,116,88,85,75,3
631,0264,长沙学院[公办],03,公共事业管理,533,190,101,102,72,85,84,12
632,0264,长沙学院[公办],04,旅游管理,521,176,99,115,72,84,74,48
633,0265,长沙学院(按高考文化课成绩录取的艺术类专业)[公办],01,广播电视编导,510,182,104,87,67,91,83,11
634,0269,长治学院[公办],01,网络与新媒体,539,223,117,88,71,84,73,16
635,0269,长治学院[公办],02,历史学,539,160,108,114,85,93,87,29
636,0269,长治学院[公办],03,旅游管理,506,169,105,111,70,84,72,29
637,0269,长治学院[公办],04,酒店管理,500,186,115,86,75,79,74,44
638,0270,长治医学院[公办],01,传播学,512,185,111,79,80,85,83,11
639,0270,长治医学院[公办],02,应用心理学,515,172,102,96,66,88,83,22
640,0275,常州大学怀德学院[独立学院],01,国际经济与贸易,478,171,96,79,65,87,76,46
641,0275,常州大学怀德学院[独立学院],02,财务管理,491,182,102,60,76,91,82,24
642,0282,成都大学[公办],01,社会工作,577,210,114,106,82,92,87,18
643,0282,成都大学[公办],02,学前教育,564,211,110,108,74,88,83,44
644,0282,成都大学[公办],03,小学教育,573,209,123,115,86,86,77,11
645,0282,成都大学[公办],04,汉语言文学,602,220,118,113,91,92,86,41
646,0282,成都大学[公办],05,英语,581,201,108,139,68,89,84,13
647,0282,成都大学[公办],06,工商管理,581,201,119,116,90,90,84,2
648,0282,成都大学[公办],07,会计学,596,213,121,131,76,94,82,13
649,0282,成都大学[公办],08,旅游管理,561,188,113,112,78,94,89,3
650,0282,成都大学[公办],09,酒店管理,551,184,108,119,75,93,80,28
651,0282,成都大学[公办],10,会展经济与管理,570,206,118,113,79,87,85,16
652,0283,成都东软学院[民办],01,英语,481,147,99,102,77,88,67,94
653,0283,成都东软学院[民办],02,日语,471,147,101,95,66,82,81,16
654,0283,成都东软学院[民办],03,商务英语,475,162,106,104,63,76,70,63
655,0283,成都东软学院[民办],04,财务管理,486,193,105,49,73,89,82,53
656,0283,成都东软学院[民办],05,人力资源管理,484,166,110,108,61,89,60,27
657,0283,成都东软学院[民办],06,电子商务,475,138,112,95,81,90,71,42
658,0289,成都锦城学院(成都市)[民办],01,金融学类,496,176,105,101,72,82,65,2
659,0289,成都锦城学院(成都市)[民办],02,商务英语,481,133,111,104,76,87,81,29
660,0289,成都锦城学院(成都市)[民办],03,工商管理类,493,176,104,109,56,84,68,3
661,0289,成都锦城学院(成都市)[民办],04,审计学,511,150,112,117,72,88,84,39
662,0289,成都锦城学院(成都市)[民办],05,供应链管理,487,176,115,85,71,79,76,45
663,0290,成都锦城学院(成都市)(按高考文化课成绩录取的艺术类专业)[民办],01,广播电视编导,451,132,90,85,81,79,74,90
664,0291,成都理工大学[公办],01,投资学,593,207,113,125,86,88,87,15
665,0291,成都理工大学[公办],02,思想政治教育,595,226,130,109,84,89,87,18
666,0291,成都理工大学[公办],03,商务英语,591,214,114,127,81,92,77,9
667,0291,成都理工大学[公办],04,新闻传播学类,593,226,124,131,71,90,75,49
668,0291,成都理工大学[公办],05,工商管理类,595,224,122,105,87,92,87,51
669,0291,成都理工大学[公办],06,工商管理,591,220,112,125,78,87,81,47
670,0291,成都理工大学[公办],07,市场营销,579,220,122,113,73,94,79,17
671,0291,成都理工大学[公办],08,公共事业管理,584,212,119,108,87,90,87,8
672,0291,成都理工大学[公办],09,工商管理(中外合作办学),567,185,100,115,87,91,89,24
673,0292,成都理工大学工程技术学院(乐山市)[独立学院],01,会计学,497,170,111,95,70,82,80,30
674,0292,成都理工大学工程技术学院(乐山市)[独立学院],02,财务管理,491,160,95,97,68,84,82,77
675,0293,成都师范学院[公办],01,小学教育,534,173,105,129,66,84,82,11
676,0294,成都体育学院[公办],01,英语,526,155,99,116,74,93,88,25
677,0294,成都体育学院[公办],02,新闻学,534,154,101,125,90,88,77,27
678,0294,成都体育学院[公办],03,体育经济与管理,520,180,103,108,70,82,80,27
679,0295,成都外国语学院[民办],01,国际经济与贸易,506,160,102,94,81,86,85,9
680,0295,成都外国语学院[民办],02,学前教育,472,164,86,91,73,82,62,51
681,0295,成都外国语学院[民办],03,汉语言文学,513,180,100,108,72,77,76,5
682,0295,成都外国语学院[民办],04,汉语国际教育,489,170,108,78,81,80,80,28
683,0295,成都外国语学院[民办],05,英语,484,150,101,107,67,81,79,2
684,0295,成都外国语学院[民办],06,俄语,479,163,103,93,83,80,60,13
685,0295,成都外国语学院[民办],07,德语,478,162,103,82,79,81,74,34
686,0295,成都外国语学院[民办],08,法语,480,138,105,81,88,87,86,18
687,0295,成都外国语学院[民办],09,西班牙语,473,173,101,69,83,82,66,7
688,0295,成都外国语学院[民办],10,阿拉伯语,473,160,109,93,72,75,73,74
689,0295,成都外国语学院[民办],11,日语,474,172,87,84,79,79,60,38
690,0295,成都外国语学院[民办],12,朝鲜语,473,161,106,95,66,83,68,22
691,0295,成都外国语学院[民办],13,马来语,461,166,96,85,57,81,72,16
692,0295,成都外国语学院[民办],14,泰语,469,166,103,96,66,74,67,55
693,0295,成都外国语学院[民办],15,越南语,462,166,98,104,57,69,66,23
694,0295,成都外国语学院[民办],16,波兰语,459,145,102,82,72,87,73,12
695,0295,成都外国语学院[民办],17,捷克语,458,152,98,78,70,81,77,14
696,0295,成都外国语学院[民办],18,葡萄牙语,474,173,95,90,67,74,70,15
697,0295,成都外国语学院[民办],19,匈牙利语,467,133,93,103,74,83,74,10
698,0295,成都外国语学院[民办],20,意大利语,472,161,104,107,65,79,60,47
699,0295,成都外国语学院[民办],21,翻译,483,153,111,83,74,90,83,37
700,0295,成都外国语学院[民办],22,商务英语,480,162,109,97,76,72,63,9
701,0295,成都外国语学院[民办],23,网络与新媒体,492,163,110,88,71,87,83,19
702,0295,成都外国语学院[民办],24,国际新闻与传播,490,153,96,107,78,80,72,48
703,0295,成都外国语学院[民办],25,财务管理,507,158,98,120,74,84,71,53
704,0295,成都外国语学院[民办],26,物流管理,485,181,110,64,82,87,71,21
705,0295,成都外国语学院[民办],27,跨境电子商务,474,163,109,67,80,84,80,45
706,0295,成都外国语学院[民办],28,会展经济与管理,477,175,98,100,63,71,68,35
707,0296,成都文理学院[民办],01,小学教育,488,159,110,102,74,90,63,4
708,0296,成都文理学院[民办],02,汉语言文学,493,179,102,78,86,83,67,36
709,0297,成都信息工程大学[公办],01,国际经济与贸易,579,194,109,128,86,88,83,53
710,0297,成都信息工程大学[公办],02,社会工作,572,193,124,137,74,86,82,18
711,0297,成都信息工程大学[公办],03,中国语言文学类,585,207,120,113,84,92,89,36
712,0297,成都信息工程大学[公办],04,英语,567,202,114,113,74,91,87,2
713,0297,成都信息工程大学[公办],05,翻译,564,187,113,125,78,88,86,16
714,0297,成都信息工程大学[公办],06,市场营销,561,210,117,105,81,85,80,41
715,0297,成都信息工程大学[公办],07,会计学,592,216,119,121,83,91,81,28
716,0297,成都信息工程大学[公办],08,会计学,587,208,109,113,90,88,88,16
717,0297,成都信息工程大学[公办],09,财务管理,589,206,111,125,83,88,87,31
718,0297,成都信息工程大学[公办],10,人力资源管理,573,180,110,136,89,89,79,3
719,0297,成都信息工程大学[公办],11,物流管理,558,197,109,104,82,89,86,14
720,0297,成都信息工程大学[公办],12,供应链管理,556,188,106,119,83,84,82,5
721,0297,成都信息工程大学[公办],13,电子商务,565,205,114,121,71,87,81,9
722,0300,成都银杏酒店管理学院[民办],01,工商管理类,476,186,99,52,77,81,80,84
723,0300,成都银杏酒店管理学院[民办],02,旅游管理类,469,161,97,82,73,77,76,64
724,0300,成都银杏酒店管理学院[民办],03,酒店管理,468,168,93,95,59,74,72,85
725,0301,成都中医药大学[公办],01,护理学,514,177,111,112,75,89,61,3
726,0301,成都中医药大学[公办],02,助产学,510,194,102,96,81,70,69,2
727,0301,成都中医药大学[公办],03,市场营销,577,203,114,115,80,92,87,20
728,0301,成都中医药大学[公办],04,健康服务与管理(中外合作办学),541,160,104,129,72,90,90,1
729,0303,承德医学院[公办],01,应用心理学,507,173,112,86,82,91,65,22
730,0303,承德医学院[公办],02,护理学,512,177,105,92,73,88,72,4
731,0303,承德医学院[公办],03,助产学,506,191,105,84,77,82,72,7
732,0306,池州学院[公办],01,汉语言文学,537,207,105,101,77,77,75,12
733,0306,池州学院[公办],02,文化产业管理,513,194,115,77,67,92,83,2
734,0306,池州学院[公办],03,旅游管理,506,163,108,117,61,90,75,30
735,0306,池州学院[公办],04,酒店管理,504,181,105,93,79,80,71,47
736,0308,赤峰学院[公办],01,小学教育(语文与道法方向),508,173,97,113,69,81,62,16
737,0308,赤峰学院[公办],02,特殊教育,501,160,105,87,79,90,85,21
738,0308,赤峰学院[公办],03,历史学,520,180,113,89,73,89,89,20
739,0309,赤峰学院(八协计划)[公办],01,思想政治教育,404,123,94,87,58,72,66,1
740,0311,重庆财经学院[民办],01,经济学,499,174,101,66,78,91,80,7
741,0311,重庆财经学院[民办],02,金融学,494,184,118,80,72,82,76,24
742,0311,重庆财经学院[民办],03,网络与新媒体,507,172,102,84,77,90,84,3
743,0311,重庆财经学院[民办],04,会计学,521,178,103,102,77,85,79,22
744,0311,重庆财经学院[民办],05,审计学,514,191,106,106,66,88,63,12
745,0311,重庆财经学院[民办],06,物流管理,488,154,95,90,78,87,79,10
746,0311,重庆财经学院[民办],07,电子商务,495,157,100,109,65,87,77,26
747,0314,重庆城市科技学院[民办],01,金融学,483,154,108,89,65,88,87,8
748,0314,重庆城市科技学院[民办],02,国际经济与贸易,477,189,112,66,63,84,75,77
749,0314,重庆城市科技学院[民办],03,法学,502,168,101,98,63,87,86,20
750,0314,重庆城市科技学院[民办],04,思想政治教育,489,172,105,83,76,86,72,41
751,0314,重庆城市科技学院[民办],05,汉语言文学,496,169,99,110,68,79,70,14
752,0314,重庆城市科技学院[民办],06,中国语言与文化,481,169,107,74,66,87,85,48
753,0314,重庆城市科技学院[民办],07,英语,480,149,103,105,76,84,66,40
754,0314,重庆城市科技学院[民办],08,网络与新媒体,484,162,111,91,74,82,75,41
755,0314,重庆城市科技学院[民办],09,建筑类,479,149,101,85,74,89,82,3
756,0314,重庆城市科技学院[民办],10,工商管理类,483,164,99,91,71,81,76,29
757,0314,重庆城市科技学院[民办],11,会计学,490,193,102,53,68,90,86,45
758,0314,重庆城市科技学院[民办],12,健康服务与管理,477,164,102,99,67,77,70,41
759,0314,重庆城市科技学院[民办],13,跨境电子商务,478,149,106,96,65,86,82,39
760,0317,重庆大学[公办],03,人文科学试验班(法学新闻类),632,227,123,138,84,96,87,41
761,0317,重庆大学[公办],04,汉语言文学(博雅类，含中文、历史、哲学专业),633,233,121,115,93,98,94,10
762,0318,重庆大学(按高考文化课成绩录取的艺术类专业)[公办],01,戏剧与影视学类,600,209,126,129,89,89,84,2
763,0321,重庆第二师范学院[公办],01,思想政治教育,554,216,111,78,89,90,81,15
764,0326,重庆对外经贸学院[民办],01,经济学,488,162,90,95,82,84,65,28
765,0326,重庆对外经贸学院[民办],02,国际经济与贸易,485,168,103,73,73,90,81,70
766,0326,重庆对外经贸学院[民办],03,汉语言文学,499,184,121,78,70,84,83,6
767,0326,重庆对外经贸学院[民办],04,英语,488,160,101,92,71,85,80,27
768,0326,重庆对外经贸学院[民办],05,网络与新媒体,496,166,102,86,75,89,80,13
769,0326,重庆对外经贸学院[民办],06,人文地理与城乡规划,487,152,98,90,70,85,80,22
770,0326,重庆对外经贸学院[民办],07,国际商务,480,161,117,118,59,75,67,22
771,0326,重庆对外经贸学院[民办],08,人力资源管理,491,155,100,107,77,87,65,21
772,0326,重庆对外经贸学院[民办],09,物流管理,486,149,104,100,66,88,83,32
773,0328,重庆工商大学[公办],02,财政学类,597,229,128,108,86,89,85,43
774,0328,重庆工商大学[公办],03,金融学类,589,194,126,132,83,90,90,43
775,0328,重庆工商大学[公办],04,金融学(中外双学士项目),570,205,117,109,78,91,87,22
776,0328,重庆工商大学[公办],05,法语,557,199,105,111,73,87,87,16
777,0328,重庆工商大学[公办],06,商务英语,577,188,121,138,84,88,79,30
778,0328,重庆工商大学[公办],07,新闻传播学类,580,210,121,108,80,92,90,24
779,0328,重庆工商大学[公办],08,工商管理类,584,208,115,120,86,91,79,11
780,0328,重庆工商大学[公办],09,会计学,598,218,122,121,78,94,87,11
781,0328,重庆工商大学[公办],10,电子商务,576,190,112,115,90,92,89,13
782,0328,重庆工商大学[公办],11,旅游管理类,531,170,117,125,69,88,79,13
783,0329,重庆工商大学派斯学院[独立学院],01,金融学,485,177,103,84,82,79,63,5
784,0329,重庆工商大学派斯学院[独立学院],02,汉语言文学,499,158,110,106,70,85,80,50
785,0329,重庆工商大学派斯学院[独立学院],03,会计学,493,188,114,65,69,92,79,25
786,0336,重庆机电职业技术大学[民办],01,大数据与财务管理,481,158,89,93,74,89,67,24
787,0336,重庆机电职业技术大学[民办],02,学前教育,473,181,101,70,67,87,68,9
788,0340,重庆交通大学[公办],01,知识产权,595,205,115,120,86,94,90,72
789,0340,重庆交通大学[公办],02,外国语言文学类,568,179,103,129,83,90,87,9
790,0340,重庆交通大学[公办],03,新闻传播学类,581,219,120,103,80,91,88,8
791,0340,重庆交通大学[公办],04,工商管理类,591,212,117,119,87,90,83,34
792,0345,重庆科技大学[公办],01,国际经济与贸易,553,186,107,111,74,92,90,15
793,0345,重庆科技大学[公办],02,英语,550,169,112,121,80,93,87,30
794,0345,重庆科技大学[公办],03,会计学,564,221,119,92,74,90,87,7
795,0347,重庆理工大学[公办],01,社会工作,563,211,120,109,69,89,75,3
796,0347,重庆理工大学[公办],02,英语,572,208,123,115,74,90,85,13
797,0347,重庆理工大学[公办],03,广告学,566,201,117,115,75,93,82,26
798,0347,重庆理工大学[公办],04,工商管理,570,184,111,129,79,91,87,35
799,0347,重庆理工大学[公办],05,财务管理,592,204,105,134,81,87,86,5
800,0347,重庆理工大学[公办],06,劳动与社会保障,564,198,111,105,81,91,89,16
801,0347,重庆理工大学[公办],07,电子商务及法律,568,205,109,119,77,85,82,7
802,0347,重庆理工大学[公办],08,旅游管理,543,202,112,107,83,77,74,33
803,0352,重庆人文科技学院[民办],01,经济学,482,206,109,39,79,89,69,44
804,0352,重庆人文科技学院[民办],02,法学,504,178,103,72,86,93,75,20
805,0352,重庆人文科技学院[民办],03,思想政治教育,496,158,104,91,67,90,80,15
806,0352,重庆人文科技学院[民办],04,汉语言文学,502,153,99,110,80,85,74,3
807,0352,重庆人文科技学院[民办],05,汉语国际教育,489,174,112,76,68,89,82,42
808,0352,重庆人文科技学院[民办],06,英语,488,161,95,101,62,82,82,30
809,0352,重庆人文科技学院[民办],07,新闻学,489,164,106,87,80,86,72,11
810,0352,重庆人文科技学院[民办],08,建筑学,475,180,103,75,67,85,68,24
811,0352,重庆人文科技学院[民办],09,风景园林,480,147,104,116,65,80,72,20
812,0352,重庆人文科技学院[民办],10,园林,474,171,105,92,69,83,59,27
813,0352,重庆人文科技学院[民办],11,护理学,,,,,,,,
814,0352,重庆人文科技学院[民办],12,会计学,489,165,98,92,66,89,77,43
815,0352,重庆人文科技学院[民办],13,人力资源管理,482,157,96,75,81,85,84,52
816,0352,重庆人文科技学院[民办],14,供应链管理,479,163,104,98,72,76,70,52
817,0352,重庆人文科技学院[民办],15,旅游管理类,478,144,105,99,66,87,82,17
818,0353,重庆人文科技学院(按高考文化课成绩录取的艺术类专业)[民办],01,广播电视编导,449,153,96,96,55,81,64,34
819,0354,重庆三峡学院[公办],01,经济学,544,210,108,112,80,75,67,27
820,0354,重庆三峡学院[公办],02,民族学,531,194,109,94,75,86,82,6
821,0354,重庆三峡学院[公办],03,汉语言文学,562,192,114,108,89,90,83,22
822,0354,重庆三峡学院[公办],04,汉语言文学,559,201,118,120,67,89,82,9
823,0354,重庆三峡学院[公办],05,英语,551,178,111,120,70,95,88,45
824,0354,重庆三峡学院[公办],06,广告学,531,174,110,117,68,92,80,22
825,0354,重庆三峡学院[公办],07,网络与新媒体,551,186,103,109,75,93,88,7
826,0354,重庆三峡学院[公办],08,市场营销,526,194,106,81,76,88,87,16
827,0356,重庆师范大学[公办],01,中国语言文学类,599,202,117,131,90,92,84,37
828,0356,重庆师范大学[公办],02,历史学,597,227,126,123,79,87,81,29
829,0356,重庆师范大学[公办],03,应用心理学,583,189,118,129,86,90,89,44
830,0359,重庆外语外事学院[民办],01,小学教育,488,166,103,92,69,82,79,22
831,0359,重庆外语外事学院[民办],02,中国语言文学类,501,152,102,103,86,90,70,51
832,0359,重庆外语外事学院[民办],03,英语,482,148,100,109,84,81,60,34
833,0359,重庆外语外事学院[民办],04,俄语,482,154,103,94,71,92,71,86
834,0359,重庆外语外事学院[民办],05,德语,475,161,101,69,78,85,82,11
835,0359,重庆外语外事学院[民办],06,法语,476,156,102,86,85,76,73,43
836,0359,重庆外语外事学院[民办],07,西班牙语,475,145,93,117,71,74,68,8
837,0359,重庆外语外事学院[民办],08,阿拉伯语,470,173,113,88,66,72,71,30
838,0359,重庆外语外事学院[民办],09,日语,482,158,106,98,75,90,61,64
839,0359,重庆外语外事学院[民办],10,朝鲜语,472,139,94,63,87,87,86,43
840,0359,重庆外语外事学院[民办],11,意大利语,477,156,112,94,74,84,69,43
841,0359,重庆外语外事学院[民办],12,翻译,480,149,102,113,67,84,67,40
842,0359,重庆外语外事学院[民办],13,商务英语,482,146,118,99,72,86,79,75
843,0359,重庆外语外事学院[民办],14,新闻传播学类,493,172,105,76,72,88,85,27
844,0359,重庆外语外事学院[民办],15,财务会计教育,481,160,91,97,64,80,80,21
845,0360,重庆文理学院[公办],01,法学,568,207,111,118,74,85,84,3
846,0360,重庆文理学院[公办],02,俄语,517,180,121,83,69,94,91,6
847,0360,重庆文理学院[公办],03,园林,511,200,105,99,77,79,56,27
848,0361,重庆文理学院(按高考文化课成绩录取的艺术类专业)[公办],01,广播电视编导,493,145,97,107,75,86,80,3
849,0367,重庆移通学院[民办],01,互联网金融,476,161,102,56,87,87,85,27
850,0367,重庆移通学院[民办],02,外国语言文学类,477,157,106,97,79,82,62,49
851,0367,重庆移通学院[民办],03,网络与新媒体,479,164,103,87,79,82,67,21
852,0367,重庆移通学院[民办],04,工商管理,477,167,104,91,80,71,68,37
853,0367,重庆移通学院[民办],05,市场营销,472,169,109,58,88,82,75,59
854,0367,重庆移通学院[民办],06,财务管理,482,162,96,83,74,82,81,1
855,0367,重庆移通学院[民办],07,资产评估,475,164,117,91,60,84,76,45
856,0367,重庆移通学院[民办],08,体育经济与管理,471,170,99,93,67,77,64,18
857,0367,重庆移通学院[民办],09,健康服务与管理,477,164,111,72,76,90,75,23
858,0367,重庆移通学院[民办],10,养老服务管理,478,185,105,62,71,81,79,71
859,0367,重庆移通学院[民办],11,供应链管理,473,180,113,71,65,82,75,58
860,0368,重庆移通学院(按高考文化课成绩录取的艺术类专业)[民办],01,戏剧影视文学,456,167,98,73,66,82,68,51
861,0368,重庆移通学院(按高考文化课成绩录取的艺术类专业)[民办],02,广播电视编导,458,146,103,87,69,80,76,1
862,0371,重庆邮电大学[公办],01,法学,605,225,115,128,81,91,80,26
863,0371,重庆邮电大学[公办],02,外国语言文学类(英语类),587,231,129,134,52,91,79,9
864,0376,滁州学院[公办],01,国际经济与贸易,526,184,100,115,74,79,74,9
865,0376,滁州学院[公办],02,学前教育,518,184,105,122,67,74,71,15
866,0376,滁州学院[公办],03,英语,534,178,107,111,81,87,77,2
867,0376,滁州学院[公办],04,商务英语,523,186,102,116,62,84,75,17
868,0376,滁州学院[公办],05,新闻学,544,182,115,126,76,91,69,46
869,0376,滁州学院[公办],06,网络与新媒体,542,203,115,110,73,79,77,36
870,0376,滁州学院[公办],07,工商管理,525,193,105,94,75,87,76,16
871,0376,滁州学院[公办],08,市场营销,509,183,96,79,71,90,86,40
872,0376,滁州学院[公办],09,财务管理,552,178,104,116,93,89,76,54
873,0376,滁州学院[公办],10,审计学,553,198,119,117,75,82,81,52
874,0376,滁州学院[公办],11,旅游管理,510,181,98,80,78,86,85,25
