,2024年河北省普通高校招生本科批平行志愿投档情况统计物理,院校名称,专业代号,专业名称,投档最低分,同分考生排序项一,二,三,四,五,六,志愿号,
785,0121,北京化工大学[公办],25,化工与制药类(中外合作办学)(中法精英工程教育试验班),581,225,114,115,70,92,79,41,
786,0121,北京化工大学[公办],26,生物工程(中外合作办学)(中美双学位、生物过程工程),582,212,120,128,66,89,87,11,
787,0124,北京建筑大学[公办],01,信息与计算科学(大数据应用),585,208,106,126,70,92,89,17,
788,0124,北京建筑大学[公办],02,机械电子工程(智能化系统及高端装备),588,243,125,86,78,91,90,38,
789,0124,北京建筑大学[公办],03,车辆工程(实验班),587,231,130,126,49,94,87,15,
790,0124,北京建筑大学[公办],04,车辆工程(智能轨道车辆),586,219,110,130,60,91,86,2,
791,0124,北京建筑大学[公办],05,智能制造工程,584,231,118,98,69,95,91,27,
792,0124,北京建筑大学[公办],06,能源与动力工程(新能源与低碳),591,221,113,121,64,93,92,3,
793,0124,北京建筑大学[公办],07,电气工程及其自动化,602,231,123,124,67,91,89,16,
794,0124,北京建筑大学[公办],08,人工智能,594,229,123,122,64,91,88,43,
795,0124,北京建筑大学[公办],09,自动化(建筑智能控制与机器人),589,209,107,124,76,91,89,36,
796,0124,北京建筑大学[公办],10,计算机科学与技术(互联网控制),607,228,116,128,65,95,91,18,
797,0124,北京建筑大学[公办],11,土木工程(实验班),569,222,111,127,50,89,81,13,
798,0124,北京建筑大学[公办],12,土木工程,563,218,117,123,54,88,80,11,
799,0124,北京建筑大学[公办],13,建筑环境与能源应用工程(实验班),569,207,108,117,74,91,80,32,
800,0124,北京建筑大学[公办],14,建筑环境与能源应用工程,567,224,123,122,63,83,75,15,
801,0124,北京建筑大学[公办],15,给排水科学与工程,560,220,128,105,58,89,88,14,
802,0124,北京建筑大学[公办],16,智能建造,579,226,113,120,60,91,82,3,
803,0124,北京建筑大学[公办],17,测绘类(智慧城市类),575,204,106,131,60,97,83,7,
804,0124,北京建筑大学[公办],18,导航工程,585,225,116,107,79,88,86,29,
805,0124,北京建筑大学[公办],19,交通工程(智能交通),581,219,111,124,61,90,87,29,
806,0124,北京建筑大学[公办],20,建筑学(实验班),590,232,117,106,71,91,90,17,
807,0124,北京建筑大学[公办],21,城乡规划,579,221,113,123,63,86,86,2,
808,0124,北京建筑大学[公办],22,风景园林,569,216,112,117,66,87,83,29,
809,0124,北京建筑大学[公办],23,工程管理(实验班),573,220,114,125,55,89,84,7,
810,0124,北京建筑大学[公办],24,工程造价,576,218,120,126,52,90,90,13,
811,0124,北京建筑大学[公办],25,工业工程(工业互联网与大数据),582,239,130,114,61,89,79,22,
812,0125,北京交通大学[公办],09,经济管理试验班(经济类、管科类),611,224,114,136,68,92,91,6,
813,0125,北京交通大学[公办],10,理科试验班类(詹天佑试点班信息类),633,243,123,128,77,93,92,5,
814,0125,北京交通大学[公办],11,理科试验班类(詹天佑试点班智能类),630,237,125,140,70,93,90,24,
815,0125,北京交通大学[公办],12,理科试验班(数学与统计),623,233,117,125,77,94,94,12,
816,0125,北京交通大学[公办],13,理科试验班(智能光电与纳米技术),621,251,127,121,73,89,87,27,
817,0125,北京交通大学[公办],14,法学,613,235,120,124,70,93,91,36,
818,0125,北京交通大学[公办],15,外国语言文学类,601,224,121,131,67,92,87,17,
819,0125,北京交通大学[公办],16,系统科学与工程(智能交通系统),624,244,122,129,70,91,90,32,
820,0125,北京交通大学[公办],17,机械类(智能制造与智能装备),622,238,119,133,71,92,88,14,
821,0125,北京交通大学[公办],18,电气类,627,235,122,140,75,91,86,41,
822,0125,北京交通大学[公办],19,电子信息类,630,235,119,114,93,97,91,49,
823,0125,北京交通大学[公办],20,自动化类,627,235,126,140,65,95,92,22,
824,0125,北京交通大学[公办],21,计算机类,633,240,121,131,74,94,94,33,
825,0125,北京交通大学[公办],22,软件工程,629,241,123,139,67,91,91,23,
826,0125,北京交通大学[公办],23,土木类(智慧建造与智能工程),609,241,128,127,68,89,84,18,
827,0125,北京交通大学[公办],24,交通运输类,623,237,119,127,73,93,93,27,
828,0125,北京交通大学[公办],25,建筑类(建筑与规划),601,224,118,132,69,90,86,19,
829,0125,北京交通大学[公办],26,机械电子工程(中外合作办学),598,225,113,126,70,91,86,8,
830,0125,北京交通大学[公办],27,纳米材料与技术(中外合作办学),589,207,116,122,82,94,84,9,
831,0127,北京交通大学(威海校区)[公办],02,通信工程(中外合作办学),600,226,126,137,64,88,85,39,
832,0127,北京交通大学(威海校区)[公办],03,计算机科学与技术(中外合作办学),598,219,114,136,67,91,85,8,
833,0127,北京交通大学(威海校区)[公办],04,环境工程(中外合作办学),576,207,116,119,72,90,88,12,
834,0127,北京交通大学(威海校区)[公办],05,信息管理与信息系统(中外合作办学),585,227,119,122,64,88,84,51,
835,0127,北京交通大学(威海校区)[公办],06,会计学(中外合作办学),589,226,113,143,61,81,78,3,
836,0130,北京金融科技学院[民办],07,数字经济,448,178,100,86,49,69,66,1,
837,0130,北京金融科技学院[民办],08,金融学,448,158,90,92,56,73,69,8,
838,0130,北京金融科技学院[民办],09,金融工程,450,157,96,106,35,83,69,10,
839,0130,北京金融科技学院[民办],10,金融科技,459,185,94,94,41,71,68,8,
840,0130,北京金融科技学院[民办],11,应用心理学,,,,,,,,,
841,0130,北京金融科技学院[民办],12,人工智能,450,182,105,80,41,86,61,23,
842,0130,北京金融科技学院[民办],13,计算机科学与技术,452,176,96,96,59,61,60,14,
843,0130,北京金融科技学院[民办],14,数据科学与大数据技术,448,151,102,131,33,70,63,67,
844,0130,北京金融科技学院[民办],15,大数据管理与应用,450,176,90,88,48,69,69,33,
845,0130,北京金融科技学院[民办],16,会计学,466,185,105,94,44,74,69,32,
846,0130,北京金融科技学院[民办],17,财务管理,452,174,106,102,48,66,62,28,
847,0130,北京金融科技学院[民办],18,国际商务,462,188,112,107,32,83,52,30,
848,0130,北京金融科技学院[民办],19,审计学,454,194,99,55,55,79,71,40,
849,0136,北京科技大学[公办],13,工科试验班类,623,244,123,123,68,95,93,22,
850,0136,北京科技大学[公办],14,理科试验班,628,233,117,133,75,95,92,22,
851,0136,北京科技大学[公办],15,理科试验班(纳米科学与工程试验班),629,235,123,138,72,92,92,25,
852,0136,北京科技大学[公办],16,数学类,619,242,126,108,79,97,93,10,
853,0136,北京科技大学[公办],17,应用物理学,617,227,122,129,73,97,91,46,
854,0136,北京科技大学[公办],18,应用化学,612,238,120,131,67,91,85,22,
855,0136,北京科技大学[公办],19,生物技术,611,225,129,133,75,91,87,40,
856,0136,北京科技大学[公办],20,机械类,616,237,120,121,77,91,90,10,
857,0136,北京科技大学[公办],21,材料科学与工程(高精尖班),633,246,128,135,67,93,92,4,
858,0136,北京科技大学[公办],22,材料科学与工程,614,228,131,130,71,94,91,24,
859,0136,北京科技大学[公办],23,冶金工程,610,225,114,126,81,92,86,16,
860,0136,北京科技大学[公办],24,材料智能技术,617,235,119,130,67,93,92,8,
861,0136,北京科技大学[公办],25,能源动力类(能源、环境专业),615,228,116,128,75,93,91,17,
862,0136,北京科技大学[公办],26,储能科学与工程,618,234,118,125,70,96,93,8,
863,0136,北京科技大学[公办],27,通信工程,624,243,129,130,69,92,90,37,
864,0136,北京科技大学[公办],28,人工智能,624,245,127,122,73,93,91,41,
865,0136,北京科技大学[公办],29,自动化类,623,240,124,125,79,91,88,15,
866,0136,北京科技大学[公办],30,计算机类,627,236,125,131,80,90,90,35,
867,0136,北京科技大学[公办],31,安全工程,613,235,125,126,70,92,90,49,
868,0136,北京科技大学[公办],32,大数据管理与应用(大数据与金融试验班),613,230,123,129,71,93,90,6,
869,0136,北京科技大学[公办],33,工商管理类(数智管理与经济试验班),607,235,121,132,58,92,90,3,
870,0138,北京科技大学天津学院[独立学院],09,金融工程,487,197,111,69,61,80,80,7,
871,0138,北京科技大学天津学院[独立学院],10,国际经济与贸易,490,187,104,84,60,96,63,29,
872,0138,北京科技大学天津学院[独立学院],11,法学,517,192,97,117,58,77,73,2,
873,0138,北京科技大学天津学院[独立学院],12,知识产权,492,201,119,114,34,76,67,43,
874,0138,北京科技大学天津学院[独立学院],13,英语,496,206,109,99,48,73,70,9,
875,0138,北京科技大学天津学院[独立学院],14,日语,479,187,103,129,38,69,56,24,
876,0138,北京科技大学天津学院[独立学院],15,朝鲜语,477,189,96,99,51,72,66,8,
877,0138,北京科技大学天津学院[独立学院],16,机械工程,483,193,110,82,51,87,70,23,
878,0138,北京科技大学天津学院[独立学院],17,智能制造工程,485,176,93,113,41,81,74,18,
879,0138,北京科技大学天津学院[独立学院],18,材料科学与工程,478,195,103,82,47,82,72,42,
880,0138,北京科技大学天津学院[独立学院],19,通信工程,495,206,105,100,57,69,63,10,
881,0138,北京科技大学天津学院[独立学院],20,人工智能,489,212,113,88,39,82,68,4,
882,0138,北京科技大学天津学院[独立学院],21,自动化,494,167,105,117,47,77,76,35,
883,0138,北京科技大学天津学院[独立学院],22,计算机科学与技术,500,205,107,105,53,71,66,39,
884,0138,北京科技大学天津学院[独立学院],23,土木工程,475,187,113,102,42,75,69,21,
885,0138,北京科技大学天津学院[独立学院],24,无人驾驶航空器系统工程,480,209,112,52,57,86,76,55,
886,0138,北京科技大学天津学院[独立学院],25,环境工程,477,198,100,83,60,68,68,46,
887,0138,北京科技大学天津学院[独立学院],26,康复治疗学,484,180,103,109,46,80,69,39,
888,0138,北京科技大学天津学院[独立学院],27,护理学,496,209,112,69,49,91,78,61,
889,0138,北京科技大学天津学院[独立学院],28,工程造价,483,192,99,76,49,84,82,46,
890,0138,北京科技大学天津学院[独立学院],29,会计学,504,190,105,107,48,80,79,2,
891,0138,北京科技大学天津学院[独立学院],30,财务管理,497,195,106,101,49,79,73,24,
892,0138,北京科技大学天津学院[独立学院],31,物流工程,482,191,102,113,41,72,65,28,
893,0142,北京理工大学[公办],07,工科试验班(未来精工技术),665,255,129,141,80,95,94,10,珠海校区
894,0142,北京理工大学[公办],08,工科试验班(徐特立英才班),659,262,136,134,78,93,92,21,
895,0142,北京理工大学[公办],09,工科试验班(拔尖计划),659,253,129,135,90,93,88,2,
896,0142,北京理工大学[公办],10,工科试验班(宇航与机电类),654,250,129,135,81,95,93,22,
897,0142,北京理工大学[公办],11,工科试验班(信息科学技术),656,250,125,142,80,93,91,12,
898,0142,北京理工大学[公办],12,工科试验班(电子信息实验班),655,239,124,135,90,96,95,25,
899,0142,北京理工大学[公办],13,会计学(中外合作办学),618,241,127,140,71,87,79,6,
